Loop ID,EDI Segment,EDI Data Element Name,EDI Element Description,Usage,Enumeration Values,Hardcode,Extract layout name,Position,Level,Mapping Logic,COMMENTS,PIEDMONT
2300,2300.PWK02,Report Transmission Code,"Code defining timing, transmission method or format by which reports are to be sent",R,"AA Available on Request at Provider Site
BM By Mail
EL Electronically Only
EM E-Mail
FT File Transfer
FX By Fax",,,,,,,
2300,2300.PWK05,Identification Code Qualifier,Code designating the system/method of code structure used for Identification Code (67),R,AC Attachment Control Number,,,,,,,
2300,2300.PWK06,Identification Code,Code identifying a party or other code,S,,,,,,,,
2300,CN1,Contract Information,,S,,,,,,,,
2300,2300.CN101,Contract Type Code,Code identifying a contract type,R,"01 Diagnosis Related Group (DRG)
02 Per Diem
03 Variable Per Diem
04 Flat
05 Capitated
06 Percent
09 Other",,,,,,,
2300,2300.CN102,Monetary Amount,Monetary amount,S,,,,,,,,
2300,2300.CN103,"Percent, Decimal Format","Percent given in decimal format (e.g., 0.0 through 100.0 represents 0% through 100%)",S,,,,,,,,
2300,2300.CN104,Reference Identification,Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier,S,,,,,,,,
2300,2300.CN105,Terms Discount Percent,"Terms discount percentage, expressed as a percent, available to the purchaser if an invoice is paid on or before the Terms Discount Due Date",S,,,,,,,,
2300,2300.CN106,Version Identifier,"Revision level of a particular format, program, technique or algorithm",S,,,,,,,,
2300,AMT,Patient Estimated Amount Due,,S,,,,,,,,
2300,2300.AMT01,Amount Qualifier Code,Code to qualify amount,R,F3 Patient Responsibility - Estimated,,,,,,,
2300,2300.AMT02,Monetary Amount,Monetary amount,R,,,,,,,,
2300,REF,Service Authorization Exception Code,,S,,,,,,,,
2300,2300.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,4N Special Payment Reference Number,,,,,,,
d,2300.REF02,Reference Identification,Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier,R,,,,,,,,
2300,REF,Referral Number,,S,,,,,,,,
2300,2300.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,9F Referral Number,,,,,,,
2300,2300.REF02,Reference Identification,Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier,R,,,,,,,,
2300,REF,Prior Authorization,,S,,,,,,,,
2300,2300.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,G1 Prior Authorization Number,,,,,,,
2300,2300.REF02,Reference Identification,Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier,R,,,,,,,,
2300,REF,Payer Claim Control Number,,S,,,,,,,,
2300,2300.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,F8 Original Reference Number,"Hardcode as ""F8"" only if CLAIM_ID_ORIG has values",,,,,,
2300,2300.REF02,Reference Identification,Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier,R,,,CLAIM_ID_ORIG,482,Claim,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/hccId
2300,REF,Repriced Claim Number,,S,,,,,,,,
2300,2300.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,9A Repriced Claim Reference Number,,,,,,,
2300,2300.REF02,Reference Identification,Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier,R,,,,,,,,
2300,REF,Adjusted Repriced Claim Number,,S,,,,,,,,
2300,2300.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,9C Adjusted Repriced Claim Reference Number,,,,,,,
2300,2300.REF02,Reference Identification,Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier,R,,,,,,,,
2300,REF,Investigational Device Exemption Number,,S,,,,,,,,
2300,2300.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,LX Qualified Products List,,,,,,,
2300,2300.REF02,Reference Identification,Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier,R,,,,,,,,
2300,REF,Claim Identification For Transmission Intermediaries,,S,,,,,,,,
2300,2300.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,D9 Claim Number,"Hardcode as ""D9""",,,,,,
2300,2300.REF02,Reference Identification,Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier,R,,,CLAIM_ID,18,Claim,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/hccId
2300,REF,Auto Accident State,,S,,,,,,,,
2300,2300.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,LU Location Number,,,,,,,
2300,2300.REF02,Reference Identification,Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier,R,,,,,,,,
2300,REF,Medical Record Number,,S,,,,,,,,
2300,2300.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,EA Medical Record Identification Number,"Hardcode as ""EA"" only if MED_REC_NO has values",,,,,,
2300,2300.REF02,Reference Identification,Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier,R,,,MED_REC_NO,20,Claim,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/medicalRecordNumber
2300,REF,Demonstration Project Identifier,,S,,,,,,,,
2300,2300.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,P4 Project Code,,,,,,,
2300,2300.REF02,Reference Identification,Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier,R,,,,,,,,
2300,REF,Peer Review Organization (PRO) Approval Number,,S,,,,,,,,
2300,2300.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,G4 Peer Review Organization (PRO) Approval Number,,,,,,,
2300,2300.REF02,Reference Identification,Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier,R,,,,,,,,
2300,K3,File Information,,S,,,,,,,,
2300,2300.K301,Fixed Format Information,Data in fixed format agreed upon by sender and receiver,R,,,,,,,,
2300,NTE,Claim Note,,S,,,,,,,,
2300,2300.NTE01,Note Reference Code,Code identifying the functional area or purpose for which the note applies,R,"ALG Allergies
DCP Goals, Rehabilitation Potential, or Discharge Plans
DGN Diagnosis Description
DME Durable Medical Equipment (DME) and Supplies
MED Medications
NTR Nutritional Requirements
ODT Orders for Disciplines and Treatments
RHB Functional Limitations, Reason Homebound, or Both
RLH Reasons Patient Leaves Home
RNH Times and Reasons Patient Not at Home
SET Unusual Home, Social Environment, or Both
SFM Safety Measures
SPT Supplementary Plan of Treatment
UPI Updated Information",,,,,,,
2300,2300.NTE02,Description,A free-form description to clarify the related data elements and their content,R,,,,,,,,
2300,NTE,Billing Note,,S,,,,,,,,
2300,2300.NTE01,Note Reference Code,Code identifying the functional area or purpose for which the note applies,R,ADD Additional Information,,,,,,,
2300,2300.NTE02,Description,,R,,,,,,,,
2300,CRC,EPSDT Referral,,S,,,,,,,,
2300,2300.CRC01,Code Category,Specifies the situation or category to which the code applies,R,ZZ Mutually Defined,,,,,,,
2300,2300.CRC02,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,R,"N No
Y Yes",,,,,,,
2300,2300.CRC03,Condition Indicator,Code indicating a condition,R,"AV Available - Not Used
NU Not Used
S2 Under Treatment
ST New Services Requested",,,,,,,
2300,2300.CRC04,Condition Indicator,Code indicating a condition,S,,,,,,,,
2300,2300.CRC05,Condition Indicator,Code indicating a condition,S,,,,,,,,
2300,HI,Principal Diagnosis (Required),,R,,,,,,,,
2300,2300.HI01,Healthcare code information,"To send health care codes and their associated dates, amounts and quantities",R,,,,,,,,
2300,2300.HI01.01,Code List Qualifier Code,Code identifying a specific industry code list,R,"ABK International Classification of Diseases Clinical Modification (ICD-10-CM) Principal Diagnosis
BK International Classification of Diseases Clinical
Modification (ICD-9-CM) Principal Diagnosis","Hardcode as ""ABK""",,,,,,
2300,2300.HI01.02,Industry Code,Code indicating a code from a specific industry code list,R,,,PRINCIPAL_DIAGNOSIS_CODE,121,Claim,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/principalDiagnosis/diagnosisCode
2300,2300.HI01.09,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,S,"N No
U Unknown
W Not Applicable
Y Yes",,PRINCIPAL_DIAGNOSIS_POA,122,Claim,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/principalDiagnosis/poaIndicator
2300,HI,Admitting Diagnosis,,S,,,,,,,,
2300,2300.HI01,Healthcare code information,"To send health care codes and their associated dates, amounts and quantities",R,,,,,,,,
2300,2300.HI01.01,Code List Qualifier Code,Code identifying a specific industry code list,R,"ABJ International Classification of Diseases Clinical
Modification (ICD-10-CM) Admitting Diagnosis
International Classification of Diseases Clinical
Modification (ICD-9-CM) Admitting Diagnosis","Hardcode as ""ABJ""",,,,,,
2300,2300.HI01.02,Industry Code,Code indicating a code from a specific industry code list,R,,,ADMITTING_DIAGNOSIS,196,Claim,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/admitDiagnosis/diagnosisCode
2300,HI,Patient Reason For Visit,,S,,,,,,,,
2300,2300.HI01,Healthcare code information,"To send health care codes and their associated dates, amounts and quantities",R,,,,,,,,
2300,2300.HI01.01,Code List Qualifier Code,Code identifying a specific industry code list,R,"APR International Classification of Diseases Clinical
Modification (ICD-10-CM) Patient’s Reason for Visit
PR International Classification of Diseases Clinical
Modification (ICD-9-CM) Patient’s Reason for Visit","Hardcode as ""APR""",,,,,,
2300,2300.HI01.02,Industry Code,Code indicating a code from a specific industry code list,R,,,PATIENT_REASON_FOR_VISIT_01,234,Claim,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/reasonForVisitDiagnosis/diagnosisInfo/diagnosisCode
2300,2300.HI02,Healthcare code information,"To send health care codes and their associated dates, amounts and quantities",S,,,,,,,,
2300,2300.HI02.01,Code List Qualifier Code,Code identifying a specific industry code list,R,"APR International Classification of Diseases Clinical
Modification (ICD-10-CM) Patient’s Reason for Visit
PR International Classification of Diseases Clinical
Modification (ICD-9-CM) Patient’s Reason for Visit","Hardcode as ""APR""",,,,,,
2300,2300.HI02.02,Industry Code,Code indicating a code from a specific industry code list,R,,,PATIENT_REASON_FOR_VISIT_02,236,Claim,,,
2300,2300.HI03,Healthcare code information,"To send health care codes and their associated dates, amounts and quantities",S,,,,,,,,
2300,2300.HI03.01,Code List Qualifier Code,Code identifying a specific industry code list,R,"APR International Classification of Diseases Clinical
Modification (ICD-10-CM) Patient’s Reason for Visit
PR International Classification of Diseases Clinical
Modification (ICD-9-CM) Patient’s Reason for Visit","Hardcode as ""APR""",,,,,,
2300,2300.HI03.02,Industry Code,Code indicating a code from a specific industry code list,R,,,PATIENT_REASON_FOR_VISIT_03,238,Claim,,,
2300,HI,External Cause of Injury,,S,,,,,,,,
2300,2300.HI01,Healthcare code information,"To send health care codes and their associated dates, amounts and quantities",R,,,,,,,,
2300,2300.HI01.01,Code List Qualifier Code,Code identifying a specific industry code list,R,"ABN International Classification of Diseases Clinical Modification (ICD-10-CM) External Cause of Injury Code
BN International Classification of Diseases Clinical
Modification (ICD-9-CM) External Cause of Injury
Code (E-codes)","Hardcode as ""ABN""",,,,,,
2300,2300.HI01.02,Industry Code,Code indicating a code from a specific industry code list,R,,,EXTERNAL_CAUSE_OF_INJURY_01,198,Claim,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/externalDiagnosis/diagnosisInfo/diagnosisCode
2300,2300.HI01.09,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,S,"N No
U Unknown
W Not Applicable
Y Yes",,EXTERNAL_CAUSE_OF_INJURY_01_POA,199,Claim,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/externalDiagnosis/diagnosisInfo/poaIndicator
2300,2300.HI02,Healthcare code information,"To send health care codes and their associated dates, amounts and quantities",S,,,,,,,,
2300,2300.HI02.01,Code List Qualifier Code,Code identifying a specific industry code list,R,"ABN International Classification of Diseases Clinical Modification (ICD-10-CM) External Cause of Injury Code
BN International Classification of Diseases Clinical
Modification (ICD-9-CM) External Cause of Injury
Code (E-codes)","Hardcode as ""ABN""",,,,,,
2300,2300.HI02.02,Industry Code,Code indicating a code from a specific industry code list,R,,,EXTERNAL_CAUSE_OF_INJURY_02,201,Claim,,,
2300,2300.HI02.09,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,S,"N No
U Unknown
W Not Applicable
Y Yes",,EXTERNAL_CAUSE_OF_INJURY_02_POA,202,Claim,,,
2300,2300.HI03,Healthcare code information,"To send health care codes and their associated dates, amounts and quantities",S,,,,,,,,
2300,2300.HI03.01,Code List Qualifier Code,Code identifying a specific industry code list,R,"ABN : International Classification of Diseases Clinical Modification (ICD-10-CM) External Cause of Injury Code
BN : International Classification of Diseases Clinical
Modification (ICD-9-CM) External Cause of Injury
Code (E-codes)","Hardcode as ""ABN""",,,,,,
2300,2300.HI03.02,Industry Code,Code indicating a code from a specific industry code list,R,,,EXTERNAL_CAUSE_OF_INJURY_03,204,Claim,,,
2300,2300.HI03.09,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,S,"N No
U Unknown
W Not Applicable
Y Yes",,EXTERNAL_CAUSE_OF_INJURY_03_POA,205,Claim,,,
2300,2300.HI04,Healthcare code information,"To send health care codes and their associated dates, amounts and quantities",S,,,,,,,,
2300,2300.HI04.01,Code List Qualifier Code,Code identifying a specific industry code list,R,"ABN International Classification of Diseases Clinical Modification (ICD-10-CM) External Cause of Injury Code
BN International Classification of Diseases Clinical
Modification (ICD-9-CM) External Cause of Injury
Code (E-codes)","Hardcode as ""ABN""",,,,,,
2300,2300.HI04.02,Industry Code,Code indicating a code from a specific industry code list,R,,,EXTERNAL_CAUSE_OF_INJURY_04,207,Claim,,,
2300,2300.HI04.09,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,S,"N No
U Unknown
W Not Applicable
Y Yes",,EXTERNAL_CAUSE_OF_INJURY_04_POA,208,Claim,,,
2300,2300.HI05,Healthcare code information,"To send health care codes and their associated dates, amounts and quantities",S,,,,,,,,
2300,2300.HI05.01,Code List Qualifier Code,Code identifying a specific industry code list,R,"ABN International Classification of Diseases Clinical Modification (ICD-10-CM) External Cause of Injury Code
BN International Classification of Diseases Clinical
Modification (ICD-9-CM) External Cause of Injury
Code (E-codes)","Hardcode as ""ABN""",,,,,,
2300,2300.HI05.02,Industry Code,Code indicating a code from a specific industry code list,R,,,EXTERNAL_CAUSE_OF_INJURY_05,210,Claim,,,
2300,2300.HI05.09,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,S,"N No
U Unknown
W Not Applicable
Y Yes",,EXTERNAL_CAUSE_OF_INJURY_05_POA,211,Claim,,,
2300,2300.HI06,Healthcare code information,"To send health care codes and their associated dates, amounts and quantities",S,,,,,,,,
2300,2300.HI06.01,Code List Qualifier Code,Code identifying a specific industry code list,R,"ABN International Classification of Diseases Clinical Modification (ICD-10-CM) External Cause of Injury Code
BN International Classification of Diseases Clinical
Modification (ICD-9-CM) External Cause of Injury
Code (E-codes)","Hardcode as ""ABN""",,,,,,
2300,2300.HI06.02,Industry Code,Code indicating a code from a specific industry code list,R,,,EXTERNAL_CAUSE_OF_INJURY_06,213,Claim,,,
2300,2300.HI06.09,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,S,"N No
U Unknown
W Not Applicable
Y Yes",,EXTERNAL_CAUSE_OF_INJURY_06_POA,214,Claim,,,
2300,2300.HI07,Healthcare code information,"To send health care codes and their associated dates, amounts and quantities",S,,,,,,,,
2300,2300.HI07.01,Code List Qualifier Code,Code identifying a specific industry code list,R,"ABN International Classification of Diseases Clinical Modification (ICD-10-CM) External Cause of Injury Code
BN International Classification of Diseases Clinical
Modification (ICD-9-CM) External Cause of Injury
Code (E-codes)","Hardcode as ""ABN""",,,,,,
2300,2300.HI07.02,Industry Code,Code indicating a code from a specific industry code list,R,,,EXTERNAL_CAUSE_OF_INJURY_07,216,Claim,,,
2300,2300.HI07.09,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,S,"N No
U Unknown
W Not Applicable
Y Yes",,EXTERNAL_CAUSE_OF_INJURY_07_POA,217,Claim,,,
2300,2300.HI08,Healthcare code information,"To send health care codes and their associated dates, amounts and quantities",S,,,,,,,,
2300,2300.HI08.01,Code List Qualifier Code,Code identifying a specific industry code list,R,"ABN International Classification of Diseases Clinical Modification (ICD-10-CM) External Cause of Injury Code
BN International Classification of Diseases Clinical
Modification (ICD-9-CM) External Cause of Injury
Code (E-codes)","Hardcode as ""ABN""",,,,,,
2300,2300.HI08.02,Industry Code,Code indicating a code from a specific industry code list,R,,,EXTERNAL_CAUSE_OF_INJURY_08,219,Claim,,,
2300,2300.HI08.09,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,S,"N No
U Unknown
W Not Applicable
Y Yes",,EXTERNAL_CAUSE_OF_INJURY_08_POA,220,Claim,,,
2300,2300.HI09,Healthcare code information,"To send health care codes and their associated dates, amounts and quantities",S,,,,,,,,
2300,2300.HI09.01,Code List Qualifier Code,Code identifying a specific industry code list,R,"ABN International Classification of Diseases Clinical Modification (ICD-10-CM) External Cause of Injury Code
BN International Classification of Diseases Clinical
Modification (ICD-9-CM) External Cause of Injury
Code (E-codes)","Hardcode as ""ABN""",,,,,,
2300,2300.HI09.02,Industry Code,Code indicating a code from a specific industry code list,R,,,EXTERNAL_CAUSE_OF_INJURY_09,222,Claim,,,
2300,2300.HI09.09,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,S,"N No
U Unknown
W Not Applicable
Y Yes",,EXTERNAL_CAUSE_OF_INJURY_09_POA,223,Claim,,,
2300,2300.HI10,Healthcare code information,"To send health care codes and their associated dates, amounts and quantities",S,,,,,,,,
2300,2300.HI10.01,Code List Qualifier Code,Code identifying a specific industry code list,R,"ABN International Classification of Diseases Clinical Modification (ICD-10-CM) External Cause of Injury Code
BN International Classification of Diseases Clinical
Modification (ICD-9-CM) External Cause of Injury
Code (E-codes)","Hardcode as ""ABN""",,,,,,
2300,2300.HI10.02,Industry Code,Code indicating a code from a specific industry code list,R,,,EXTERNAL_CAUSE_OF_INJURY_10,225,Claim,,,
2300,2300.HI10.09,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,S,"N No
U Unknown
W Not Applicable
Y Yes",,EXTERNAL_CAUSE_OF_INJURY_10_POA,226,Claim,,,
2300,2300.HI11,Healthcare code information,"To send health care codes and their associated dates, amounts and quantities",S,,,,,,,,
2300,2300.HI11.01,Code List Qualifier Code,Code identifying a specific industry code list,R,"ABN International Classification of Diseases Clinical Modification (ICD-10-CM) External Cause of Injury Code
BN International Classification of Diseases Clinical
Modification (ICD-9-CM) External Cause of Injury
Code (E-codes)","Hardcode as ""ABN""",,,,,,
2300,2300.HI11.02,Industry Code,Code indicating a code from a specific industry code list,R,,,EXTERNAL_CAUSE_OF_INJURY_11,228,Claim,,,
2300,2300.HI11.09,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,S,"N No
U Unknown
W Not Applicable
Y Yes",,EXTERNAL_CAUSE_OF_INJURY_11_POA,229,Claim,,,
2300,2300.HI12,Healthcare code information,"To send health care codes and their associated dates, amounts and quantities",S,,,,,,,,
2300,2300.HI12.01,Code List Qualifier Code,Code identifying a specific industry code list,R,"ABN International Classification of Diseases Clinical Modification (ICD-10-CM) External Cause of Injury Code
BN International Classification of Diseases Clinical
Modification (ICD-9-CM) External Cause of Injury
Code (E-codes)","Hardcode as ""ABN""",,,,,,
2300,2300.HI12.02,Industry Code,Code indicating a code from a specific industry code list,R,,,EXTERNAL_CAUSE_OF_INJURY_12,231,Claim,,,
2300,2300.HI12.09,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,S,"N No
U Unknown
W Not Applicable
Y Yes",,EXTERNAL_CAUSE_OF_INJURY_12_POA,232,Claim,,,
2300,HI,Diagnosis Related Group (DRG) Information -Segment Repeat: 2,,S,,,,,,,,
2300,2300.HI01,Healthcare code information,"To send health care codes and their associated dates, amounts and quantities",R,,,,,,,,
2300,2300.HI01.01,Code List Qualifier Code,Code identifying a specific industry code list,R,DR Diagnosis Related Group (DRG),Hardcode as 'DR' if ALLOWED_DRG has values,,,,,,
2300,2300.HI01.02,Industry Code,Code indicating a code from a specific industry code list,R,,,ALLOWED_DRG,110,Claims,,,
2300,HI,Other Diagnosis Information-Segment Repeat: 2,,S,,,,,,,,
2300,2300.HI01,Healthcare code information,"To send health care codes and their associated dates, amounts and quantities",R,,,,,,,,
2300,2300.HI01.01,Code List Qualifier Code,Code identifying a specific industry code list,R,"ABF International Classification of Diseases Clinical
Modification (ICD-10-CM) Diagnosis
BF International Classification of Diseases Clinical
Modification (ICD-9-CM) Diagnosis","Hardcode as ""ABF""",,,,,,
2300,2300.HI01.02,Industry Code,Code indicating a code from a specific industry code list,R,,,DIAGNOSIS_CODE_02,124,Claim,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/otherDiagnosis/diagnosisInfo/diagnosisCode
2300,2300.HI01.09,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,S,"N No
U Unknown
W Not Applicable
Y Yes",,DIAGNOSIS_CODE_02_POA,125,Claim,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/otherDiagnosis/diagnosisInfo/poaIndicator
2300,2300.HI02,Healthcare code information,"To send health care codes and their associated dates, amounts and quantities",S,,,,,,,,
2300,2300.HI02.01,Code List Qualifier Code,Code identifying a specific industry code list,R,"ABF International Classification of Diseases Clinical
Modification (ICD-10-CM) Diagnosis
BF International Classification of Diseases Clinical
Modification (ICD-9-CM) Diagnosis","Hardcode as ""ABF""",,,,,,
2300,2300.HI02.02,Industry Code,Code indicating a code from a specific industry code list,R,,,DIAGNOSIS_CODE_03,127,Claim,,,
2300,2300.HI02.09,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,S,"N No
U Unknown
W Not Applicable
Y Yes",,DIAGNOSIS_CODE_03_POA,128,Claim,,,
2300,2300.HI03,Healthcare code information,"To send health care codes and their associated dates, amounts and quantities",S,,,,,,,,
2300,2300.HI03.01,Code List Qualifier Code,Code identifying a specific industry code list,R,"ABF International Classification of Diseases Clinical
Modification (ICD-10-CM) Diagnosis
BF International Classification of Diseases Clinical
Modification (ICD-9-CM) Diagnosis","Hardcode as ""ABF""",,,,,,
2300,2300.HI03.02,Industry Code,Code indicating a code from a specific industry code list,R,,,DIAGNOSIS_CODE_04,130,Claim,,,
2300,2300.HI03.09,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,S,"N No
U Unknown
W Not Applicable
Y Yes",,DIAGNOSIS_CODE_04_POA,131,Claim,,,
2300,2300.HI04,Healthcare code information,"To send health care codes and their associated dates, amounts and quantities",S,,,,,,,,
2300,2300.HI04.01,Code List Qualifier Code,Code identifying a specific industry code list,R,"ABF International Classification of Diseases Clinical
Modification (ICD-10-CM) Diagnosis
BF International Classification of Diseases Clinical
Modification (ICD-9-CM) Diagnosis","Hardcode as ""ABF""",,,,,,
2300,2300.HI04.02,Industry Code,Code indicating a code from a specific industry code list,R,,,DIAGNOSIS_CODE_05,133,Claim,,,
2300,2300.HI04.09,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,S,"N No
U Unknown
W Not Applicable
Y Yes",,DIAGNOSIS_CODE_05_POA,134,Claim,,,
2300,2300.HI05,Healthcare code information,"To send health care codes and their associated dates, amounts and quantities",S,,,,,,,,
2300,2300.HI05.01,Code List Qualifier Code,Code identifying a specific industry code list,R,"ABF International Classification of Diseases Clinical
Modification (ICD-10-CM) Diagnosis
BF International Classification of Diseases Clinical
Modification (ICD-9-CM) Diagnosis","Hardcode as ""ABF""",,,,,,
2300,2300.HI05.02,Industry Code,Code indicating a code from a specific industry code list,R,,,DIAGNOSIS_CODE_06,136,Claim,,,
2300,2300.HI05.09,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,S,"N No
U Unknown
W Not Applicable
Y Yes",,DIAGNOSIS_CODE_06_POA,137,Claim,,,
2300,2300.HI06,Healthcare code information,"To send health care codes and their associated dates, amounts and quantities",S,,,,,,,,
2300,2300.HI06.01,Code List Qualifier Code,Code identifying a specific industry code list,R,"ABF International Classification of Diseases Clinical
Modification (ICD-10-CM) Diagnosis
BF International Classification of Diseases Clinical
Modification (ICD-9-CM) Diagnosis","Hardcode as ""ABF""",,,,,,
2300,2300.HI06.02,Industry Code,Code indicating a code from a specific industry code list,R,,,DIAGNOSIS_CODE_07,139,Claim,,,
2300,2300.HI06.09,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,S,"N No
U Unknown
W Not Applicable
Y Yes",,DIAGNOSIS_CODE_07_POA,140,Claim,,,
2300,2300.HI07,Healthcare code information,"To send health care codes and their associated dates, amounts and quantities",S,,,,,,,,
2300,2300.HI07.01,Code List Qualifier Code,Code identifying a specific industry code list,R,"ABF International Classification of Diseases Clinical
Modification (ICD-10-CM) Diagnosis
BF International Classification of Diseases Clinical
Modification (ICD-9-CM) Diagnosis","Hardcode as ""ABF""",,,,,,
2300,2300.HI07.02,Industry Code,Code indicating a code from a specific industry code list,R,,,DIAGNOSIS_CODE_08,142,Claim,,,
2300,2300.HI07.09,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,S,"N No
U Unknown
W Not Applicable
Y Yes",,DIAGNOSIS_CODE_08_POA,143,Claim,,,
2300,2300.HI08,Healthcare code information,"To send health care codes and their associated dates, amounts and quantities",S,,,,,,,,
