File Component,Field Name,Field Description,Level,Type,Length,"Fixed Width
files only",,Repricer,Position,Secomdary Editing,Position,
Detail,DIAGNOSIS_CODE_23_POA,"The value in this field represents the Present on Admission Indicator for DIAGNOSIS_CODE_23.   See valid values above under PRINCIPAL_DIAGNOSIS_POA.  (2300,  HI*BF or HI*ABF Segment Repeat)",Claim,Text,1,1078,1078,Y,188,Y,,
Detail,DIAGNOSIS_CODE_24_QUAL,"The value in this field represents a qualifier to show whether the corresponding diagnosis code noted below is in ICD-9 or ICD-10 format.  Value should be '0' for ICD-10 diagnosis codes and '9' for ICD-9 diagnosis codes.   (2300,  HI*BF or HI*ABF Segment Repeat)",Claim,Text,1,1079,1079,N,189,N,,
Detail,DIAGNOSIS_CODE_24,"The value in this field represents the Other Diagnosis established after evaluation and treatment. This field will be used for both ICD-9 and ICD-10 values.  (2300, HI*BF or HI*ABF Segment Repeat)",Claim,Text,7,1080,1086,Y,190,Y,,
Detail,DIAGNOSIS_CODE_24_POA,"The value in this field represents the Present on Admission Indicator for DIAGNOSIS_CODE_24.   See valid values above under PRINCIPAL_DIAGNOSIS_POA.  (2300,  HI*BF or HI*ABF Segment Repeat)",Claim,Text,1,1087,1087,Y,191,Y,,
Detail,DIAGNOSIS_CODE_25_QUAL,"The value in this field represents a qualifier to show whether the corresponding diagnosis code noted below is in ICD-9 or ICD-10 format.  Value should be '0' for ICD-10 diagnosis codes and '9' for ICD-9 diagnosis codes.   (2300,  HI*BF or HI*ABF Segment Repeat)",Claim,Text,1,1088,1088,N,192,N,,
Detail,DIAGNOSIS_CODE_25,"The value in this field represents the Other Diagnosis established after evaluation and treatment. This field will be used for both ICD-9 and ICD-10 values.  (2300, HI*BF or HI*ABF Segment Repeat)",Claim,Text,7,1089,1095,Y,193,Y,,
Detail,DIAGNOSIS_CODE_25_POA,"The value in this field represents the Present on Admission Indicator for DIAGNOSIS_CODE_25.   See valid values above under PRINCIPAL_DIAGNOSIS_POA.  (2300,  HI*BF or HI*ABF Segment Repeat)",Claim,Text,1,1096,1096,Y,194,Y,,
Detail,ADMITTING_DIAGNOSIS_QUAL,"The value in this field represents a qualifier to show whether the corresponding diagnosis code noted below is in ICD-9 or ICD-10 format.  Value should be '0' for ICD-10 diagnosis codes and '9' for ICD-9 diagnosis codes.  Required when ADMITTING_DIAGNOSIS is submitted.  (2300, HI01-1, HI*BJ or HI*ABJ)",Claim,Text,1,1097,1097,N,195,N,,
Detail,ADMITTING_DIAGNOSIS,"The value in this field represents the Admitting Diagnosis which is the reason presented for the patient to be registered at the inpatient facility.  (2300, HI01-2, HI*BJ or HI*ABJ)",Claim,Text,7,1098,1104,Y,196,Y,,
Detail,EXTERNAL_CAUSE_OF_INJURY_01_QUAL,"The value in this field represents a qualifier to show whether the corresponding diagnosis code noted below is in ICD-9 or ICD-10 format.  Value should be '0' for ICD-10 diagnosis codes and '9' for ICD-9 diagnosis codes.  (2300, HI01-1, HI*BN or HI*ABN)",Claim,Text,1,1105,1105,N,197,N,,
Detail,EXTERNAL_CAUSE_OF_INJURY_01,"The value in this field represents the External Cause of Injury Diagnosis.  Previously referred to as E_CODE_DIAGNOSIS_1.  (2300, HI01-2, HI*BN or HI*ABN)",Claim,Text,7,1106,1112,Y,198,Y,,
Detail,EXTERNAL_CAUSE_OF_INJURY_01_POA,"The value in this field represents the Present on Admission Indicator for the External Cause of Injury 1 Diagnosis.   See valid values above under PRINCIPAL_DIAGNOSIS_POA.  (2300, HI01-9, HI*BN or HI*ABN)",Claim,Text,1,1113,1113,Y,199,Y,,
Detail,EXTERNAL_CAUSE_OF_INJURY_02_QUAL,"The value in this field represents a qualifier to show whether the corresponding diagnosis code noted below is in ICD-9 or ICD-10 format.  Value should be '0' for ICD-10 diagnosis codes and '9' for ICD-9 diagnosis codes.  (2300, HI02-1, HI*BN or HI*ABN)",Claim,Text,1,1114,1114,N,200,N,,
Detail,EXTERNAL_CAUSE_OF_INJURY_02,"The value in this field represents the External Cause of Injury Diagnosis.  Previously referred to as E_CODE_DIAGNOSIS_2.  (2300, HI02-2, HI*BN or HI*ABN)",Claim,Text,7,1115,1121,Y,201,Y,,
Detail,EXTERNAL_CAUSE_OF_INJURY_02_POA,"The value in this field represents the Present on Admission Indicator for the External Cause of Injury 2 Diagnosis.   See valid values above under PRINCIPAL_DIAGNOSIS_POA.  (2300, HI02-9, HI*BN or HI*ABN)",Claim,Text,1,1122,1122,Y,202,Y,,
Detail,EXTERNAL_CAUSE_OF_INJURY_03_QUAL,"The value in this field represents a qualifier to show whether the corresponding diagnosis code noted below is in ICD-9 or ICD-10 format.  Value should be '0' for ICD-10 diagnosis codes and '9' for ICD-9 diagnosis codes.  (2300, HI03-1, HI*BN or HI*ABN)",Claim,Text,1,1123,1123,N,203,N,,
Detail,EXTERNAL_CAUSE_OF_INJURY_03,"The value in this field represents the External Cause of Injury Diagnosis.  Previously referred to as E_CODE_DIAGNOSIS_3.  (2300, HI03-2, HI*BN or HI*ABN)",Claim,Text,7,1124,1130,Y,204,Y,,
Detail,EXTERNAL_CAUSE_OF_INJURY_03_POA,"The value in this field represents the Present on Admission Indicator for the External Cause of Injury 3 Diagnosis.   See valid values above under PRINCIPAL_DIAGNOSIS_POA.  (2300, HI03-9, HI*BN or HI*ABN)",Claim,Text,1,1131,1131,Y,205,Y,,
Detail,EXTERNAL_CAUSE_OF_INJURY_04_QUAL,"The value in this field represents a qualifier to show whether the corresponding diagnosis code noted below is in ICD-9 or ICD-10 format.  Value should be '0' for ICD-10 diagnosis codes and '9' for ICD-9 diagnosis codes.  (2300, HI04-1, HI*BN or HI*ABN)",Claim,Text,1,1132,1132,N,206,N,,
Detail,EXTERNAL_CAUSE_OF_INJURY_04,"The value in this field represents the External Cause of Injury Diagnosis.  This field was added in this version to be consistent with the CMS X12 5010 data set.  (2300, HI04-2, HI*BN or HI*ABN)",Claim,Text,7,1133,1139,Y,207,Y,,
Detail,EXTERNAL_CAUSE_OF_INJURY_04_POA,"The value in this field represents the Present on Admission Indicator for the External Cause of Injury 4 Diagnosis.   See valid values above under PRINCIPAL_DIAGNOSIS_POA.  (2300, HI04-9, HI*BN or HI*ABN)",Claim,Text,1,1140,1140,Y,208,Y,,
Detail,EXTERNAL_CAUSE_OF_INJURY_05_QUAL,"The value in this field represents a qualifier to show whether the corresponding diagnosis code noted below is in ICD-9 or ICD-10 format.  Value should be '0' for ICD-10 diagnosis codes and '9' for ICD-9 diagnosis codes.  (2300, HI05-1, HI*BN or HI*ABN)",Claim,Text,1,1141,1141,N,209,N,,
Detail,EXTERNAL_CAUSE_OF_INJURY_05,"The value in this field represents the External Cause of Injury Diagnosis.  This field was added in this version to be consistent with the CMS X12 5010 data set.  (2300, HI05-2, HI*BN or HI*ABN)",Claim,Text,7,1142,1148,Y,210,Y,,
Detail,EXTERNAL_CAUSE_OF_INJURY_05_POA,"The value in this field represents the Present on Admission Indicator for the External Cause of Injury 5 Diagnosis.   See valid values above under PRINCIPAL_DIAGNOSIS_POA.  (2300, HI05-9, HI*BN or HI*ABN)",Claim,Text,1,1149,1149,Y,211,Y,,
Detail,EXTERNAL_CAUSE_OF_INJURY_06_QUAL,"The value in this field represents a qualifier to show whether the corresponding diagnosis code noted below is in ICD-9 or ICD-10 format.  Value should be '0' for ICD-10 diagnosis codes and '9' for ICD-9 diagnosis codes.  (2300, HI06-1, HI*BN or HI*ABN)",Claim,Text,1,1150,1150,N,212,N,,
Detail,EXTERNAL_CAUSE_OF_INJURY_06,"The value in this field represents the External Cause of Injury Diagnosis.  This field was added in this version to be consistent with the CMS X12 5010 data set.  (2300, HI06-2, HI*BN or HI*ABN)",Claim,Text,7,1151,1157,Y,213,Y,,
Detail,EXTERNAL_CAUSE_OF_INJURY_06_POA,"The value in this field represents the Present on Admission Indicator for the External Cause of Injury 6 Diagnosis.   See valid values above under PRINCIPAL_DIAGNOSIS_POA.  (2300, HI06-9, HI*BN or HI*ABN)",Claim,Text,1,1158,1158,Y,214,Y,,
Detail,EXTERNAL_CAUSE_OF_INJURY_07_QUAL,"The value in this field represents a qualifier to show whether the corresponding diagnosis code noted below is in ICD-9 or ICD-10 format.  Value should be '0' for ICD-10 diagnosis codes and '9' for ICD-9 diagnosis codes.  (2300, HI07-1, HI*BN or HI*ABN)",Claim,Text,1,1159,1159,N,215,N,,
Detail,EXTERNAL_CAUSE_OF_INJURY_07,"The value in this field represents the External Cause of Injury Diagnosis.  This field was added in this version to be consistent with the CMS X12 5010 data set.  (2300, HI07-2, HI*BN or HI*ABN)",Claim,Text,7,1160,1166,Y,216,Y,,
Detail,EXTERNAL_CAUSE_OF_INJURY_07_POA,"The value in this field represents the Present on Admission Indicator for the External Cause of Injury 7 Diagnosis.   See valid values above under PRINCIPAL_DIAGNOSIS_POA.  (2300, HI07-9, HI*BN or HI*ABN)",Claim,Text,1,1167,1167,Y,217,Y,,
Detail,EXTERNAL_CAUSE_OF_INJURY_08_QUAL,"The value in this field represents a qualifier to show whether the corresponding diagnosis code noted below is in ICD-9 or ICD-10 format.  Value should be '0' for ICD-10 diagnosis codes and '9' for ICD-9 diagnosis codes.  (2300, HI08-1, HI*BN or HI*ABN)",Claim,Text,1,1168,1168,N,218,N,,
Detail,EXTERNAL_CAUSE_OF_INJURY_08,"The value in this field represents the External Cause of Injury Diagnosis.  This field was added in this version to be consistent with the CMS X12 5010 data set.  (2300, HI08-2, HI*BN or HI*ABN)",Claim,Text,7,1169,1175,Y,219,Y,,
Detail,EXTERNAL_CAUSE_OF_INJURY_08_POA,"The value in this field represents the Present on Admission Indicator for the External Cause of Injury 8 Diagnosis.   See valid values above under PRINCIPAL_DIAGNOSIS_POA.  (2300, HI08-9, HI*BN or HI*ABN)",Claim,Text,1,1176,1176,Y,220,Y,,
Detail,EXTERNAL_CAUSE_OF_INJURY_09_QUAL,"The value in this field represents a qualifier to show whether the corresponding diagnosis code noted below is in ICD-9 or ICD-10 format.  Value should be '0' for ICD-10 diagnosis codes and '9' for ICD-9 diagnosis codes.  (2300, HI09-1, HI*BN or HI*ABN)",Claim,Text,1,1177,1177,N,221,N,,
Detail,EXTERNAL_CAUSE_OF_INJURY_09,"The value in this field represents the External Cause of Injury Diagnosis.  This field was added in this version to be consistent with the CMS X12 5010 data set.  (2300, HI09-2, HI*BN or HI*ABN)",Claim,Text,7,1178,1184,Y,222,Y,,
Detail,EXTERNAL_CAUSE_OF_INJURY_09_POA,"The value in this field represents the Present on Admission Indicator for the External Cause of Injury 9 Diagnosis.    See valid values above under PRINCIPAL_DIAGNOSIS_POA.  (2300, HI09-9, HI*BN or HI*ABN)",Claim,Text,1,1185,1185,Y,223,Y,,
Detail,EXTERNAL_CAUSE_OF_INJURY_10_QUAL,"The value in this field represents a qualifier to show whether the corresponding diagnosis code noted below is in ICD-9 or ICD-10 format.  Value should be '0' for ICD-10 diagnosis codes and '9' for ICD-9 diagnosis codes.   (2300, HI10-1, HI*BN or HI*ABN)",Claim,Text,1,1186,1186,N,224,N,,
Detail,EXTERNAL_CAUSE_OF_INJURY_10,"The value in this field represents the External Cause of Injury Diagnosis.  This field was added in this version to be consistent with the CMS X12 5010 data set.  (2300, HI10-2, HI*BN or HI*ABN)",Claim,Text,7,1187,1193,Y,225,Y,,
Detail,EXTERNAL_CAUSE_OF_INJURY_10_POA,"The value in this field represents the Present on Admission Indicator for the External Cause of Injury 10 Diagnosis.   See valid values above under PRINCIPAL_DIAGNOSIS_POA.  (2300, HI10-9, HI*BN or HI*ABN)",Claim,Text,1,1194,1194,Y,226,Y,,
Detail,EXTERNAL_CAUSE_OF_INJURY_11_QUAL,"The value in this field represents a qualifier to show whether the corresponding diagnosis code noted below is in ICD-9 or ICD-10 format.  Value should be '0' for ICD-10 diagnosis codes and '9' for ICD-9 diagnosis codes.   (2300, HI11-1, HI*BN or HI*ABN)",Claim,Text,1,1195,1195,N,227,N,,
Detail,EXTERNAL_CAUSE_OF_INJURY_11,"The value in this field represents the External Cause of Injury Diagnosis.  This field was added in this version to be consistent with the CMS X12 5010 data set.  (2300, HI11-2, HI*BN or HI*ABN)",Claim,Text,7,1196,1202,Y,228,Y,,
Detail,EXTERNAL_CAUSE_OF_INJURY_11_POA,"The value in this field represents the Present on Admission Indicator for the External Cause of Injury 11 Diagnosis.   See valid values above under PRINCIPAL_DIAGNOSIS_POA.  (2300, HI11-9, HI*BN or HI*ABN)",Claim,Text,1,1203,1203,Y,229,Y,,
Detail,EXTERNAL_CAUSE_OF_INJURY_12_QUAL,"The value in this field represents a qualifier to show whether the corresponding diagnosis code noted below is in ICD-9 or ICD-10 format.  Value should be '0' for ICD-10 diagnosis codes and '9' for ICD-9 diagnosis codes.   (2300, HI12-1, HI*BN or HI*ABN)",Claim,Text,1,1204,1204,N,230,N,,
Detail,EXTERNAL_CAUSE_OF_INJURY_12,"The value in this field represents the External Cause of Injury Diagnosis.  This field was added in this version to be consistent with the CMS X12 5010 data set.  (2300, HI12-2, HI*BN or HI*ABN)",Claim,Text,7,1205,1211,Y,231,Y,,
Detail,EXTERNAL_CAUSE_OF_INJURY_12_POA,"The value in this field represents the Present on Admission Indicator for the External Cause of Injury 12 Diagnosis.  See valid values above under PRINCIPAL_DIAGNOSIS_POA.  (2300, HI12-9, HI*BN or HI*ABN)",Claim,Text,1,1212,1212,Y,232,Y,,
Detail,PATIENT_REASON_FOR_VISIT_01_QUAL,"The value in this field represents a qualifier to show whether the corresponding diagnosis code noted below is in ICD-9 or ICD-10 format.  Value should be '0' for ICD-10 diagnosis codes and '9' for ICD-9 diagnosis codes.  (2300, HI01-1, HI*PR or HI*APR)",Claim,Text,1,1213,1213,N,233,N,,
Detail,PATIENT_REASON_FOR_VISIT_01,"The value in this field represents the Patient’s Reason For Visit 1. (2300, HI01-2, HI*PR or HI*APR)",Claim,Text,7,1214,1220,Y,234,Y,,
Detail,PATIENT_REASON_FOR_VISIT_02_QUAL,"The value in this field represents a qualifier to show whether the corresponding diagnosis code noted below is in ICD-9 or ICD-10 format.  Value should be '0' for ICD-10 diagnosis codes and '9' for ICD-9 diagnosis codes.   (2300, HI02-1, HI*PR or HI*APR)",Claim,Text,1,1221,1221,N,235,N,,
Detail,PATIENT_REASON_FOR_VISIT_02,"The value in this field represents the Patient’s Reason For Visit 2.  (2300, HI02-2, HI*PR or HI*APR)",Claim,Text,7,1222,1228,Y,236,Y,,
Detail,PATIENT_REASON_FOR_VISIT_03_QUAL,"The value in this field represents a qualifier to show whether the corresponding diagnosis code noted below is in ICD-9 or ICD-10 format.  Value should be '0' for ICD-10 diagnosis codes and '9' for ICD-9 diagnosis codes.   (2300, HI03-1, HI*PR or HI*APR)",Claim,Text,1,1229,1229,N,237,N,,
Detail,PATIENT_REASON_FOR_VISIT_03,"The value in this field represents the Patient’s Reason For Visit 3.  (2300, HI03-2, HI*PR or HI*APR)",Claim,Text,7,1230,1236,Y,238,Y,,
Detail,PRINCIPAL_PROCEDURE_QUAL,"The value in this field represents a qualifier to show whether the principal procedure code noted below is in ICD-9 or ICD-10 format.  Value should be '0' for ICD-10 procedure codes and '9' for ICD-9 procedure codes.  (2300, HI01-1, HI*BR or HI*BBR)",Claim,Text,1,1237,1237,N,239,N,,
Detail,PRINCIPAL_PROCEDURE,"The value in this field represents the primary procedure code submitted by the provider for this claim.  (2300, HI01-2, HI*BR or HI*BBR)",Claim,Text,7,1238,1244,Y,240,Y,,
Detail,PRINCIPAL_PROCEDURE_DATE,"The value in this field represents the date of execution of the primary procedure code submitted by the provider for this claim.  (2300, HI01-4, HI*BR or HI*BBR)",Claim,"Date
YYYYMMDD",8,1245,1252,Y,241,Y,,
Detail,PROCEDURE_02_QUAL,"The value in this field represents a qualifier to show whether the additional procedure code noted below is in ICD-9 or ICD-10 format.  Value should be '0' for ICD-10 procedure codes and '9' for ICD-9 procedure codes.  (2300, HI01-1, HI*BQ or HI*BBQ)",Claim,Text,1,1253,1253,N,242,N,,
Detail,PROCEDURE_02,"The value in this field represents the additional procedure code submitted by the provider for this claim.  (2300, HI01-2, HI*BQ or HI*BBQ)",Claim,Text,7,1254,1260,Y,243,Y,,
Detail,PROCEDURE_02_DATE,"The value in this field represents the date of execution of the procedure code submitted by the provider for this claim.  (2300, HI01-4, HI*BQ or HI*BBQ)",Claim,"Date
YYYYMMDD",8,1261,1268,Y,244,Y,,
Detail,PROCEDURE_03_QUAL,"The value in this field represents a qualifier to show whether the additional procedure code noted below is in ICD-9 or ICD-10 format.  Value should be '0' for ICD-10 procedure codes and '9' for ICD-9 procedure codes.  (2300, HI01-1, HI*BQ or HI*BBQ)",Claim,Text,1,1269,1269,N,245,N,,
Detail,PROCEDURE_03,"The value in this field represents the additional procedure code submitted by the provider for this claim.  (2300, HI01-2, HI*BQ or HI*BBQ)",Claim,Text,7,1270,1276,Y,246,Y,,
Detail,PROCEDURE_03_DATE,"The value in this field represents the date of execution of the procedure code submitted by the provider for this claim.  (2300, HI01-4, HI*BQ or HI*BBQ)",Claim,"Date
YYYYMMDD",8,1277,1284,Y,247,Y,,
Detail,PROCEDURE_04_QUAL,"The value in this field represents a qualifier to show whether the additional procedure code noted below is in ICD-9 or ICD-10 format.  Value should be '0' for ICD-10 procedure codes and '9' for ICD-9 procedure codes.  (2300, HI02-1, HI*BQ or HI*BBQ)",Claim,Text,1,1285,1285,N,248,N,,
Detail,PROCEDURE_04,"The value in this field represents the additional procedure code submitted by the provider for this claim.  (2300, HI02-2, HI*BQ or HI*BBQ)",Claim,Text,7,1286,1292,Y,249,Y,,
Detail,PROCEDURE_04_DATE,"The value in this field represents the date of execution of the procedure code submitted by the provider for this claim.  (2300, HI02-4, HI*BQ or HI*BBQ)",Claim,"Date
YYYYMMDD",8,1293,1300,Y,250,Y,,
Detail,PROCEDURE_05_QUAL,"The value in this field represents a qualifier to show whether the additional procedure code noted below is in ICD-9 or ICD-10 format.  Value should be '0' for ICD-10 procedure codes and '9' for ICD-9 procedure codes.  (2300, HI03-1, HI*BQ or HI*BBQ)",Claim,Text,1,1301,1301,N,251,N,,
Detail,PROCEDURE_05,"The value in this field represents the additional procedure code submitted by the provider for this claim.  (2300, HI03-2, HI*BQ or HI*BBQ)",Claim,Text,7,1302,1308,Y,252,Y,,
Detail,PROCEDURE_05_DATE,"The value in this field represents the date of execution of the procedure code submitted by the provider for this claim.  (2300, HI03-4, HI*BQ or HI*BBQ)",Claim,"Date
YYYYMMDD",8,1309,1316,Y,253,Y,,
Detail,PROCEDURE_06_QUAL,"The value in this field represents a qualifier to show whether the additional procedure code noted below is in ICD-9 or ICD-10 format.  Value should be '0' for ICD-10 procedure codes and '9' for ICD-9 procedure codes.  (2300, HI04-1, HI*BQ or HI*BBQ)",Claim,Text,1,1317,1317,N,254,N,,
Detail,PROCEDURE_06,"The value in this field represents the additional procedure code submitted by the provider for this claim.  (2300, HI04-2, HI*BQ or HI*BBQ)",Claim,Text,7,1318,1324,Y,255,Y,,
Detail,PROCEDURE_06_DATE,"The value in this field represents the date of execution of the procedure code submitted by the provider for this claim.  (2300, HI04-4, HI*BQ or HI*BBQ)",Claim,"Date
YYYYMMDD",8,1325,1332,Y,256,Y,,
Detail,PROCEDURE_07_QUAL,"The value in this field represents a qualifier to show whether the additional procedure code noted below is in ICD-9 or ICD-10 format.  Value should be '0' for ICD-10 procedure codes and '9' for ICD-9 procedure codes.  (2300, HI05-1, HI*BQ or HI*BBQ)",Claim,Text,1,1333,1333,N,257,N,,
Detail,PROCEDURE_07,"The value in this field represents the additional procedure code submitted by the provider for this claim.  (2300, HI05-2, HI*BQ or HI*BBQ)",Claim,Text,7,1334,1340,Y,258,Y,,
Detail,PROCEDURE_07_DATE,"The value in this field represents the date of execution of the procedure code submitted by the provider for this claim.  (2300, HI05-4, HI*BQ or HI*BBQ)",Claim,"Date
YYYYMMDD",8,1341,1348,Y,259,Y,,
Detail,PROCEDURE_08_QUAL,"The value in this field represents a qualifier to show whether the additional procedure code noted below is in ICD-9 or ICD-10 format.  Value should be '0' for ICD-10 procedure codes and '9' for ICD-9 procedure codes.  (2300, HI06-1, HI*BQ or HI*BBQ)",Claim,Text,1,1349,1349,N,260,N,,
Detail,PROCEDURE_08,"The value in this field represents the additional procedure code submitted by the provider for this claim.  (2300, HI06-2, HI*BQ or HI*BBQ)",Claim,Text,7,1350,1356,Y,261,Y,,
Detail,PROCEDURE_08_DATE,"The value in this field represents the date of execution of the procedure code submitted by the provider for this claim.  (2300, HI06-4, HI*BQ or HI*BBQ)",Claim,"Date
YYYYMMDD",8,1357,1364,Y,262,Y,,
Detail,PROCEDURE_09_QUAL,"The value in this field represents a qualifier to show whether the additional procedure code noted below is in ICD-9 or ICD-10 format.  Value should be '0' for ICD-10 procedure codes and '9' for ICD-9 procedure codes.  (2300, HI07-1, HI*BQ or HI*BBQ)",Claim,Text,1,1365,1365,N,263,N,,
Detail,PROCEDURE_09,"The value in this field represents the additional procedure code submitted by the provider for this claim.  (2300, HI07-2, HI*BQ or HI*BBQ)",Claim,Text,7,1366,1372,Y,264,Y,,
Detail,PROCEDURE_09_DATE,"The value in this field represents the date of execution of the procedure code submitted by the provider for this claim.  (2300, HI07-4, HI*BQ or HI*BBQ)",Claim,"Date
YYYYMMDD",8,1373,1380,Y,265,Y,,
Detail,PROCEDURE_10_QUAL,"The value in this field represents a qualifier to show whether the additional procedure code noted below is in ICD-9 or ICD-10 format.  Value should be '0' for ICD-10 procedure codes and '9' for ICD-9 procedure codes.  (2300, HI08-1, HI*BQ or HI*BBQ)",Claim,Text,1,1381,1381,N,266,N,,
Detail,PROCEDURE_10,"The value in this field represents the additional procedure code submitted by the provider for this claim.  (2300, HI08-2, HI*BQ or HI*BBQ)",Claim,Text,7,1382,1388,Y,267,Y,,
Detail,PROCEDURE_10_DATE,"The value in this field represents the date of execution of the procedure code submitted by the provider for this claim.  (2300, HI08-4, HI*BQ or HI*BBQ)",Claim,"Date
YYYYMMDD",8,1389,1396,Y,268,Y,,
Detail,PROCEDURE_11_QUAL,"The value in this field represents a qualifier to show whether the additional procedure code noted below is in ICD-9 or ICD-10 format.  Value should be '0' for ICD-10 procedure codes and '9' for ICD-9 procedure codes.  (2300, HI09-1, HI*BQ or HI*BBQ)",Claim,Text,1,1397,1397,N,269,N,,
Detail,PROCEDURE_11,"The value in this field represents the additional procedure code submitted by the provider for this claim.  (2300, HI09-2, HI*BQ or HI*BBQ)",Claim,Text,7,1398,1404,Y,270,Y,,
Detail,PROCEDURE_11_DATE,"The value in this field represents the date of execution of the procedure code submitted by the provider for this claim.  (2300, HI09-4, HI*BQ or HI*BBQ)",Claim,"Date
YYYYMMDD",8,1405,1412,Y,271,Y,,
Detail,PROCEDURE_12_QUAL,"The value in this field represents a qualifier to show whether the additional procedure code noted below is in ICD-9 or ICD-10 format.  Value should be '0' for ICD-10 procedure codes and '9' for ICD-9 procedure codes.  (2300, HI10-1, HI*BQ or HI*BBQ)",Claim,Text,1,1413,1413,N,272,N,,
Detail,PROCEDURE_12,"The value in this field represents the additional procedure code submitted by the provider for this claim.  (2300, HI10-2, HI*BQ or HI*BBQ)",Claim,Text,7,1414,1420,Y,273,Y,,
Detail,PROCEDURE_12_DATE,"The value in this field represents the date of execution of the procedure code submitted by the provider for this claim.  (2300, HI10-4, HI*BQ or HI*BBQ)",Claim,"Date
YYYYMMDD",8,1421,1428,Y,274,Y,,
Detail,PROCEDURE_13_QUAL,"The value in this field represents a qualifier to show whether the additional procedure code noted below is in ICD-9 or ICD-10 format.  Value should be '0' for ICD-10 procedure codes and '9' for ICD-9 procedure codes.  (2300, HI11-1, HI*BQ or HI*BBQ)",Claim,Text,1,1429,1429,N,275,N,,
Detail,PROCEDURE_13,"The value in this field represents the additional procedure code submitted by the provider for this claim.  (2300, HI11-2, HI*BQ or HI*BBQ)",Claim,Text,7,1430,1436,Y,276,Y,,
Detail,PROCEDURE_13_DATE,"The value in this field represents the date of execution of the procedure code submitted by the provider for this claim.  (2300, HI11-4, HI*BQ or HI*BBQ)",Claim,"Date
YYYYMMDD",8,1437,1444,Y,277,Y,,
Detail,PROCEDURE_14_QUAL,"The value in this field represents a qualifier to show whether the additional procedure code noted below is in ICD-9 or ICD-10 format.  Value should be '0' for ICD-10 procedure codes and '9' for ICD-9 procedure codes.  (2300, HI12-1, HI*BQ or HI*BBQ)",Claim,Text,1,1445,1445,N,278,N,,
Detail,PROCEDURE_14,"The value in this field represents the additional procedure code submitted by the provider for this claim.  (2300, HI12-2, HI*BQ or HI*BBQ)",Claim,Text,7,1446,1452,Y,279,Y,,
Detail,PROCEDURE_14_DATE,"The value in this field represents the date of execution of the procedure code submitted by the provider for this claim.  (2300, HI12-4, HI*BQ or HI*BBQ)",Claim,"Date
YYYYMMDD",8,1453,1460,Y,280,Y,,
Detail,PROCEDURE_15_QUAL,"The value in this field represents a qualifier to show whether the additional procedure code noted below is in ICD-9 or ICD-10 format.  Value should be '0' for ICD-10 procedure codes and '9' for ICD-9 procedure codes.  (2300, HI*BQ or HI*BBQ Segment Repeat)",Claim,Text,1,1461,1461,N,281,N,,
Detail,PROCEDURE_15,"The value in this field represents the additional procedure code submitted by the provider for this claim.  (2300, HI*BQ or HI*BBQ Segment Repeat)",Claim,Text,7,1462,1468,Y,282,Y,,
Detail,PROCEDURE_15_DATE,"The value in this field represents the date of execution of the procedure code submitted by the provider for this claim.  (2300, HI*BQ or HI*BBQ Segment Repeat)",Claim,"Date
YYYYMMDD",8,1469,1476,Y,283,Y,,
Detail,PROCEDURE_16_QUAL,"The value in this field represents a qualifier to show whether the additional procedure code noted below is in ICD-9 or ICD-10 format.  Value should be '0' for ICD-10 procedure codes and '9' for ICD-9 procedure codes.  (2300, HI*BQ or HI*BBQ Segment Repeat)",Claim,Text,1,1477,1477,N,284,N,,
Detail,PROCEDURE_16,"The value in this field represents the additional procedure code submitted by the provider for this claim.  (2300, HI*BQ or HI*BBQ Segment Repeat)",Claim,Text,7,1478,1484,Y,285,Y,,
Detail,PROCEDURE_16_DATE,"The value in this field represents the date of execution of the procedure code submitted by the provider for this claim.  (2300, HI*BQ or HI*BBQ Segment Repeat)",Claim,"Date
YYYYMMDD",8,1485,1492,Y,286,Y,,
Detail,PROCEDURE_17_QUAL,"The value in this field represents a qualifier to show whether the additional procedure code noted below is in ICD-9 or ICD-10 format.  Value should be '0' for ICD-10 procedure codes and '9' for ICD-9 procedure codes.  (2300, HI*BQ or HI*BBQ Segment Repeat)",Claim,Text,1,1493,1493,N,287,N,,
Detail,PROCEDURE_17,"The value in this field represents the additional procedure code submitted by the provider for this claim.  (2300, HI*BQ or HI*BBQ Segment Repeat)",Claim,Text,7,1494,1500,Y,288,Y,,
Detail,PROCEDURE_17_DATE,"The value in this field represents the date of execution of the procedure code submitted by the provider for this claim.  (2300, HI*BQ or HI*BBQ Segment Repeat)",Claim,"Date
YYYYMMDD",8,1501,1508,Y,289,Y,,
Detail,PROCEDURE_18_QUAL,"The value in this field represents a qualifier to show whether the additional procedure code noted below is in ICD-9 or ICD-10 format.  Value should be '0' for ICD-10 procedure codes and '9' for ICD-9 procedure codes.  (2300, HI*BQ or HI*BBQ Segment Repeat)",Claim,Text,1,1509,1509,N,290,N,,
Detail,PROCEDURE_18,"The value in this field represents the additional procedure code submitted by the provider for this claim.  (2300, HI*BQ or HI*BBQ Segment Repeat)",Claim,Text,7,1510,1516,Y,291,Y,,
Detail,PROCEDURE_18_DATE,"The value in this field represents the date of execution of the procedure code submitted by the provider for this claim.  (2300, HI*BQ or HI*BBQ Segment Repeat)",Claim,"Date
YYYYMMDD",8,1517,1524,Y,292,Y,,
