Loop ID,EDI Segment,EDI Data Element Name,EDI Element Description,USAGE,Enumeration Values,CDS Field Name / Hardcode,Extract layout name,Position,Level,Mapping Logic,Cuztomization,Comments,PIEDMONT,
2010AC,REF,Pay-to Plan Secondary Identification,,,,,,,,,,,,
2010AC,2010AC.REF01,Reference Identification Qualifier,,,"2U Payer Identification Number
FY Claim Office Number
NF National Association of Insurance Commissioners
(NAIC) Code",,,,,,,,,
2010AC,2010AC.REF02,Reference Identification,,,,,,,,,,,,
2010AC,REF,Pay-To Plan Tax Identification Number (Required),,,,,,,,,,,,
2010AC,2010AC.REF01,Reference Identification Qualifier,,,EI Employer’s Identification Number,,,,,,,,,
2010AC,2010AC.REF02,Reference Identification,,,,,,,,,,,,
"LOOP 2000B - SUBSCRIBER HIERARCHICAL
LEVEL",,,,,,,,,,,,,,
2000B,HL,Subscriber Hierarchical Level (Required),,,,,,,,,,,,
2000B,2000B.HL01,Hierarchical ID Number,,,,Generated by Edifecs,,,,,,,,
2000B,2000B.HL02,Hierarchical Parent ID Number,,,,2000A.HL01,,,,,,,,
2000B,2000B.HL03,Hierarchical Level Code,,,22 Subscriber,"Hardcode as ""22""",,,,,,,,
2000B,2000B.HL04,Hierarchical Child Code,,,"0 No Subordinate HL Segment in This Hierarchical
Structure.
1 Additional Subordinate HL Data Segment in This
Hierarchical Structure.",Generated by Edifecs,,,,,,,,
2000B,SBR,Subscriber Information (Required),,R,,,,,,,,,,
2000B,2000B.SBR01,Payer Responsibility Sequence Number Code,Code identifying the insurance carrier’s level of responsibility for a payment of a claim,R,"A Payer Responsibility Four
B Payer Responsibility Five
C Payer Responsibility Six
D Payer Responsibility Seven
E Payer Responsibility Eight
F Payer Responsibility Nine
G Payer Responsibility Ten
H Payer Responsibility Eleven
P Primary
S Secondary
T Tertiary
U Unknown","Hardcode as ""P""",,,,,,,,
2000B,2000B.SBR02,Individual Relationship Code,Code indicating the relationship between two individuals or entities,S,18 Self,"Hardcode as ""18""",,,,Only if RELATIONSHIP_TO_SUB = Self (18),,,,
2000B,2000B.SBR03,Reference Identification,Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier,S,,"CLAIM_SI_MEB_SUB_FACT
SI_MEMBER_GROUP_NUMBER",,503,Claim,,,,"AETNA:
ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/subscriptionInformation/groupNumber
if group number is '10302', then pass PDCNTRASF. Pass 'PEDMNT' for all other self Insured groups
FirstHealth:
Pass Acro ID's here",
2000B,2000B.SBR04,Name,Free-form name,S,,,,,,,,,,
2000B,2000B.SBR05,Insurance Type Code,Code identifying the type of insurance policy within a specific insurance program,S,"12 Medicare Secondary Working Aged Beneficiary or
Spouse with Employer Group Health Plan
13 Medicare Secondary End-Stage Renal Disease
Beneficiary in the Mandated Coordination Period
with an Employer’s Group Health Plan
14 Medicare Secondary, No-fault Insurance including
Auto is Primary
15 Medicare Secondary Worker’s Compensation
16 Medicare Secondary Public Health Service (PHS)or
Other Federal Agency
41 Medicare Secondary Black Lung
42 Medicare Secondary Veteran’s Administration
43 Medicare Secondary Disabled Beneficiary Under
Age 65 with Large Group Health Plan (LGHP)
47 Medicare Secondary, Other Liability Insurance is
Primary",,,,,,,,,
2000B,2000B.SBR09,Claim Filing Indicator Code,Code identifying type of claim,S,"11 Other Non-Federal Programs
12 Preferred Provider Organization (PPO)
13 Point of Service (POS)
14 Exclusive Provider Organization (EPO)
15 Indemnity Insurance
16 Health Maintenance Organization (HMO) Medicare
Risk
17 Dental Maintenance Organization
AM Automobile Medical
BL Blue Cross/Blue Shield
CH Champus
CI Commercial Insurance Co.
DS Disability
FI Federal Employees Program
HM Health Maintenance Organization
LM Liability Medical
MA Medicare Part A
MB Medicare Part B
MC Medicaid
OF Other Federal Program
TV Title V
VA Veterans Affairs Plan
WC Workers’ Compensation Health Claim
ZZ Mutually Defined",SUB_CLAIM_FILING_CODE,,242,Claim,,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/baseBenefitPlan/product/planType,
2000B,PAT,Patient Information,,,,,,,,,,,,
2000B,2000B.PAT05,Date Time Period Format Qualifier,,,D8 Date Expressed in Format CCYYMMDD,,,,,,,,,
2000B,2000B.PAT06,Date Time Period,,,,,,,,,,,,
2000B,2000B.PAT07,Unit or Basis for Measurement Code,,,01 Actual Pounds,,,,,,,,,
2000B,2000B.PAT08,Weight,,,,,,,,,,,,
2000B,2000B.PAT09,Yes/No Condition or Response Code,,,Y Yes,,,,,,,,,
LOOP 2010BA - SUBSCRIBER NAME,,,,,,,,,,,,,,
2010BA,NM1,Subscriber Name (Required),,R,,,,,,,,,,
2010BA,2010BA.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an individual",R,IL Insured or Subscriber,"Hardcode as ""IL""",,,,,,,,
2010BA,2010BA.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,"1 Person
2 Non-Person Entity","Hardcode as ""1""",,,,,,,,
2010BA,2010BA.NM103,Name Last or Organization Name,Individual last name or organizational name,R,,SUB_LAST_NAME,SUB_LAST_NAME,243,Claim,,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/hcfa1500Info/subscriberInformation/individual/lastName,
2010BA,2010BA.NM104,Name First,Individual first name,S,,SUB_FIRST_NAME,SUB_FIRST_NAME,244,Claim,,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/hcfa1500Info/subscriberInformation/individual/firstName,
2010BA,2010BA.NM105,Name Middle,Individual middle name or initial,S,,SUB_MIDDLE_NAME,SUB_MIDDLE_NAME,245,Claim,,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/hcfa1500Info/subscriberInformation/individual/middleName,
2010BA,2010BA.NM107,Name Suffix,Suffix to individual name,SS,,SUB_NAME_SUFFIX,SUB_NAME_SUFFIX,246,Claim,,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/hcfa1500Info/subscriberInformation/individual/nameSuffix,
2010BA,2010BA.NM108,Identification Code Qualifier,Code designating the system/method of code structure used for Identification Code (67),R,"II Standard Unique Health Identifier for each Individual
in the United States
MI Member Identification Number","Hardcode as ""MI""",,,,,,,,
2010BA,2010BA.NM109,Identification Code,Code identifying a party or other code,R,,SUB_ID,SUB_ID,3,Claim,,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/subscriptionInformation/hccId,
2010BA,N3,Subscriber Address,,S,,,,,,,,,,
2010BA,2010BA.N301,Address Information,Address information,R,,SUB_ADDRESS_1,SUB_ADDRESS_01,247,Claim,,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/subscriptionInformation/correspondenceAddress/address,
2010BA,2010BA.N302,Address Information,Address information,S,,SUB_ADDDRESS_2,SUB_ADDDRESS_02,248,Claim,,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/subscriptionInformation/correspondenceAddress/address2,
2010BA,N4,"Subscriber City, State, ZIP Code",,R,,,,,,,,,,
2010BA,2010BA.N401,City Name,Free-form text for city name,R,,SUB_CITY,SUB_CITY,249,Claim,,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/subscriptionInformation/correspondenceAddress/city,
2010BA,2010BA.N402,State or Province Code,Code (Standard State/Province) as defined by appropriate government agency,S,,SUB_STATE,SUB_STATE,250,Claim,,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/subscriptionInformation/correspondenceAddress/stateCode,
2010BA,2010BA.N403,Postal Code,Code defining international postal zone code excluding punctuation and blanks (zip code for United States),S,,(SUB_ZIP) + ( SUB_ZIP_PLUS_4),(SUB_ZIP) + ( SUB_ZIP_PLUS_FOUR),251 + 252,Claim,,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/subscriptionInformation/correspondenceAddress/zipCode + ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/subscriptionInformation/correspondenceAddress/zipExtension,
2010BA,2010BA.N404,Country Code,Code identifying the country,S,,Leave it blank,,253,Claim,,,"I checked in OB Payment. Seems Country Code is not displaying in EDI. As we do not have any logic with Country Code and we are blocked with this issue (Snip Validation Error while translating with the Value as US), we can remove the Country Code mapping",ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/subscriptionInformation/correspondenceAddress/countryCode,
2010BA,2010BA.N407,Country Subdivision Code,Code identifying the country subdivision,S,,,,,,,,,,
2010BA,DMG,Subscriber Demographic Information,,S,,,,,,,,,,
2010BA,2010BA.DMG01,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 Date Expressed in Format CCYYMMDD,"Hardcode as ""D8""",,,,,,,,
2010BA,2010BA.DMG02,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,SUB_DOB,SUB_DOB,255,Claim,,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/subscriptionInformation/subscriber/birthdate,
2010BA,2010BA.DMG03,Gender Code,Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier,R,"F Female
M Male
U Unknown",SUB_GENDER_ID,SUB_GENDER_ID,256,Claim,,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/subscriptionInformation/subscriber/genderCode,
2010BA,REF,Subscriber Secondary Identification,,,,,,,,,,,,
2010BA,2010BA.REF01,Reference Identification Qualifier,,,SY Social Security Number,,,,,,,,,
2010BA,2010BA.REF02,Reference Identification,,,,,,,,,,,,
2010BA,REF,Property and Casualty Claim Number,,,,,,,,,,,,
2010BA,2010BA.REF01,Reference Identification Qualifier,,,Y4 Agency Claim Number,,,,,,,,,
2010BA,2010BA.REF02,Reference Identification,,,,,,,,,,,,
2010BA,PER,Property and Casualty Subscriber Contact Information,,,,,,,,,,,,
2010BA,2010BA.PER01,Contact Function Code,,,IC Information Contact,,,,,,,,,
2010BA,2010BA.PER02,Name,,,,,,,,,,,,
2010BA,2010BA.PER03,Communication Number Qualifier,,,TE Telephone,,,,,,,,,
2010BA,2010BA.PER04,Communication Number,,,,,,,,,,,,
2010BA,2010BA.PER05,Communication Number Qualifier,,,EX Telephone Extension,,,,,,,,,
2010BA,2010BA.PER06,Communication Number,,,,,,,,,,,,
LOOP 2010BB - PAYER NAME,,,,,,,,,,,,,,
2010BB,NM1,Payer Name (Required),,R,,,,,,,,,,
2010BB,2010BB.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an individual",R,PR Payer,"Hardcode as ""PR""",,,,,,,,
2010BB,2010BB.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,2 Non-Person Entity,"Hardcode as ""2""",,,,,,,,
2010BB,2010BB.NM103,Name Last or Organization Name,Individual last name or organizational name,R,,Product,,,,,Yes,Configurable value for Implementation team,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/payerInformation/hicName,
2010BB,2010BB.NM108,Identification Code Qualifier,Code designating the system/method of code structure used for Identification Code (67),R,"PI Payor Identification
XV Centers for Medicare and Medicaid Services PlanID","Hardcode as ""PI""",,,,,,,,
2010BB,2010BB.NM109,Identification Code,Code identifying a party or other code,R,,"Default value ""1234567""",,,,,Yes,"Configurable value for Implementation team
updated default values",ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/payerInformation/taxId,
2010BB,N3,Payer Address,,S,,,,,,,,,,
2010BB,2010BB.N301,Address Information,Address Information,R,,"Hardcode as ""XXXX""",,,,,,Not found In hrdw . Hence hardcode,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/payerInformation/hicAddress/address,
2010BB,2010BB.N302,Address Information,Address Information,S,,,,,,,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/payerInformation/hicAddress/address2,
2010BB,N4,"Payer City, State, ZIP Code",,R,,,,,,,,,,
2010BB,2010BB.N401,City Name,Free-form text for city name,R,,"Default value as ""Product""",,,,,,Configurable value for Implementation team. Random values updated,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/payerInformation/hicAddress/city,
2010BB,2010BB.N402,State or Province Code,Code (Standard State/Province) as defined by appropriate government agency,S,,"Default  value as ""CO""",,,,,,Configurable value for Implementation team. Random values updated,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/payerInformation/hicAddress/stateCode,
2010BB,2010BB.N403,Postal Code,Code defining international postal zone code excluding punctuation and blanks (zip code for United States),S,,"Default  value as ""CO""",,,,,,Configurable value for Implementation team. Random values updated,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/payerInformation/hicAddress/zipCode + ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/payerInformation/hicAddress/zipExtension,
2010BB,2010BB.N404,Country Code,Code identifying the country,S,,Leave it blank,,,,,,"Configurable value for Implementation team. Random values updated
20/6/2024: CO cannot be hardcoded as it is not a valid value. So leaving it Blank",ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/payerInformation/hicAddress/countryCode,
2010BB,2010BB.N407,Country Subdivision Code,Code identifying the country subdivision,S,,,,,,,,,,
2010BB,REF,Payer Secondary Identification,,S,,,,,,,,,,
2010BB,2010BB.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,"2U Payer Identification Number
EI Employer’s Identification Number
FY Claim Office Number
NF National Association of Insurance Commissioners
(NAIC) Code",,,,,,,,,
2010BB,2010BB.REF02,Reference Identification,Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier,R,,,,,,,,,,
LOOP 2000C - PATIENT HIERARCHICAL LEVEL,,,,,,,,,,,,,,
2000C,HL,Patient Hierarchical Level,,S,,,,,,,,,,
2000C,2000C.HL01,Hierarchical ID Number,,,,System Generated,System Generated,,,,,,,
2000C,2000C.HL02,Hierarchical Parent ID Number,,,,2000B.HL01,2000B.HL01,,,,,,,
2000C,2000C.HL03,Hierarchical Level Code,,,23 Dependent,"Hardcode as ""23""",23,,,,,,,
2000C,2000C.HL04,Hierarchical Child Code,,,"0 No Subordinate HL Segment in This Hierarchical
Structure.","Hardcode as ""0""",0,,,,,,,
2000C,PAT,Patient Information (Required),,R,,,,,,,,,,
2000C,2000C.PAT01,Individual Relationship Code,Code indicating the relationship between two individuals or entities,R,"01 Spouse
19 Child
20 Employee
21 Unknown
39 Organ Donor
40 Cadaver Donor
53 Life Partner
G8 Other Relationship",RELATIONSHIP_TO_SUB,RELATIONSHIP_TO_SUB,16,Claim,Generate 2000C loop only if  RELATIONSHIP_TO_SUB   is not 18,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/patientInformation/relationshipToSubscriber,
2000C,2000C.PAT05,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",S,D8 Date Expressed in Format CCYYMMDD,,,,,,,,,
2000C,2000C.PAT06,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",S,,,,,,,,,,
2000C,2000C.PAT07,Unit or Basis for Measurement Code,"Code specifying the units in which a value is being expressed, or manner in which a measurement has been taken",S,01 Actual Pounds,,,,,,,,,
2000C,2000C.PAT08,Weight,Numeric value of weight,S,,,,,,,,,,
2000C,2000C.PAT09,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,S,Y Yes,,,,,,,,,
LOOP 2010CA - PATIENT NAME,,,,,,,,,,,,,,
2010CA,NM1,Patient Name (Required),,R,,,,,,,,,,
2010CA,2010CA.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an individual",R,QC Patient,"Hardcode as ""QC""",,,,,,,,
2010CA,2010CA.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,1 Person,"Hardcode as ""1""",,,,,,,,
2010CA,2010CA.NM103,Name Last or Organization Name,Individual last name or organizational name,R,,PATIENT_LAST_NAME,PATIENT_LAST_NAME,12,Claim,,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/hcfa1500Info/memberInformation/individual/lastName,
2010CA,2010CA.NM104,Name First,Individual first name,S,,PATIENT_FIRST_NAME,PATIENT_FIRST_NAME,13,Claim,,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/hcfa1500Info/memberInformation/individual/firstName,
2010CA,2010CA.NM105,Name Middle,Individual middle name or initial,S,,PATIENT_MIDDLE_NAME,PATIENT_MIDDLE_NAME,14,Claim,,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/hcfa1500Info/memberInformation/individual/middleName,
2010CA,2010CA.NM107,Name Suffix,Suffix to individual name,S,,PATIENT_NAME_SUFFIX,PATIENT_NAME_SUFFIX,15,Claim,,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/hcfa1500Info/memberInformation/individual/nameSuffix,
2010CA,N3,Patient Address (Required),,R,,,,,,,,,,
2010CA,2010CA.N301,Address Information,Address information,R,,PATIENT_ADDRESS_1,PATIENT_ADDRESS_01,258,Claim,,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/patientInformation/correspondenceAddress/address,
2010CA,2010CA.N302,Address Information,Address information,S,,PATIENT_ADDRESS_2,PATIENT_ADDRESS_02,259,Claim,,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/patientInformation/correspondenceAddress/address2,
2010CA,N4,"Patient City, State, ZIP Code (Required)",,R,,,,,,,,,,
2010CA,2010CA.N401,City Name,Free-form text for city name,R,,PATIENT_CITY,PATIENT_CITY,260,Claim,,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/patientInformation/correspondenceAddress/city,
2010CA,2010CA.N402,State or Province Code,Code (Standard State/Province) as defined by appropriate government agency,S,,PATIENT_STATE,PATIENT_STATE,261,Claim,,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/patientInformation/correspondenceAddress/stateCode,
2010CA,2010CA.N403,Postal Code,Code defining international postal zone code excluding punctuation and blanks (zip code for United States),S,,(PATIENT_ZIP) + (PATIENT_ZIP_PLUS_4),(PATIENT_ZIP) + (PATIENT_ZIP_PLUS_FOUR),262 + 263,Claim,,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/patientInformation/correspondenceAddress/zipCode + ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/patientInformation/correspondenceAddress/zipExtension,
2010CA,2010CA.N404,Country Code,Code identifying the country,S,,Leave it blank,,264,Claim,,,"I checked in OB Payment. Seems Country Code is not displaying in EDI. As we do not have any logic with Country Code and we are blocked with this issue (Snip Validation Error while translating with the Value as US), we can remove the Country Code mapping",ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/patientInformation/correspondenceAddress/countyCode,
2010CA,2010CA.N407,Country Subdivision Code,Code identifying the country subdivision,S,,,,,,,,,,
2010CA,DMG,Patient Demographic Information (Required),,R,,,,,,,,,,
2010CA,2010CA.DMG01,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 Date Expressed in Format CCYYMMDD,"Hardcode as ""D8""",,,,,,,,
2010CA,2010CA.DMG02,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,PATIENT_DOB,PATIENT_DOB,5,Claim,,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/patientInformation/member/birthdate,
2010CA,2010CA.DMG03,Gender Code,Code indicating the sex of the individual,R,"F Female
M Male
U Unknown",PATIENT_GENDER_ID,PATIENT_GENDER_ID,6,Claim,,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/patientInformation/member/genderCode,
2010CA,REF,Property and Casualty Claim Number,,,,,,,,,,,,
2010CA,2010CA.REF01,Reference Identification Qualifier,,,Y4 Agency Claim Number,,,,,,,,,
2010CA,2010CA.REF02,Reference Identification,,,,,,,,,,,,
2010CA,REF,Property and Casualty Patient Identifier,,,,,,,,,,,,
2010CA,2010CA.REF01,Reference Identification Qualifier,,,,,,,,,,,,
2010CA,2010CA.REF02,Reference Identification,,,,,,,,,,,,
2010CA,PER,Property and Casualty Patient Contact Information,,,,,,,,,,,,
2010CA,2010CA.PER01,Contact Function Code,,,IC Information Contact,,,,,,,,,
2010CA,2010CA.PER02,Name,,,,,,,,,,,,
