"#","Table Area","Loop Position","Loop ID","Loop Name","Segment Position","Segment ID","Segment Name","Composite Position","Composite ID","Composite Name","Element Position","Element ID","Element Name","Standard Option","User Option","Excluded","Max use","Data Type","Min Length","Max Length","Codelist"
"255","Detail",,,,"0300","NM1","Custodial Parent",,,,,,,"Optional","Situational","NO","1",,,,
"256",,,,,,,,,,,"01","98","Entity Identifier Code","Mandatory","Required","NO","1","ID","2","3","S3"
"257",,,,,,,,,,,"02","1065","Entity Type Qualifier","Mandatory","Required","NO","1","ID","1","1","1"
"258",,,,,,,,,,,"03","1035","Name Last or Organization Name","Relational","Required","NO","1","AN","1","60",
"259",,,,,,,,,,,"04","1036","Name First","Optional","Required","NO","1","AN","1","35",
"260",,,,,,,,,,,"05","1037","Name Middle","Optional","Situational","NO","1","AN","1","25",
"261",,,,,,,,,,,"06","1038","Name Prefix","Optional","Situational","NO","1","AN","1","10",
"262",,,,,,,,,,,"07","1039","Name Suffix","Optional","Situational","NO","1","AN","1","10",
"263",,,,,,,,,,,"08","66","Identification Code Qualifier","Relational","Situational","NO","1","ID","1","2","34,ZZ"
"264",,,,,,,,,,,"09","67","Identification Code","Relational","Situational","NO","1","AN","2","80",
"265","Detail",,,,"0400","PER","Custodial Parent Communications Numbers",,,,,,,"Optional","Situational","NO","1",,,,
"266",,,,,,,,,,,"01","366","Contact Function Code","Mandatory","Required","NO","1","ID","2","2","PQ"
"267",,,,,,,,,,,"03","365","Communication Number Qualifier","Relational","Required","NO","1","ID","2","2","AP,BN,CP,EM,EX,FX,HP,TE,WP"
"268",,,,,,,,,,,"04","364","Communication Number","Relational","Required","NO","1","AN","1","256",
"269",,,,,,,,,,,"05","365","Communication Number Qualifier","Relational","Situational","NO","1","ID","2","2","AP,BN,CP,EM,EX,FX,HP,TE,WP"
"270",,,,,,,,,,,"06","364","Communication Number","Relational","Situational","NO","1","AN","1","256",
"271",,,,,,,,,,,"07","365","Communication Number Qualifier","Relational","Situational","NO","1","ID","2","2","AP,BN,CP,EM,EX,HP,TE,WP"
"272",,,,,,,,,,,"08","364","Communication Number","Relational","Situational","NO","1","AN","1","256",
"273","Detail",,,,"0500","N3","Custodial Parent Street Address",,,,,,,"Optional","Situational","NO","1",,,,
"274",,,,,,,,,,,"01","166","Address Information","Mandatory","Required","NO","1","AN","1","55",
"275",,,,,,,,,,,"02","166","Address Information","Optional","Situational","NO","1","AN","1","55",
"276","Detail",,,,"0600","N4","Custodial Parent City, State, ZIP Code",,,,,,,"Optional","Situational","NO","1",,,,
"277",,,,,,,,,,,"01","19","City Name","Optional","Required","NO","1","AN","2","30",
"278",,,,,,,,,,,"02","156","State or Province Code","Relational","Situational","NO","1","ID","2","2",
"279",,,,,,,,,,,"03","116","Postal Code","Optional","Situational","NO","1","ID","3","15",
"280",,,,,,,,,,,"04","26","Country Code","Relational","Situational","NO","1","ID","2","3",
"281",,,,,,,,,,,"07","1715","Country Subdivision Code","Relational","Situational","NO","1","ID","1","3",
,,,,,,,,,,,,,,,,,,,,,
"282","Detail","0300","2100G","Responsible Person",,,,,,,,,,"Optional","Situational","NO","13",,,,
"283","Detail",,,,"0300","NM1","Responsible Person",,,,,,,"Optional","Situational","NO","1",,,,
"284",,,,,,,,,,,"01","98","Entity Identifier Code","Mandatory","Required","NO","1","ID","2","3","6Y,9K,E1,EI,GB,GD,J6,LR,QD,S1,TZ,X4,EXS"
"285",,,,,,,,,,,"02","1065","Entity Type Qualifier","Mandatory","Required","NO","1","ID","1","1","1"
"286",,,,,,,,,,,"03","1035","Name Last or Organization Name","Relational","Required","NO","1","AN","1","60",
"287",,,,,,,,,,,"04","1036","Name First","Optional","Situational","NO","1","AN","1","35",
"288",,,,,,,,,,,"05","1037","Name Middle","Optional","Situational","NO","1","AN","1","25",
"289",,,,,,,,,,,"06","1038","Name Prefix","Optional","Situational","NO","1","AN","1","10",
"290",,,,,,,,,,,"07","1039","Name Suffix","Optional","Situational","NO","1","AN","1","10",
"291",,,,,,,,,,,"08","66","Identification Code Qualifier","Relational","Situational","NO","1","ID","1","2","34,ZZ"
"292",,,,,,,,,,,"09","67","Identification Code","Relational","Situational","NO","1","AN","2","80",
"293","Detail",,,,"0400","PER","Responsible Person Communications Numbers",,,,,,,"Optional","Situational","NO","1",,,,
"294",,,,,,,,,,,"01","366","Contact Function Code","Mandatory","Required","NO","1","ID","2","2","RP"
"295",,,,,,,,,,,"03","365","Communication Number Qualifier","Relational","Required","NO","1","ID","2","2","AP,BN,CP,EM,EX,FX,HP,TE,WP"
"296",,,,,,,,,,,"04","364","Communication Number","Relational","Required","NO","1","AN","1","256",
"297",,,,,,,,,,,"05","365","Communication Number Qualifier","Relational","Situational","NO","1","ID","2","2","AP,BN,CP,EM,EX,FX,HP,TE,WP"
"298",,,,,,,,,,,"06","364","Communication Number","Relational","Situational","NO","1","AN","1","256",
"299",,,,,,,,,,,"07","365","Communication Number Qualifier","Relational","Situational","NO","1","ID","2","2","AP,BN,CP,EM,EX,FX,HP,TE,WP"
"300",,,,,,,,,,,"08","364","Communication Number","Relational","Situational","NO","1","AN","1","256",
"301","Detail",,,,"0500","N3","Responsible Person Street Address",,,,,,,"Optional","Situational","NO","1",,,,
"302",,,,,,,,,,,"01","166","Address Information","Mandatory","Required","NO","1","AN","1","55",
"303",,,,,,,,,,,"02","166","Address Information","Optional","Situational","NO","1","AN","1","55",
"304","Detail",,,,"0600","N4","Responsible Person City, State, ZIP Code",,,,,,,"Optional","Situational","NO","1",,,,
"305",,,,,,,,,,,"01","19","City Name","Optional","Required","NO","1","AN","2","30",
"306",,,,,,,,,,,"02","156","State or Province Code","Relational","Situational","NO","1","ID","2","2",
"307",,,,,,,,,,,"03","116","Postal Code","Optional","Situational","NO","1","ID","3","15",
"308",,,,,,,,,,,"04","26","Country Code","Relational","Situational","NO","1","ID","2","3",
"309",,,,,,,,,,,"07","1715","Country Subdivision Code","Relational","Situational","NO","1","ID","1","3",
,,,,,,,,,,,,,,,,,,,,,
"310","Detail","0300","2100H","Drop Off Location",,,,,,,,,,"Optional","Situational","NO","1",,,,
"311","Detail",,,,"0300","NM1","Drop Off Location",,,,,,,"Optional","Situational","NO","1",,,,
"312",,,,,,,,,,,"01","98","Entity Identifier Code","Mandatory","Required","NO","1","ID","2","3","45"
"313",,,,,,,,,,,"02","1065","Entity Type Qualifier","Mandatory","Required","NO","1","ID","1","1","1"
"314",,,,,,,,,,,"03","1035","Name Last or Organization Name","Relational","Situational","NO","1","AN","1","60",
"315",,,,,,,,,,,"04","1036","Name First","Optional","Situational","NO","1","AN","1","35",
"316",,,,,,,,,,,"05","1037","Name Middle","Optional","Situational","NO","1","AN","1","25",
"317",,,,,,,,,,,"06","1038","Name Prefix","Optional","Situational","NO","1","AN","1","10",
"318",,,,,,,,,,,"07","1039","Name Suffix","Optional","Situational","NO","1","AN","1","10",
"319","Detail",,,,"0500","N3","Drop Off Location Street Address",,,,,,,"Optional","Situational","NO","1",,,,
"320",,,,,,,,,,,"01","166","Address Information","Mandatory","Required","NO","1","AN","1","55",
"321",,,,,,,,,,,"02","166","Address Information","Optional","Situational","NO","1","AN","1","55",
"322","Detail",,,,"0600","N4","Drop Off Location City, State, ZIP Code",,,,,,,"Optional","Situational","NO","1",,,,
"323",,,,,,,,,,,"01","19","City Name","Optional","Required","NO","1","AN","2","30",
"324",,,,,,,,,,,"02","156","State or Province Code","Relational","Situational","NO","1","ID","2","2",
"325",,,,,,,,,,,"03","116","Postal Code","Optional","Situational","NO","1","ID","3","15",
"326",,,,,,,,,,,"04","26","Country Code","Relational","Situational","NO","1","ID","2","3",
"327",,,,,,,,,,,"07","1715","Country Subdivision Code","Relational","Situational","NO","1","ID","1","3",
,,,,,,,,,,,,,,,,,,,,,
"328","Detail","2000","2200","Disability Information",,,,,,,,,,"Optional","Situational","NO",">1",,,,
"329","Detail",,,,"2000","DSB","Disability Information",,,,,,,"Optional","Situational","NO","1",,,,
"330",,,,,,,,,,,"01","1146","Disability Type Code","Mandatory","Required","NO","1","ID","1","1","1,2,3,4"
"331",,,,,,,,,,,"07","235","Product/Service ID Qualifier","Relational","Situational","NO","1","ID","2","2","DX,ZZ"
"332",,,,,,,,,,,"08","1137","Medical Code Value","Relational","Situational","NO","1","AN","1","15",
"333","Detail",,,,"2100","DTP","Disability Eligibility Dates",,,,,,,"Optional","Situational","NO","2",,,,
"334",,,,,,,,,,,"01","374","Date/Time Qualifier","Mandatory","Required","NO","1","ID","3","3","360,361"
"335",,,,,,,,,,,"02","1250","Date Time Period Format Qualifier","Mandatory","Required","NO","1","ID","2","3","D8"
"336",,,,,,,,,,,"03","1251","Date Time Period","Mandatory","Required","NO","1","AN","1","35",
,,,,,,,,,,,,,,,,,,,,,
"337","Detail","2600","2300","Health Coverage",,,,,,,,,,"Optional","Situational","NO","99",,,,
"338","Detail",,,,"2600","HD","Health Coverage",,,,,,,"Optional","Situational","NO","1",,,,
"339",,,,,,,,,,,"01","875","Maintenance Type Code","Mandatory","Required","NO","1","ID","3","3","001,002,021,024,025,026,030,032"
"340",,,,,,,,,,,"03","1205","Insurance Line Code","Optional","Required","NO","1","ID","2","3","AG,AH,AJ,AK,HE,MM,UR,DCP,DEN,EPO,FAC,HLT,HMO,LTC,LTD,MOD,PDG,POS,PPO,PRA,STD,VIS"
"341",,,,,,,,,,,"04","1204","Plan Coverage Description","Optional","Situational","NO","1","AN","1","50",
"342",,,,,,,,,,,"05","1207","Coverage Level Code","Optional","Situational","NO","1","ID","3","3","CHD,DEP,E1D,E2D,E3D,E5D,E6D,E7D,E8D,E9D,ECH,EMP,ESP,FAM,IND,SPC,SPO,TWO"
"343",,,,,,,,,,,"09","1073","Yes/No Condition or Response Code","Optional","Situational","NO","1","ID","1","1","N,Y"
"344","Detail",,,,"2700","DTP","Health Coverage Dates",,,,,,,"Optional","Required","NO","6",,,,
"345",,,,,,,,,,,"01","374","Date/Time Qualifier","Mandatory","Required","NO","1","ID","3","3","300,303,343,348,349,543,695"
"346",,,,,,,,,,,"02","1250","Date Time Period Format Qualifier","Mandatory","Required","NO","1","ID","2","3","D8,RD8"
"347",,,,,,,,,,,"03","1251","Date Time Period","Mandatory","Required","NO","1","AN","1","35",
"348","Detail",,,,"2800","AMT","Health Coverage Policy",,,,,,,"Optional","Situational","NO","9",,,,
"349",,,,,,,,,,,"01","522","Amount Qualifier Code","Mandatory","Required","NO","1","ID","1","3","R,B9,C1,D2,FK,P3,EBA"
"350",,,,,,,,,,,"02","782","Monetary Amount","Mandatory","Required","NO","1","R","1","18",
"351","Detail",,,,"2900","REF","Health Coverage Policy Number",,,,,,,"Optional","Situational","NO","14",,,,
"352",,,,,,,,,,,"01","128","Reference Identification Qualifier","Mandatory","Required","NO","1","ID","2","3","17,1L,9V,CE,E8,M7,RB,X9,XM,ZX,ZZ,PID,XX1,XX2"
"353",,,,,,,,,,,"02","127","Reference Identification","Relational","Required","NO","1","AN","1","50",
"354","Detail",,,,"2900","REF","Prior Coverage Months",,,,,,,"Optional","Situational","NO","1",,,,
"355",,,,,,,,,,,"01","128","Reference Identification Qualifier","Mandatory","Required","NO","1","ID","2","3","QQ"
"356",,,,,,,,,,,"02","127","Reference Identification","Relational","Required","NO","1","AN","1","50",
"357","Detail",,,,"3000","IDC","Identification Card",,,,,,,"Optional","Situational","NO","3",,,,
"358",,,,,,,,,,,"01","1204","Plan Coverage Description","Mandatory","Required","NO","1","AN","1","50",
"359",,,,,,,,,,,"02","1215","Identification Card Type Code","Mandatory","Required","NO","1","ID","1","1","D,H,P"
"360",,,,,,,,,,,"03","380","Quantity","Optional","Situational","NO","1","R","1","15",
"361",,,,,,,,,,,"04","306","Action Code","Optional","Situational","NO","1","ID","1","2","1,2,RX"
"362","Detail","3100","2310","Provider Information",,,,,,,,,,"Optional","Situational","NO","30",,,,
"363","Detail",,,,"3100","LX","Provider Information",,,,,,,"Optional","Situational","NO","1",,,,
"364",,,,,,,,,,,"01","554","Assigned Number","Mandatory","Required","NO","1","N0","1","6",
"365","Detail",,,,"3200","NM1","Provider Name",,,,,,,"Optional","Required","NO","1",,,,
"366",,,,,,,,,,,"01","98","Entity Identifier Code","Mandatory","Required","NO","1","ID","2","3","1X,3D,80,FA,OD,P3,QA,QN,Y2"
"367",,,,,,,,,,,"02","1065","Entity Type Qualifier","Mandatory","Required","NO","1","ID","1","1","1,2"
"368",,,,,,,,,,,"03","1035","Name Last or Organization Name","Relational","Situational","NO","1","AN","1","60",
"369",,,,,,,,,,,"04","1036","Name First","Optional","Situational","NO","1","AN","1","35",
"370",,,,,,,,,,,"05","1037","Name Middle","Optional","Situational","NO","1","AN","1","25",
"371",,,,,,,,,,,"06","1038","Name Prefix","Optional","Situational","NO","1","AN","1","10",
"372",,,,,,,,,,,"07","1039","Name Suffix","Optional","Situational","NO","1","AN","1","10",
"373",,,,,,,,,,,"08","66","Identification Code Qualifier","Relational","Situational","NO","1","ID","1","2","34,FI,SV,XX"
"374",,,,,,,,,,,"09","67","Identification Code","Relational","Situational","NO","1","AN","2","80",
"375",,,,,,,,,,,"10","706","Entity Relationship Code","Relational","Required","NO","1","ID","2","2","25,26,72"
"376","Detail",,,,"3500","N3","Provider Address",,,,,,,"Optional","Situational","NO","2",,,,
"377",,,,,,,,,,,"01","166","Address Information","Mandatory","Required","NO","1","AN","1","55",
"378",,,,,,,,,,,"02","166","Address Information","Optional","Situational","NO","1","AN","1","55",
"379","Detail",,,,"3600","N4","Provider City, State, ZIP Code",,,,,,,"Optional","Situational","NO","1",,,,
"380",,,,,,,,,,,"01","19","City Name","Optional","Required","NO","1","AN","2","30",
"381",,,,,,,,,,,"02","156","State or Province Code","Relational","Situational","NO","1","ID","2","2",
"382",,,,,,,,,,,"03","116","Postal Code","Optional","Situational","NO","1","ID","3","15",
"383",,,,,,,,,,,"04","26","Country Code","Relational","Situational","NO","1","ID","2","3",
"384",,,,,,,,,,,"07","1715","Country Subdivision Code","Relational","Situational","NO","1","ID","1","3",
"385","Detail",,,,"3700","PER","Provider Communications Numbers",,,,,,,"Optional","Situational","NO","2",,,,
"386",,,,,,,,,,,"01","366","Contact Function Code","Mandatory","Required","NO","1","ID","2","2","IC"
"387",,,,,,,,,,,"03","365","Communication Number Qualifier","Relational","Required","NO","1","ID","2","2","AP,BN,CP,EM,EX,FX,HP,TE,WP"
"388",,,,,,,,,,,"04","364","Communication Number","Relational","Required","NO","1","AN","1","256",
"389",,,,,,,,,,,"05","365","Communication Number Qualifier","Relational","Situational","NO","1","ID","2","2","AP,BN,CP,EM,EX,FX,HP,TE,WP"
"390",,,,,,,,,,,"06","364","Communication Number","Relational","Situational","NO","1","AN","1","256",
"391",,,,,,,,,,,"07","365","Communication Number Qualifier","Relational","Situational","NO","1","ID","2","2","AP,BN,CP,EM,EX,FX,HP,TE,WP"
"392",,,,,,,,,,,"08","364","Communication Number","Relational","Situational","NO","1","AN","1","256",
"393","Detail",,,,"3950","PLA","Provider Change Reason",,,,,,,"Optional","Situational","NO","1",,,,
"394",,,,,,,,,,,"01","306","Action Code","Mandatory","Required","NO","1","ID","1","2","2"
"395",,,,,,,,,,,"02","98","Entity Identifier Code","Mandatory","Required","NO","1","ID","2","3","1P"
"396",,,,,,,,,,,"03","373","Date","Mandatory","Required","NO","1","DT","8","8",
"397",,,,,,,,,,,"05","1203","Maintenance Reason Code","Optional","Required","NO","1","ID","2","3","14,22,46,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ"
,,,,,,,,,,,,,,,,,,,,,
"398","Detail","4000","2320","Coordination of Benefits",,,,,,,,,,"Optional","Situational","NO","5",,,,
"399","Detail",,,,"4000","COB","Coordination of Benefits",,,,,,,"Optional","Situational","NO","1",,,,
"400",,,,,,,,,,,"01","1138","Payer Responsibility Sequence Number Code","Optional","Required","NO","1","ID","1","1","P,S,T,U"
"401",,,,,,,,,,,"02","127","Reference Identification","Optional","Situational","NO","1","AN","1","50",
"402",,,,,,,,,,,"03","1143","Coordination of Benefits Code","Optional","Required","NO","1","ID","1","1","1,5,6"
"403",,,,,,,,,,,"04","1365","Service Type Code","Optional","Situational","NO","9","ID","1","2","1,35,48,50,54,89,90,A4,AG,AL,BB"
"404","Detail",,,,"4050","REF","Additional Coordination of Benefits Identifiers",,,,,,,"Optional","Situational","NO","4",,,,
"405",,,,,,,,,,,"01","128","Reference Identification Qualifier","Mandatory","Required","NO","1","ID","2","3","60,6P,SY,ZZ"
"406",,,,,,,,,,,"02","127","Reference Identification","Relational","Required","NO","1","AN","1","50",
"407","Detail",,,,"4070","DTP","Coordination of Benefits Eligibility Dates",,,,,,,"Optional","Situational","NO","2",,,,
"408",,,,,,,,,,,"01","374","Date/Time Qualifier","Mandatory","Required","NO","1","ID","3","3","344,345"
"409",,,,,,,,,,,"02","1250","Date Time Period Format Qualifier","Mandatory","Required","NO","1","ID","2","3","D8"
"410",,,,,,,,,,,"03","1251","Date Time Period","Mandatory","Required","NO","1","AN","1","35",
"411","Detail","4100","2330","Coordination of Benefits Related Entity",,,,,,,,,,"Optional","Situational","NO","3",,,,
"412","Detail",,,,"4100","NM1","Coordination of Benefits Related Entity",,,,,,,"Optional","Situational","NO","1",,,,
"413",,,,,,,,,,,"01","98","Entity Identifier Code","Mandatory","Required","NO","1","ID","2","3","36,GW,IN"
"414",,,,,,,,,,,"02","1065","Entity Type Qualifier","Mandatory","Required","NO","1","ID","1","1","2"
"415",,,,,,,,,,,"03","1035","Name Last or Organization Name","Relational","Situational","NO","1","AN","1","60",
"416",,,,,,,,,,,"08","66","Identification Code Qualifier","Relational","Situational","NO","1","ID","1","2","FI,NI,XV"
"417",,,,,,,,,,,"09","67","Identification Code","Relational","Situational","NO","1","AN","2","80",
"418","Detail",,,,"4300","N3","Coordination of Benefits Related Entity Address",,,,,,,"Optional","Situational","NO","1",,,,
"419",,,,,,,,,,,"01","166","Address Information","Mandatory","Required","NO","1","AN","1","55",
"420",,,,,,,,,,,"02","166","Address Information","Optional","Situational","NO","1","AN","1","55",
"421","Detail",,,,"4400","N4","Coordination of Benefits Other Insurance Company City, State, ZIP Code",,,,,,,"Optional","Situational","NO","1",,,,
"422",,,,,,,,,,,"01","19","City Name","Optional","Required","NO","1","AN","2","30",
"423",,,,,,,,,,,"02","156","State or Province Code","Relational","Situational","NO","1","ID","2","2",
"424",,,,,,,,,,,"03","116","Postal Code","Optional","Situational","NO","1","ID","3","15",
"425",,,,,,,,,,,"04","26","Country Code","Relational","Situational","NO","1","ID","2","3",
"426",,,,,,,,,,,"07","1715","Country Subdivision Code","Relational","Situational","NO","1","ID","1","3",
"427","Detail",,,,"4500","PER","Administrative Communications Contact",,,,,,,"Optional","Situational","NO","1",,,,
"428",,,,,,,,,,,"01","366","Contact Function Code","Mandatory","Required","NO","1","ID","2","2","CN"
"429",,,,,,,,,,,"03","365","Communication Number Qualifier","Relational","Required","NO","1","ID","2","2","TE"
"430",,,,,,,,,,,"04","364","Communication Number","Relational","Required","NO","1","AN","1","256",
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"431","Detail","6880","LS","Additional Reporting Categories",,,,,,,,,,"Optional","Situational","NO","1",,,,
"432","Detail",,,,"6880","LS","Additional Reporting Categories",,,,,,,"Optional","Situational","NO","1",,,,
"433",,,,,,,,,,,"01","447","Loop Identifier Code","Mandatory","Required","NO","1","AN","1","4",
"434","Detail","6881","2700","Member Reporting Categories",,,,,,,,,,"Optional","Situational","NO",">1",,,,
"435","Detail",,,,"6881","LX","Member Reporting Categories",,,,,,,"Optional","Situational","NO","1",,,,
"436",,,,,,,,,,,"01","554","Assigned Number","Mandatory","Required","NO","1","N0","1","6",
"437","Detail","6882","2750","Reporting Category",,,,,,,,,,"Optional","Situational","NO","1",,,,
"438","Detail",,,,"6882","N1","Reporting Category",,,,,,,"Optional","Situational","NO","1",,,,
"439",,,,,,,,,,,"01","98","Entity Identifier Code","Mandatory","Required","NO","1","ID","2","3","75"
"440",,,,,,,,,,,"02","93","Name","Relational","Required","NO","1","AN","1","60",
"441","Detail",,,,"6883","REF","Reporting Category Reference",,,,,,,"Optional","Situational","NO","1",,,,
"442",,,,,,,,,,,"01","128","Reference Identification Qualifier","Mandatory","Required","NO","1","ID","2","3","00,17,18,19,26,3L,6M,9V,9X,GE,LU,YY,ZZ,PID,XX1,XX2"
"443",,,,,,,,,,,"02","127","Reference Identification","Relational","Required","NO","1","AN","1","50",
"444","Detail",,,,"6884","DTP","Reporting Category Date",,,,,,,"Optional","Situational","NO","1",,,,
"445",,,,,,,,,,,"01","374","Date/Time Qualifier","Mandatory","Required","NO","1","ID","3","3","007"
"446",,,,,,,,,,,"02","1250","Date Time Period Format Qualifier","Mandatory","Required","NO","1","ID","2","3","D8,RD8"
"447",,,,,,,,,,,"03","1251","Date Time Period","Mandatory","Required","NO","1","AN","1","35",
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"448","Detail",,,,"6885","LE","Additional Reporting Categories Loop Termination",,,,,,,"Optional","Situational","NO","1",,,,
"449",,,,,,,,,,,"01","447","Loop Identifier Code","Mandatory","Required","NO","1","AN","1","4",
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"450","Detail",,,,"6900","SE","Transaction Set Trailer",,,,,,,"Mandatory","Required","NO","1",,,,
"451",,,,,,,,,,,"01","96","Number of Included Segments","Mandatory","Required","NO","1","N0","1","10",
"452",,,,,,,,,,,"02","329","Transaction Set Control Number","Mandatory","Required","NO","1","AN","4","9",
"453","Not Defined",,,,,"GE","Functional Group Trailer",,,,,,,"Mandatory","Required","NO","1",,,,
"454",,,,,,,,,,,"01","97","Number of Transaction Sets Included","Mandatory","Required","NO","1","N0","1","6",
"455",,,,,,,,,,,"02","28","Group Control Number","Mandatory","Required","NO","1","N0","1","9",
"456","Not Defined",,,,,"IEA","Interchange Control Trailer",,,,,,,"Mandatory","Required","NO","1",,,,
"457",,,,,,,,,,,"01","I16","Number of Included Functional Groups","Mandatory","Required","NO","1","N0","1","5",
"458",,,,,,,,,,,"02","I12","Interchange Control Number","Mandatory","Required","NO","1","N0","9","9",
