EDILoopID. Segment,EDI Data Element Name,EDI Element Description,Usage,Enumeration Values,Hard Code / Default Value,XML Field,Mapping Logic/ Comments,
2300.CLM11.04,State or Province Code,"Code (Standard State/Province) as defined by appropriate government
agency",S,,,,,
2300.CLM11.05,Country Code,Country Code,S,,,,,
2300.CLM12,Special Program Code,,S,,,,,
2300.CLM20,Delay Reason Code,,S,,,,,
DTP,Segment - DTP Date - Onset of Current Illness or Symptom (Situational),,S,,,,,
2300.DTP01,Date/Time Qualifier,"Code specifying type of date or time, or both date and time",R,431 :Onset of Current Symptoms or Illness,,,,
2300.DTP02,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 :  Date Expressed in Format CCYYMMDD,,,,
2300.DTP03,Date Time Period,Date Time Period,R,,,,,
DTP,Segment - DTP Date - Initial Treatment Date (Situational),,S,,,,,
2300.DTP01,Date/Time Qualifier,"Code specifying type of date or time, or both date and time",R,454 : Initial Treatment,,,,
2300.DTP02,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 :  Date Expressed in Format CCYYMMDD,,,,
2300.DTP03,Date Time Period,Date Time Period,R,,,,,
DTP,Segment - DTP Date - Last Seen Date (Situational),,S,,,,,
2300.DTP01,Date/Time Qualifier,"Code specifying type of date or time, or both date and time",R,304: Latest Visit or Consultation,,,,
2300.DTP02,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 :  Date Expressed in Format CCYYMMDD,,,,
2300.DTP03,Date Time Period,Date Time Period,R,,,,,
DTP,Segment - DTP Date - Acute Manifestation (Situational),,S,,,,,
2300.DTP01,Date/Time Qualifier,"Code specifying type of date or time, or both date and time",R,453: Acute Manifestation of a Chronic Condition,,,,
2300.DTP02,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 :  Date Expressed in Format CCYYMMDD,,,,
2300.DTP03,Date Time Period,Date Time Period,R,,,,,
DTP,Segment - DTP Date - Accident (Situational),,S,,,,,
2300.DTP01,Date/Time Qualifier,"Code specifying type of date or time, or both date and time",R,439: Accident,,,,
2300.DTP02,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 :  Date Expressed in Format CCYYMMDD,,,,
2300.DTP03,Date Time Period,Date Time Period,R,,,,,
DTP,Segment - DTP Date - Last Menstrual Period (Situational),,S,,,,,
2300.DTP01,Date/Time Qualifier,"Code specifying type of date or time, or both date and time",R,484:  Last Menstrual Period,,,,
2300.DTP02,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 :  Date Expressed in Format CCYYMMDD,,,,
2300.DTP03,Date Time Period,Date Time Period,R,,,,,
DTP,Segment - DTP Date - Last X-ray Date (Situational),,S,,,,,
2300.DTP01,Date/Time Qualifier,"Code specifying type of date or time, or both date and time",R,455: Last X-Ray,,,,
2300.DTP02,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 :  Date Expressed in Format CCYYMMDD,,,,
2300.DTP03,Date Time Period,Date Time Period,R,,,,,
DTP,Segment - DTP Date - Hearing and Vision Prescription Date (Situational),,S,,,,,
2300.DTP01,Date/Time Qualifier,"Code specifying type of date or time, or both date and time",R,471: Prescription,,,,
2300.DTP02,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 :  Date Expressed in Format CCYYMMDD,,,,
2300.DTP03,Date Time Period,Date Time Period,R,,,,,
DTP,Segment - DTP Date - Disability Dates (Situational),,S,,,,,
2300.DTP01,Date/Time Qualifier,"Code specifying type of date or time, or both date and time",R,"314 : Disability ( when both disability start and end date are being reported)
360 :  Initial Disability Period Start (if patient is currently disabled and
disability end date is unknown.)
361 : Initial Disability Period End ( if patient is no longer disabled and the)
start date is unknown",,,,
2300.DTP02,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,"D8 :  Date Expressed in Format CCYYMMDD
RD8 :  Range of Dates Expressed in Format CCYYMMDDCCYYMMDD",,,,
2300.DTP03,Date Time Period,Date Time Period,R,,,,,
DTP,Segment - DTP Date - Last Worked (Situational),,S,,,,,
2300.DTP01,Date/Time Qualifier,"Code specifying type of date or time, or both date and time",R,297 : Initial Disability Period Last Day Worked,,,,
2300.DTP02,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 :  Date Expressed in Format CCYYMMDD,,,,
2300.DTP03,Date Time Period,Date Time Period,R,,,,,
DTP,Segment - DTP Date - Authorized Return to Work (Situational),,S,,,,,
2300.DTP01,Date/Time Qualifier,"Code specifying type of date or time, or both date and time",R,296 : Initial Disability Period Last Day Worked,,,,
2300.DTP02,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 :  Date Expressed in Format CCYYMMDD,,,,
2300.DTP03,Date Time Period,Date Time Period,R,,,,,
DTP,Segment - DTP Date - Admission (Situational),,S,,,,,
2300.DTP01,Date/Time Qualifier,"Code specifying type of date or time, or both date and time",R,435 : Admission,435,,,
2300.DTP02,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 : Date Expressed in Format CCYYMMDD,D8,,,
2300.DTP03,Date Time Period,Date Time Period,R,,,"If present: getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/hospitalizationStartDate
else:
getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/admitDate",,
DTP,Segment - DTP Date - Discharge (Situational),,S,,,,,
2300.DTP01,Date/Time Qualifier,"Code specifying type of date or time, or both date and time",R,096 : Discharge,096,,,
2300.DTP02,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 : Date Expressed in Format CCYYMMDD,D8,,,
2300.DTP03,Date Time Period,Date Time Period,R,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/hospitalizationEndDate,,
DTP,Segment - DTP Date - Assumed and Relinquished Care Dates (Situational),,S,,,,,
2300.DTP01,Date/Time Qualifier,"Code specifying type of date or time, or both date and time",R,090 :  Report Start,,,,
2300.DTP02,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 : Date Expressed in Format CCYYMMDD,,,,
2300.DTP03,Date Time Period,Date Time Period,R,,,,,
DTP,Segment - DTP Date - Property and Casualty Date of First Contact (Situational),,S,,,,,
2300.DTP01,Date/Time Qualifier,"Code specifying type of date or time, or both date and time",R,096 :  First Visit or Consultation,,,,
2300.DTP02,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 : Date Expressed in Format CCYYMMDD,,,,
2300.DTP03,Date Time Period,Date Time Period,R,,,,,
DTP,Segment - DTP Date - Repricer Received Date (Situational),,S,,,,,
2300.DTP01,Date/Time Qualifier,"Code specifying type of date or time, or both date and time",R,050 :  Received,050,,,
2300.DTP02,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 : Date Expressed in Format CCYYMMDD,D8,,,
2300.DTP03,Date Time Period,Date Time Period,R,,/claim/receiptDate,,,
PWK,Segment - PWK Claim Supplemental Information (Situational),,S,,,,,
2300.PWK01,Report Type Code,"Code indicating the title or contents of a document, report or supporting item",R,"03 Report Justifying Treatment Beyond UtilizationGuidelines
04 Drugs Administered
05 Treatment Diagnosis
06 Initial Assessment
07 Functional Goals
08 Plan of Treatment
09 Progress Report
10 Continued Treatment
11 Chemical Analysis
13 Certified Test Report
15 Justification for Admission
21 Recovery Plan
A3 Allergies/Sensitivities Document
A4 Autopsy Report
AM Ambulance Certification
AS Admission Summary
B2 Prescription
B3 Physician Order
B4 Referral Form
BR Benchmark Testing Results
BS Baseline
BT Blanket Test Results
CB Chiropractic Justification
CK Consent Form(s)
CT Certification
D2 Drug Profile Document
DA Dental Models
DB Durable Medical Equipment Prescription
DG Diagnostic Report
DJ Discharge Monitoring Report
DS Discharge Summary
EB Explanation of Benefits (Coordination of Benefits or
Medicare Secondary Payor)
HC Health Certificate
HR Health Clinic Records
I5 Immunization Record
ASC X12N • INSURANCE SUBCOMMITTEE 005010X222 • 837 • 2300 • PWK
TECHNICAL REPORT • TYPE 3 CLAIM SUPPLEMENTAL INFORMATION
MAY 2006 183
IR State School Immunization Records
LA Laboratory Results
M1 Medical Record Attachment
MT Models
NN Nursing Notes
OB Operative Note
OC Oxygen Content Averaging Report
OD Orders and Treatments Document
OE Objective Physical Examination (including vital
signs) Document
OX Oxygen Therapy Certification
OZ Support Data for Claim
P4 Pathology Report
P5 Patient Medical History Document
PE Parenteral or Enteral Certification
PN Physical Therapy Notes
PO Prosthetics or Orthotic Certification
PQ Paramedical Results
PY Physician’s Report
PZ Physical Therapy Certification
RB Radiology Films
RR Radiology Reports
RT Report of Tests and Analysis Report
RX Renewable Oxygen Content Averaging Report
SG Symptoms Document
V5 Death Notification
XP Photographs",,,,
2300.PWK02,Report Transmission Code,"Code defining timing, transmission method or format by which reports are to be
sent",R,"AA : Available on Request at Provider Site
BM : By Mail
EL : Electronically Only
EM : E-Mail
FT : File Transfer
FX : By Fax",,,,
2300.PWK05,Identification Code Qualifier,Code identifying a party or other code,S,AC:  Attachment Control Number,,,,
,,,,,,,,
2300.PWK06,Identification Code,Attachment Control Number. Used to identify the attached electronic documentation.The number in PWK06 is carried in the TRN of the electronic attachment,S,,,,,
CN1,Segment - CN1 Contract Information (Situational),,,,,,,
2300.CN101,Contract Type Code,Code identifying a contract type,R,"01 : Diagnosis Related Group (DRG)
02 : Per Diem
03 : Variable Per Diem
04 : Flat
05 : Capitated
06 : Percent
09 : Other",,,,
2300.CN102,Monetary Amount,Contract Amount,S,,,,,
2300.CN103,"Percent, Decimal Format",Contract Percentage,S,,,,,
2300.CN104,Reference Identification,Contract Code,S,,,,,
2300.CN105,Terms Discount Percent,"Terms discount percentage, expressed as a percent, available to the purchaser if
an invoice is paid on or before the Terms Discount Due Date",S,,,,,
2300.CN106,Version Identifier,Contract Version Identifier,S,,,,,
AMT,Segment - AMT Patient Amount Paid (Situational),,,,,,,
2300.AMT01,Amount Qualifier Code,Code to qualify amount,R,F5 : Patient Amount Paid,F5,,,
2300.AMT02,Monetary Amount,Patient Amount Paid,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/memberPaidAmount,,
REF,Segment - REF Service Authorization Exception Code (Situational),,,,,,,
2300.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,4N :  Special Payment Reference Number,,,,
2300.REF02,Reference Identification,Service Authorization Exception Code,R,,,,,
REF,Segment - REF Mandatory Medicare (Section 4081) Crossover Indicator (Situational),,,,,,,
2300.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,F5 : Medicare Version Code,,,,
2300.REF02,Reference Identification,Medicare Section 4081 Indicator,R,"Y : 4081
N : Regular crossover",,,,
REF,Segment - REF Mammography Certification Number (Situational),,,,,,,
2300.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,EW:  Mammography Certification Number,,,,
2300.REF02,Reference Identification,Mammography Certification Number,R,,,,,
REF,Segment - REF Referral Number (Situational),,,,,,,
2300.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,9F :  Referral Number,,,,
2300.REF02,Reference Identification,Referral Number,R,,,,,
REF,Segment - REF Prior Authorization (Situational),,,,,,,
2300.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,G1 : Prior Authorization Number,,,,
2300.REF02,Reference Identification,Prior Authorization Number,R,,,,,
REF,Segment - REF Payer Claim Control Number (Situational),,,,,,,
2300.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,F8 : Original Reference Number,F8,,,
2300.REF02,Reference Identification,Payer Claim Control Number,R,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/hccId/,,
REF,Segment - REF Clinical Laboratory Improvement Amendment (CLIA) Number (Situational),,,,,,,
2300.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,"X4 : Clinical Laboratory Improvement Amendment
Number",,,,
2300.REF02,Reference Identification,Clinical Laboratory Improvement Amendment Number,R,,,,,
REF,Segment - REF Repriced Claim Number (Situational),,,,,,,
2300.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,9A : Repriced Claim Reference Number,,,,
2300.REF02,Reference Identification,Repriced Claim Reference Number,R,,,,,
REF,Segment - REF Adjusted Repriced Claim Number (Situational),,,,,,,
2300.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,9C :  Adjusted Repriced Claim Reference Number,,,,
2300.REF02,Reference Identification,Adjusted Repriced Claim Reference Number,R,,,,,
REF,Segment - REF Investigational Device Exemption Number (Situational),,,,,,,
2300.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,LX : Qualified Products List,,,,
2300.REF02,Reference Identification,Investigational Device Exemption Identifier,R,,,,,
REF,Segment - REF Claim Identification For Transmission Intermediaries (Situational),,,,,,,
2300.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,D9 : Claim Number,D9,,,
2300.REF02,Reference Identification,Value Added Network Trace Number,R,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail//claim/clearingHouseTraceNumber,Map only First 20 bytes,
REF,Segment - REF Medical Record Number (Situational),,,,,,,
2300.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,EA :  Medical Record Identification Number,EA,,,
2300.REF02,Reference Identification,Value Added Network Trace Number,R,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail//claim/medicalRecordNumber,,
REF,Segment - REF Demonstration Project Identifier (Situational),,,,,,,
2300.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,P4 :   Project Code,,,,
2300.REF02,Reference Identification,Value Added Network Trace Number,R,,,,,
K3,Segment - K3 File Information (Situational),,,,,,,
2300.K301,Fixed Format Information,Data in fixed format agreed upon by sender and receiver,R,,,,,
NTE,Segment - NTE Claim Note (Situational),,,,,,,
2300.NTE01,Note Reference Code,Code identifying the functional area or purpose for which the note applies,R,ADD Additional Information,,,,
2300.NTE02,Description,A free-form description to clarify the related data elements and their content  /  Claim Note Text,R,,,,,
CR1,Segment - CR1 Ambulance Transport Information (Situational),,,,,,,
2300.CR101,Unit or Basis for Measurement Code,"Code specifying the units in which a value is being expressed, or manner in which
a measurement has been taken",S,ZZ Mutually Defined,,,,
2300.CR102,Weight,Patient Weight,S,"N No
650 If no, then choose “NU” in CRC03 indicating no
referral given.
Y Yes",,,,
2300.CR104,Ambulance Transport Reason Code,Code indicating the reason for ambulance transport,R,"A : Patient was transported to nearest facility
B : Patient was transported for the benefit of a preferred physician
C : Patient was transported for the nearness of family members
D : Patient was transported for the care of a specialist
E : Patient Transferred to Rehabilitation Facility",,,,
2300.CR105,Unit or Basis for Measurement Code,"Code specifying the units in which a value is being expressed, or manner in which a measurement has been taken",R,DH : Miles,,,,
2300.CR106,Quantity,Transport Distance,R,,,,,
2300.CR109,Description,"Round Trip Purpose Description. Required when the ambulance service is for a round
trip.",S,,,,,
2300.CR110,Description,Stretcher Purpose Description,S,,,,,
CR2,Segment - CR2 Spinal Manipulation Service Information (Situational),,,,,,,
2300.CR208,Nature of Condition Code,Code indicating the nature of a patient’s condition,R,,,,,
2300.CR210,Description,Patient Condition Description,S,,,,,
2300.CR211,Description,Patient Condition Description,S,,,,,
CRC,Segment - CRC Ambulance Certification (Situational),,,,,,,
2300.CRC01,Code Category,Specifies the situation or category to which the code applies,R,07 : Ambulance Certification,,,,
2300.CRC02,Yes/No Condition or Response Code,Certification Condition Indicator,R,"Y : Yes
N : No",,,,
2300.CRC03,Condition Indicator,Code indicating a condition,R,"01 : Patient was admitted to a hospital
04 : Patient was moved by stretcher
05 : Patient was unconscious or in shock
06 : Patient was transported in an emergency situation
07 : Patient had to be physically restrained
08 : Patient had visible hemorrhaging
09 : Ambulance service was medically necessary
12 : Patient is confined to a bed or chair",,,,
2300.CRC04,Condition Indicator,Code indicating a condition when a second condition code is necessary,S,"01 : Patient was admitted to a hospital
04 : Patient was moved by stretcher
05 : Patient was unconscious or in shock
06 : Patient was transported in an emergency situation
07 : Patient had to be physically restrained
08 : Patient had visible hemorrhaging
09 : Ambulance service was medically necessary
12 : Patient is confined to a bed or chair",,,,
2300.CRC05,Condition Indicator,Code indicating a condition when a third condition code is necessary,S,"01 : Patient was admitted to a hospital
04 : Patient was moved by stretcher
05 : Patient was unconscious or in shock
06 : Patient was transported in an emergency situation
07 : Patient had to be physically restrained
08 : Patient had visible hemorrhaging
09 : Ambulance service was medically necessary
12 : Patient is confined to a bed or chair",,,,
2300.CRC06,Condition Indicator,Code indicating a condition when a fourth condition code is necessary,S,"01 : Patient was admitted to a hospital
04 : Patient was moved by stretcher
05 : Patient was unconscious or in shock
06 : Patient was transported in an emergency situation
07 : Patient had to be physically restrained
08 : Patient had visible hemorrhaging
09 : Ambulance service was medically necessary
12 : Patient is confined to a bed or chair",,,,
2300.CRC07,Condition Indicator,Code indicating a condition when a fifth condition code is necessary,S,"01 : Patient was admitted to a hospital
04 : Patient was moved by stretcher
05 : Patient was unconscious or in shock
06 : Patient was transported in an emergency situation
07 : Patient had to be physically restrained
08 : Patient had visible hemorrhaging
09 : Ambulance service was medically necessary
12 : Patient is confined to a bed or chair",,,,
CRC,Segment - CRC Patient Condition Information: Vision (Situational),,,,,,,
2300.CRC01,Code Category,Specifies the situation or category to which the code applies,R,"E1 : Spectacle Lenses
E2 : Contact Lenses
E3 : Spectacle Frames",,,,
2300.CRC02,Yes/No Condition or Response Code,Certification Condition Indicator,R,"Y : Yes
N : No",,,,
2300.CRC03,Condition Indicator,Code indicating a condition,R,"L1 : General Standard of 20 Degree or .5 Diopter Sphere or Cylinder Change Met
L2 : Replacement Due to Loss or Theft L3 : Replacement Due to Breakage or Damage
L4 : Replacement Due to Patient Preference
 L5 : Replacement Due to Medical Reason",,,,
2300.CRC04,Condition Indicator,Code indicating a condition,S,,,,,
2300.CRC05,Condition Indicator,Code indicating a condition,S,,,,,
2300.CRC06,Condition Indicator,Code indicating a condition,S,,,,,
2300.CRC07,Condition Indicator,Code indicating a condition,S,,,,,
CRC,Segment - CRC Homebound Indicator (Situational),,,,,,,
2300.CRC01,Code Category,Specifies the situation or category to which the code applies,R,75 :  Functional Limitations,,,,
2300.CRC02,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,R,Y :Yes,,,,
2300.CRC03,Condition Indicator,Code indicating a condition,R,IH : Independent at Home,,,,
CRC,Segment - CRC EPSDT Referral (Situational),,,,,,,
2300.CRC01,Code Category,Specifies the situation or category to which the code applies,R,ZZ : Mutually Defined,,,,
2300.CRC02,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,R,"Y : Yes
N : No",,,,
2300.CRC03,Condition Indicator,Code indicating a condition,R,"AV : Available - Not Used
NU :Not Used
S2 :Under Treatment
ST :New Services Requested",,,,
2300.CRC04,Condition Indicator,Code indicating a condition,S,,,,,
2300.CRC05,Condition Indicator,Code indicating a condition,S,,,,,
HI,Segment - HEALTH CARE DIAGNOSIS CODE (Required),,,,,,,
2300.HI01.01,Code List Qualifier Code,Code identifying a specific industry code list/ Principal Diagnosis Type Code,R,"ABK : ICD10 -CM - Principal Diagnosis
BK : ICD9 -CM - Principal Diagnosis",ABK,,,
2300.HI01.02,Industry Code,Code indicating a code from a specific industry code list/Principal Diagnosis Code,R,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail//claim/principalDiagnosis/diagnosisCode,,
2300.HI02.01,Code List Qualifier Code,Diagnosis Type Code,R,"ABF : ICD10 -CM -  Diagnosis
BF : ICD9 -CM -  Diagnosis",ABF,,,
2300.HI02.02,Industry Code,Diagnosis Code,R,,,"getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/principalDiagnosis/diagnosisCode
getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/otherDiagnosis/diagnosisInfo/diagnosisCode",,
2300.HI03.01,Code List Qualifier Code,"Diagnosis Type Code (Required when it is necessary to report an additional
diagnosis and the preceding HI data elements have been used to
report other diagnoses)",R,"ABF : ICD10 -CM -  Diagnosis
BF : ICD9 -CM -  Diagnosis",ABF,,,
2300.HI03.02,Industry Code,Diagnosis Code,R,,,"getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/principalDiagnosis/diagnosisCode
getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/otherDiagnosis/diagnosisInfo/diagnosisCode",,
2300.HI04.01,Code List Qualifier Code,"Diagnosis Type Code (Required when it is necessary to report an additional
diagnosis and the preceding HI data elements have been used to
report other diagnoses)",R,"ABF : ICD10 -CM -  Diagnosis
BF : ICD9 -CM -  Diagnosis",ABF,,,
2300.HI04.02,Industry Code,Diagnosis Code,R,,,"getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/principalDiagnosis/diagnosisCode
getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/otherDiagnosis/diagnosisInfo/diagnosisCode",,
2300.HI05.01,Code List Qualifier Code,"Diagnosis Type Code (Required when it is necessary to report an additional
diagnosis and the preceding HI data elements have been used to
report other diagnoses)",R,"ABF : ICD10 -CM -  Diagnosis
BF : ICD9 -CM -  Diagnosis",ABF,,,
2300.HI05.02,Industry Code,Diagnosis Code,R,,,"getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/principalDiagnosis/diagnosisCode
getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/otherDiagnosis/diagnosisInfo/diagnosisCode",,
2300.HI06.01,Code List Qualifier Code,"Diagnosis Type Code (Required when it is necessary to report an additional
diagnosis and the preceding HI data elements have been used to
report other diagnoses)",R,"ABF : ICD10 -CM -  Diagnosis
BF : ICD9 -CM -  Diagnosis",ABF,,,
2300.HI06.02,Industry Code,Diagnosis Code,R,,,"getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/principalDiagnosis/diagnosisCode
getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/otherDiagnosis/diagnosisInfo/diagnosisCode",,
2300.HI07.01,Code List Qualifier Code,"Diagnosis Type Code (Required when it is necessary to report an additional
diagnosis and the preceding HI data elements have been used to
report other diagnoses)",R,"ABF : ICD10 -CM -  Diagnosis
BF : ICD9 -CM -  Diagnosis",ABF,,,
2300.HI07.02,Industry Code,Diagnosis Code,R,,,"getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/principalDiagnosis/diagnosisCode
getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/otherDiagnosis/diagnosisInfo/diagnosisCode",,
2300.HI08.01,Code List Qualifier Code,"Diagnosis Type Code (Required when it is necessary to report an additional
diagnosis and the preceding HI data elements have been used to
report other diagnoses)",R,"ABF : ICD10 -CM -  Diagnosis
BF : ICD9 -CM -  Diagnosis",ABF,,,
2300.HI08.02,Industry Code,Diagnosis Code,R,,,"getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/principalDiagnosis/diagnosisCode
getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/otherDiagnosis/diagnosisInfo/diagnosisCode",,
2300.HI09.01,Code List Qualifier Code,"Diagnosis Type Code (Required when it is necessary to report an additional
diagnosis and the preceding HI data elements have been used to
report other diagnoses)",R,"ABF : ICD10 -CM -  Diagnosis
BF : ICD9 -CM -  Diagnosis",ABF,,,
2300.HI09.02,Industry Code,Diagnosis Code,R,,,"getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/principalDiagnosis/diagnosisCode
getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/otherDiagnosis/diagnosisInfo/diagnosisCode",,
2300.HI10.01,Code List Qualifier Code,"Diagnosis Type Code (Required when it is necessary to report an additional
diagnosis and the preceding HI data elements have been used to
report other diagnoses)",R,"ABF : ICD10 -CM -  Diagnosis
BF : ICD9 -CM -  Diagnosis",ABF,,,
2300.HI10.02,Industry Code,Diagnosis Code,R,,,"getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/principalDiagnosis/diagnosisCode
getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/otherDiagnosis/diagnosisInfo/diagnosisCode",,
2300.HI11.01,Code List Qualifier Code,"Diagnosis Type Code (Required when it is necessary to report an additional
diagnosis and the preceding HI data elements have been used to
report other diagnoses)",R,"ABF : ICD10 -CM -  Diagnosis
BF : ICD9 -CM -  Diagnosis",ABF,,,
2300.HI11.02,Industry Code,Diagnosis Code,R,,,"getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/principalDiagnosis/diagnosisCode
getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/otherDiagnosis/diagnosisInfo/diagnosisCode",,
2300.HI12.01,Code List Qualifier Code,"Diagnosis Type Code (Required when it is necessary to report an additional
diagnosis and the preceding HI data elements have been used to
report other diagnoses)",R,"ABF : ICD10 -CM -  Diagnosis
BF : ICD9 -CM -  Diagnosis",ABF,,,
2300.HI12.02,Industry Code,Diagnosis Code,R,,,"getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/principalDiagnosis/diagnosisCode
getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/otherDiagnosis/diagnosisInfo/diagnosisCode",,
HI,Segment - HI Anesthesia Related Procedure (Situational),,,,,,,
2300.HI01.01,Code List Qualifier Code,Code identifying a specific industry code list,R,BP : Health Care Financing Administration Common Procedural Coding System Principal Procedure,,,,
2300.HI01.02,Industry Code,Anesthesia Related Principal Surgical Procedure,R,,,,,
2300.HI02.01,Code List Qualifier Code,Code identifying a specific industry code list,R,BO :  Health Care Financing Administration Common Procedural Coding System,,,,
2300.HI02.02,Industry Code,Anesthesia Related  Surgical Procedure,R,,,,,
HI,Segment - HI CONDITION INFORMATION (Situational),,,,,,,
2300.HI01.01,Code List Qualifier Code,Code identifying a specific industry code list,R,BG: Condition,BG,,,
2300.HI01.02,Industry Code,Condition Code,R,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prConditionCodes/string,,
2300.HI02.01,Code List Qualifier Code,Code identifying a specific industry code list,R,BG: Condition,BG,,,
2300.HI02.02,Industry Code,Condition Code,R,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prConditionCodes/string,,
2300.HI03.01,Code List Qualifier Code,Code identifying a specific industry code list,R,BG: Condition,BG,,,
2300.HI03.02,Industry Code,Condition Code,R,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prConditionCodes/string,,
2300.HI04.01,Code List Qualifier Code,Code identifying a specific industry code list,R,BG: Condition,BG,,,
