EDILoopID. Segment,EDI Data Element Name,EDI Element Description,Usage,Enumeration Values,Sample values,Encounter Mapping,HRP Element Description,Transformation Logic,Comments
REF,Segment - REF Billing Provider Secondary Identification (Situational),,S,,,,,,
2010BB.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,,,,,,
2010BB.REF02,Reference Identification,Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier,R,,,,,,
"Loop 2000C - Patient Hierarchical Level (Situational)   Loop Repeat: >1
                In case of dependent claims (if  dependant is the patient ), Loop ID-2000C and Loop ID-2010CA are sent.
                When subscriber is the patient, Loop ID-2000C and Loop ID-2010CA are not sent.",,,,,,,,,
NM1,NM1 Patient Name (Required),,R,,,,,,
2000C.HL01,Hierarchical ID Number,"A unique number assigned by the sender to identify a particular data segment in
a hierarchical structure",R,,,,,,
2000C.HL02,Hierarchical Parent ID Number,"Identification number of the next higher hierarchical data segment that the data
segment being described is subordinate to",R,,,,,,
2000C.HL03,Hierarchical Level Code,Code defining the characteristic of a level in a hierarchical structure,R,"23 : Dependent (the information
in this HL applies to the patient when the subscriber
and the patient are not the same person)",,,,,
2000C.HL04,Hierarchical Child Code,"Code indicating if there are hierarchical child data segments subordinate to the
level being described",R,"0 :  No Subordinate HL Segment in This Hierarchical
Structure",,,,,
PAT,Patient information,,R,,,,,,
2000C.PAT01,Individual Relationship Code,Code indicating the relationship between two individuals or entities,R,"01 : Spouse
19 : Child
20 : Employee
21 : Unknown
39 : Organ Donor
40:  Cadaver Donor
53:  Life Partner
G8 : Other Relationship",,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/memberInformation/relationshipToSubscriberCode,,,
2000C.PAT05,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",S,D8 : Date Expressed in Format CCYYMMDD,,,,,
2000C.PAT06,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times / Patient Death Date",S,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/memberInformation/dateOfDeath,,In the format YYYY-MM-DD,
2000C.PAT07,Unit or Basis for Measurement Code,"Code specifying the units in which a value is being expressed, or manner in which
a measurement has been taken",S,01 : Actual Pounds,,,,,
2000C.PAT08,Weight,Numeric value of weight,S,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/memberInformation/weight,,,
2000C.PAT09,Yes/No Condition or Response Code,Code indicating  whether the patient is pregnant or not pregnant.,S,Y :Yes,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecordprofessionalClaim/memberInformation/pregnant,,,
Loop 2010CA - Patient Name (Situational) Loop Repeat: 1,,,,,,,,,
NM1,Patient Name (Required),,R,,,,,,
2010CA.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an
individual",R,QC : Patient,,,,,
2010CA.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,1: Person,,,,,
2010CA.NM103,Name Last or Organization Name,Patient Last Name,R,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/memberInformation/lastName,,,
,,,,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/memberInformation/memberName,,concatenate NM103/5/4/7,
2010CA.NM104,Name First,Patient First Name,S,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/memberInformation/firstName,,,
2010CA.NM105,Name Middle,Patient Middle Name or Initial,S,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/memberInformation/middleName,,,
2010CA.NM107,Name Suffix,Patient Name Suffix,S,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/memberInformation/nameSuffix,,,
N3,Segment - N3 Patient Address (Situational),,S,,,,,,
2010CA.N301,Address Information,Patient Address Line,R,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/memberInformation/streetAddress,,,
2010CA.N302,Address Information,Patient Address Line,S,,,,,,
N4,"Segment - N4 Patient City, State, ZIP Code (Situational)",,S,,,,,,
2010CA.N401,City Name,Free-form text for city name,R,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/memberInformation/cityName,,,
2010CA.N402,State or Province Code,Code (Standard State/Province) as defined by appropriate government agency,S,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/memberInformation/stateCode,,,
2010CA.N403,Postal Code,Code defining international postal zone code excluding punctuation and blanks,S,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/memberInformation/postalCode,,,
2010CA.N404,Country Code,Code identifying the country,S,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/memberInformation/countryCode,,"Map to the value ""US"" if not present",
2010CA.N407,Country Subdivision Code,Code identifying the country subdivision,S,,,,,,
DMG,Segment - DMG Patient Demographic Information (Situational),,S,,,,,,
2010CA.DMG01,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 : Date Expressed in Format CCYYMMDD,,,,,
2010CA.DMG02,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times/Patient Birth Date",R,,19670712,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/memberInformation/dateOfBirth,,In the format YYYY-MM-DD,
2010CA.DMG03,Gender Code,Code indicating the sex of the individual,R,"F: Female
M :Male
U : Unknown",,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/memberInformation/genderCode,,"M=Male, F=Female, U=Unknown",
REF,Segment - Property and Casuality Claim Number (Situational),,S,,,,,,
2010CA.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,,,,,,
2010CA.REF02,Reference Identification,Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier,R,,,,,,
PER,Segment -Property and Casuality Patient Contact Information (Situational),,S,,,,,,
2010CA.PER01,Contact Function Code,Code identifying the major duty or responsibility of the person or group named,R,IC :Information Contact,,,,,
2010CA.PER02,Name,Free-form name,S,,,,,,
2010CA.PER03,Communication Number Qualifier,Code identifying the type of communication number,R,TE :  Telephone,,,,,
2010CA.PER04,Communication Number,"Complete communications number including country or area code when
applicable",R,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/memberInformation/phoneCountryCode,Phone Country Code,First byte  of 2010CA.PER04 Only If 2010CA.PER04  is 11 bytes,
,,,,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/memberInformation/phoneAreaCode,phoneAreaCode,"2nd, 3rd, 4th bytes  if  2010CA.PER04  is 11 bytes

First 3 bytes If 2010CA.PER04  is 10 bytes",
,,,,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/memberInformation/phoneNumber,PhoneNumberType,last 7 bytes of 2010CA.PER04,
2010CA.PER05,Communication Number Qualifier,Code identifying the type of communication number,S,EX : Telephone Extension,,,,,
2010CA.PER06,Communication Number,Complete communications number including country or area code when applicable,S,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/memberInformation/phoneExtensionNumber,Telephone extension number. Theoretically of arbitrary length,,
"Loop 2300  - CLAIM INFORMATION(Required)  Loop Repeat: 100
       When patient is the subscriber : The claim information(Loop ID-2300), is placed following Loop ID-2010BB in the Subscriber Hierarchical Level(HL) and patient information is sent in Loop ID-2010BA.
       When patient is the dependent :  The claim information(Loop ID-2300),is placed following Loop ID-2010CA  in the Patient HL and the patient information is sent in Loop ID-2010CA .",,,,,,,,,
CLM,Segment - CLM Claim information (Situational),,S,,,,,,
2300.CLM01,Claim Submitter's Identifier,Identifier used to track a claim from creation by the health care provider through payment,R,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/memberInformation/accountNumber,Account Number of the patient,,
2300.CLM02,Monetary Amount,Monetary Amount,R,,,,Billed Amount / COB related,Map only when 2320.CAS  is present,
,,,R,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/totalPaymentDue/chargedAmount,Submitted Charges,,
2300.CLM05.01,Facility Code Value,"Code identifying where services were, or may be, performed /Place of Service Code",R,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/placeOfServiceCode,,,
2300.CLM05.02,Facility Code Qualifier,Code identifying the type of facility referenced,R,B :Place of Service Codes for Professional Services,,,,,
2300.CLM05.03,Claim Frequency Type Code,Code specifying the frequency of the claim,R,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/frequencyCode,frequency Code (Trigger value for Void and Replace actions for the claim),,
2300.CLM06,Yes/No Condition or Response Code,Provider or Supplier Signature Indicator,R,"Y : provider signature is on file
N : provider signature is not on file",,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/providerSignature/name,Provider or Supplier Signature Indicator,Map only when CLM06 value is 'Y',
2300.CLM07,Provider Accept Assignment Code,Code indicating whether the provider accepts assignment,R,"A : Assigned
B : Assignment Accepted on Clinical Lab Services Only
C :  Not Assigned",,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/supplierInformationList/supplierInformation/assignmentAcceptance,Assignment accepted (Indicates whether or not payment assignment was accepted),"If 2300.CLM07 = “A”, Map “Y”
Else If 2300.CLM07  = “C”, Map “N”",
2300.CLM08,Yes/No Condition or Response Code,Benefits Assignment Certification Indicator,R,"Y : Yes
N : No
W :  Not Applicable",,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/subscriberInformation/benefitAssignment,"Benefits accepted (If true, indicates that benefit  assignment was accepted)",,
2300.CLM09,Release of Information Code,"Code indicating whether the provider has on file a signed statement by the patient
authorizing the release of medical data to other organizations",R,"I : Informed Consent  to Release Medical Information for Conditions or Diagnoses
Y :Yes, Provider has a Signed Statement Permitting
Release of Medical Billing Data Related to a Claim",,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/memberAuthorization/releaseAuthorization,Release Signature (Member authorization to release medical information),,
2300.CLM10,Patient Signature Source Code,"Code indicating how the patient or subscriber authorization signatures were
obtained and how they are being retained by the provider",S,P :  Signature generated by provider because the patient was not physically present for services,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/memberAuthorization/insuredSignature,Provider Signature (Signature of the insured person),,
2300.CLM11.01,Related-Causes Code,"Code identifying an accompanying cause of an illness, injury or an accident",R,"AA : Auto Accident
EM : Employment
OA : Other Accident",,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/conditionRelatedTo/memberEmployment,Employment related indicator,Map Y when value =EM,
,,,R,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/conditionRelatedTo/autoAccident,Auto Accident indicator,Map Y when value =AA,
,,,R,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/conditionRelatedTo/otherAccident,Other accodent indicator,Map Y when value =OA,
2300.CLM11.02,Related-Causes Code,"Code identifying an accompanying cause of an illness, injury or an accident (when more than one related cause code applies)",S,"AA : Auto Accident
EM : Employment
OA : Other Accident",,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/conditionRelatedTo/memberEmployment,Employment related indicator,Map Y when value =EM,
2300.CLM11.02,,,S,"AA : Auto Accident
EM : Employment
OA : Other Accident",,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/conditionRelatedTo/autoAccident,Auto Accident indicator,Map Y when value =AA,
2300.CLM11.02,,,S,"AA : Auto Accident
EM : Employment
OA : Other Accident",,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/conditionRelatedTo/otherAccident,Other accodent indicator,Map Y when value =OA,
2300.CLM11.04,State or Province Code,"Code (Standard State/Province) as defined by appropriate government
agency",S,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/conditionRelatedTo/autoAccidentStateCode,"Accident State (If member condition is related to an auto accident, the state in which the accident occurred)",,
2300.CLM11.05,Country Code,Country Code,S,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/conditionRelatedTo/autoAccidentCountryCode,"Accident Country (If member condition is related to an auto accident, the country in which the accident occurred)","Map to the value ""US"" if not present",
2300.CLM12,Special Program Code,,S,,,,,,
2300.CLM20,Delay Reason Code,,S,,,,,,
DTP,Segment - DTP Date - Onset of Current Illness or Symptom (Situational),,S,,,,,,
2300.DTP01,Date/Time Qualifier,"Code specifying type of date or time, or both date and time",R,431 :Onset of Current Symptoms or Illness,,,,,
2300.DTP02,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 :  Date Expressed in Format CCYYMMDD,,,,,
2300.DTP03,Date Time Period,Date Time Period,R,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/memberCurrentConditionDate,Date of condition's first occurrence,In the format YYYY-MM-DD,
DTP,Segment - DTP Date - Initial Treatment Date (Situational),,S,,,,,,
2300.DTP01,Date/Time Qualifier,"Code specifying type of date or time, or both date and time",R,454 : Initial Treatment,,,,,
2300.DTP02,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 :  Date Expressed in Format CCYYMMDD,,,,,
2300.DTP03,Date Time Period,Date Time Period,R,,,,Date on which the prior illness started,In the format YYYY-MM-DD,
DTP,Segment - DTP Date - Last Seen Date (Situational),,S,,,,,,
2300.DTP01,Date/Time Qualifier,"Code specifying type of date or time, or both date and time",R,304: Latest Visit or Consultation,,,,,
2300.DTP02,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 :  Date Expressed in Format CCYYMMDD,,,,,
2300.DTP03,Date Time Period,Date Time Period,R,,,,,,
DTP,Segment - DTP Date - Acute Manifestation (Situational),,S,,,,,,
2300.DTP01,Date/Time Qualifier,"Code specifying type of date or time, or both date and time",R,453: Acute Manifestation of a Chronic Condition,,,,,
2300.DTP02,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 :  Date Expressed in Format CCYYMMDD,,,,,
2300.DTP03,Date Time Period,Date Time Period,R,,,,,,
DTP,Segment - DTP Date - Accident (Situational),,S,,,,,,
2300.DTP01,Date/Time Qualifier,"Code specifying type of date or time, or both date and time",R,439: Accident,,,,,
2300.DTP02,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 :  Date Expressed in Format CCYYMMDD,,,,,
2300.DTP03,Date Time Period,Date Time Period,R,,,,,,
DTP,Segment - DTP Date - Last Menstrual Period (Situational),,S,,,,,,
2300.DTP01,Date/Time Qualifier,"Code specifying type of date or time, or both date and time",R,484:  Last Menstrual Period,,,,,
2300.DTP02,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 :  Date Expressed in Format CCYYMMDD,,,,,
2300.DTP03,Date Time Period,Date Time Period,R,,,,,,
DTP,Segment - DTP Date - Last X-ray Date (Situational),,S,,,,,,
2300.DTP01,Date/Time Qualifier,"Code specifying type of date or time, or both date and time",R,455: Last X-Ray,,,,,
2300.DTP02,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 :  Date Expressed in Format CCYYMMDD,,,,,
2300.DTP03,Date Time Period,Date Time Period,R,,,,,,
DTP,Segment - DTP Date - Hearing and Vision Prescription Date (Situational),,S,,,,,,
2300.DTP01,Date/Time Qualifier,"Code specifying type of date or time, or both date and time",R,471: Prescription,,,,,
2300.DTP02,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 :  Date Expressed in Format CCYYMMDD,,,,,
2300.DTP03,Date Time Period,Date Time Period,R,,,,,,
DTP,Segment - DTP Date - Disability Dates (Situational),,S,,,,,,
2300.DTP01,Date/Time Qualifier,"Code specifying type of date or time, or both date and time",R,"314 : Disability ( when both disability start and end date are being reported)
360 :  Initial Disability Period Start (if patient is currently disabled and
disability end date is unknown.)
361 : Initial Disability Period End ( if patient is no longer disabled and the)
start date is unknown",,,,,
2300.DTP02,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,"D8 :  Date Expressed in Format CCYYMMDD
RD8 :  Range of Dates Expressed in Format CCYYMMDDCCYYMMDD",,,,,
2300.DTP03,Date Time Period,Date Time Period,R,,,,"If the member is unable to work at their occupation, the start date for that condition","When DTP01=314, DTP03 will be in RD8 format. Map the first CCYYMMDD in the format YYYY-MM-DD.
When DTP01 = 360, Map DTP03 In the format YYYY-MM-DD.",
,,,,,,,"If the member is unable to work at their occupation, the end date for that condition","When DTP01=314, DTP03 will be in CCYYMMDD-CCYYMMDD format. Map the second CCYYMMDD in the format YYYY-MM-DD.
When DTP01 = 361, Map DTP03 In the format YYYY-MM-DD.",
DTP,Segment - DTP Date - Last Worked (Situational),,S,,,,,,
2300.DTP01,Date/Time Qualifier,"Code specifying type of date or time, or both date and time",R,297 : Initial Disability Period Last Day Worked,,,,,
2300.DTP02,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 :  Date Expressed in Format CCYYMMDD,,,,,
2300.DTP03,Date Time Period,Date Time Period,R,,,,,,
DTP,Segment - DTP Date - Authorized Return to Work (Situational),,S,,,,,,
2300.DTP01,Date/Time Qualifier,"Code specifying type of date or time, or both date and time",R,296 : Initial Disability Period Last Day Worked,,,,,
2300.DTP02,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 :  Date Expressed in Format CCYYMMDD,,,,,
2300.DTP03,Date Time Period,Date Time Period,R,,,,,,
DTP,Segment - DTP Date - Admission (Situational),,S,,,,,,
2300.DTP01,Date/Time Qualifier,"Code specifying type of date or time, or both date and time",R,435 : Admission,,,,,
2300.DTP02,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 : Date Expressed in Format CCYYMMDD,,,,,
2300.DTP03,Date Time Period,Date Time Period,R,,,,The start date for the hospital stay if the current service involved hospitalization,In the format YYYY-MM-DD,
DTP,Segment - DTP Date - Discharge (Situational),,S,,,,,,
2300.DTP01,Date/Time Qualifier,"Code specifying type of date or time, or both date and time",R,096 : Discharge,,,,,
2300.DTP02,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 : Date Expressed in Format CCYYMMDD,,,,,
2300.DTP03,Date Time Period,Date Time Period,R,,,,The end date for the hospital stay if the current service involved hospitalization,In the format YYYY-MM-DD,
DTP,Segment - DTP Date - Assumed and Relinquished Care Dates (Situational),,S,,,,,,
2300.DTP01,Date/Time Qualifier,"Code specifying type of date or time, or both date and time",R,090 :  Report Start,,,,,
2300.DTP02,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 : Date Expressed in Format CCYYMMDD,,,,,
2300.DTP03,Date Time Period,Date Time Period,R,,,,,,
DTP,Segment - DTP Date - Property and Casualty Date of First Contact (Situational),,S,,,,,,
2300.DTP01,Date/Time Qualifier,"Code specifying type of date or time, or both date and time",R,096 :  First Visit or Consultation,,,,,
2300.DTP02,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 : Date Expressed in Format CCYYMMDD,,,,,
2300.DTP03,Date Time Period,Date Time Period,R,,,,,,
DTP,Segment - DTP Date - Repricer Received Date (Situational),,S,,,,,,
2300.DTP01,Date/Time Qualifier,"Code specifying type of date or time, or both date and time",R,050 :  Received,,,,,
2300.DTP02,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 : Date Expressed in Format CCYYMMDD,,,,,
2300.DTP03,Date Time Period,Date Time Period,R,,,,,,
PWK,Segment - PWK Claim Supplemental Information (Situational),,S,,,,,,
2300.PWK01,Report Type Code,"Code indicating the title or contents of a document, report or supporting item",R,"03 Report Justifying Treatment Beyond UtilizationGuidelines
04 Drugs Administered
05 Treatment Diagnosis
06 Initial Assessment
07 Functional Goals
08 Plan of Treatment
09 Progress Report
10 Continued Treatment
11 Chemical Analysis
13 Certified Test Report
15 Justification for Admission
21 Recovery Plan
A3 Allergies/Sensitivities Document
A4 Autopsy Report
AM Ambulance Certification
AS Admission Summary
B2 Prescription
B3 Physician Order
B4 Referral Form
BR Benchmark Testing Results
BS Baseline
BT Blanket Test Results
CB Chiropractic Justification
CK Consent Form(s)
CT Certification
D2 Drug Profile Document
DA Dental Models
DB Durable Medical Equipment Prescription
DG Diagnostic Report
DJ Discharge Monitoring Report
DS Discharge Summary
EB Explanation of Benefits (Coordination of Benefits or
Medicare Secondary Payor)
HC Health Certificate
HR Health Clinic Records
I5 Immunization Record
ASC X12N • INSURANCE SUBCOMMITTEE 005010X222 • 837 • 2300 • PWK
TECHNICAL REPORT • TYPE 3 CLAIM SUPPLEMENTAL INFORMATION
MAY 2006 183
IR State School Immunization Records
LA Laboratory Results
M1 Medical Record Attachment
MT Models
NN Nursing Notes
OB Operative Note
OC Oxygen Content Averaging Report
OD Orders and Treatments Document
OE Objective Physical Examination (including vital
signs) Document
OX Oxygen Therapy Certification
OZ Support Data for Claim
P4 Pathology Report
P5 Patient Medical History Document
PE Parenteral or Enteral Certification
PN Physical Therapy Notes
PO Prosthetics or Orthotic Certification
PQ Paramedical Results
PY Physician’s Report
PZ Physical Therapy Certification
RB Radiology Films
RR Radiology Reports
RT Report of Tests and Analysis Report
RX Renewable Oxygen Content Averaging Report
SG Symptoms Document
V5 Death Notification
XP Photographs",,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/invoiceAttachments/invoiceAttachment/attachmentCodeCode/codeEntry,Attachment Type like Prescription,"/codeEntry is mapped from 2300.PWK01
Please refer crosswalk sheet",
,,,R,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/invoiceAttachments/invoiceAttachment/attachmentCodeCode/codeSetName,"AttachmentTypeCode
Internal field for fetching the Attachment type","/codeSetName will be  hardcoded as AttachmentTypeCode.
Please refer crosswalk sheet",
2300.PWK02,Report Transmission Code,"Code defining timing, transmission method or format by which reports are to be
sent",R,"AA : Available on Request at Provider Site
BM : By Mail
EL : Electronically Only
EM : E-Mail
FT : File Transfer
FX : By Fax",,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/invoiceAttachments/invoiceAttachment/transmissionType,Attachment transmission mode,"If ""AA"" Map ""Available on Request at Provider Site""
If ""BM"" Map ""By Mail""
If ""EL"" Map ""Electronically Only""
If ""EM"" Map ""E-Mail""
If ""FT"" Map ""File Transfer""
If ""FX"" Map ""By Fax""",Needs review with configuration team
2300.PWK05,Identification Code Qualifier,Code identifying a party or other code,S,AC:  Attachment Control Number,,,,,
2300.PWK06,Identification Code,Attachment Control Number. Used to identify the attached electronic documentation.The number in PWK06 is carried in the TRN of the electronic attachment,S,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/attachmentSetReference/ID,Attachment Control number,Map only the first occurence of PWK,
,,,,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/invoiceAttachments/invoiceAttachment/attachmentComment,Attachment control number. Static URL to be prefixed for loading the image,,
CN1,Segment - CN1 Contract Information (Situational),,,,,,,,
2300.CN101,Contract Type Code,Code identifying a contract type,R,"01 : Diagnosis Related Group (DRG)
02 : Per Diem
03 : Variable Per Diem
04 : Flat
05 : Capitated
06 : Percent
09 : Other",,,,,
2300.CN102,Monetary Amount,Contract Amount,S,,,,,,
2300.CN103,"Percent, Decimal Format",Contract Percentage,S,,,,,,
2300.CN104,Reference Identification,Contract Code,S,,,,,,
2300.CN105,Terms Discount Percent,"Terms discount percentage, expressed as a percent, available to the purchaser if
an invoice is paid on or before the Terms Discount Due Date",S,,,,,,
2300.CN106,Version Identifier,Contract Version Identifier,S,,,,,,
AMT,Segment - AMT Patient Amount Paid (Situational),,,,,,,,
2300.AMT01,Amount Qualifier Code,Code to qualify amount,R,F5 : Patient Amount Paid,,,,,
2300.AMT02,Monetary Amount,Patient Amount Paid,R,,,,Paid Amount,,
REF,Segment - REF Service Authorization Exception Code (Situational),,,,,,,,
2300.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,4N :  Special Payment Reference Number,,,,,
2300.REF02,Reference Identification,Service Authorization Exception Code,R,,,,,,
REF,Segment - REF Mandatory Medicare (Section 4081) Crossover Indicator (Situational),,,,,,,,
2300.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,F5 : Medicare Version Code,,,,,
2300.REF02,Reference Identification,Medicare Section 4081 Indicator,R,"Y : 4081
N : Regular crossover",,,,,
REF,Segment - REF Mammography Certification Number (Situational),,,,,,,,
2300.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,EW:  Mammography Certification Number,,,,,
2300.REF02,Reference Identification,Mammography Certification Number,R,,,,,,
REF,Segment - REF Referral Number (Situational),,,,,,,,
2300.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,9F :  Referral Number,,,,,
2300.REF02,Reference Identification,Referral Number,R,,,,Referral Number of Referring Practitioner,,
REF,Segment - REF Prior Authorization (Situational),,,,,,,,
2300.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,G1 : Prior Authorization Number,,,,,
2300.REF02,Reference Identification,Prior Authorization Number,R,,,,,,
