No,Field,Data Type,Length,Data Source,Usage,Sample Format
389,MedicaidFlag_9,VARCHAR,1,PCP/Enroll History,S,
390,MedicaidFlagStratDate_9,VARCHAR,10,PCP/Enroll History,S,
391,MedicaidFlagEndDate_9,VARCHAR,10,PCP/Enroll History,S,
392,MedicaidFlag_10,VARCHAR,1,PCP/Enroll History,S,
393,MedicaidFlagStratDate_10,VARCHAR,10,PCP/Enroll History,S,
394,MedicaidFlagEndDate_10,VARCHAR,10,PCP/Enroll History,S,
395,InstitutionalFlag_1,VARCHAR,1,PCP/Enroll History,S,Y
396,InstitutionalFlagStartDate_1,VARCHAR,10,PCP/Enroll History,S,
397,InstitutionalFlagEndDate_1,VARCHAR,10,PCP/Enroll History,S,
398,InstitutionalFlag_2,VARCHAR,1,PCP/Enroll History,S,Y
399,InstitutionalFlagStartDate_2,VARCHAR,10,PCP/Enroll History,S,
400,InstitutionalFlagEndDate_2,VARCHAR,10,PCP/Enroll History,S,
401,InstitutionalFlag_3,VARCHAR,1,PCP/Enroll History,S,
402,InstitutionalFlagStartDate_3,VARCHAR,10,PCP/Enroll History,S,
403,InstitutionalFlagEndDate_3,VARCHAR,10,PCP/Enroll History,S,
404,InstitutionalFlag_4,VARCHAR,1,PCP/Enroll History,S,
405,InstitutionalFlagStartDate_4,VARCHAR,10,PCP/Enroll History,S,
406,InstitutionalFlagEndDate_4,VARCHAR,10,PCP/Enroll History,S,
407,InstitutionalFlag_5,VARCHAR,1,PCP/Enroll History,S,
408,InstitutionalFlagStartDate_5,VARCHAR,10,PCP/Enroll History,S,
409,InstitutionalFlagEndDate_5,VARCHAR,10,PCP/Enroll History,S,
410,InstitutionalFlag_6,VARCHAR,1,PCP/Enroll History,S,
411,InstitutionalFlagStartDate_6,VARCHAR,10,PCP/Enroll History,S,
412,InstitutionalFlagEndDate_6,VARCHAR,10,PCP/Enroll History,S,
413,InstitutionalFlag_7,VARCHAR,1,PCP/Enroll History,S,
414,InstitutionalFlagStartDate_7,VARCHAR,10,PCP/Enroll History,S,
415,InstitutionalFlagEndDate_7,VARCHAR,10,PCP/Enroll History,S,
416,InstitutionalFlag_8,VARCHAR,1,PCP/Enroll History,S,
417,InstitutionalFlagStartDate_8,VARCHAR,10,PCP/Enroll History,S,
418,InstitutionalFlagEndDate_8,VARCHAR,10,PCP/Enroll History,S,
419,InstitutionalFlag_9,VARCHAR,1,PCP/Enroll History,S,
420,InstitutionalFlagStartDate_9,VARCHAR,10,PCP/Enroll History,S,
421,InstitutionalFlagEndDate_9,VARCHAR,10,PCP/Enroll History,S,
422,InstitutionalFlag_10,VARCHAR,1,PCP/Enroll History,S,
423,InstitutionalFlagStartDate_10,VARCHAR,10,PCP/Enroll History,S,
424,InstitutionalFlagEndDate_10,VARCHAR,10,PCP/Enroll History,S,
425,ESRDFlag_1,VARCHAR,1,PCP/Enroll History,S,Y
426,ESRDFlagStartDate_1,VARCHAR,10,PCP/Enroll History,S,
427,ESRDFlagEndDate_1,VARCHAR,10,PCP/Enroll History,S,
428,ESRDFlag_2,VARCHAR,1,PCP/Enroll History,S,Y
429,ESRDFlagStartDate_2,VARCHAR,10,PCP/Enroll History,S,
430,ESRDFlagEndDate_2,VARCHAR,10,PCP/Enroll History,S,
431,ESRDFlag_3,VARCHAR,1,PCP/Enroll History,S,
432,ESRDFlagStartDate_3,VARCHAR,10,PCP/Enroll History,S,
433,ESRDFlagEndDate_3,VARCHAR,10,PCP/Enroll History,S,
434,ESRDFlag_4,VARCHAR,1,PCP/Enroll History,S,
435,ESRDFlagStartDate_4,VARCHAR,10,PCP/Enroll History,S,
436,ESRDFlagEndDate_4,VARCHAR,10,PCP/Enroll History,S,
437,ESRDFlag_5,VARCHAR,1,PCP/Enroll History,S,
438,ESRDFlagStartDate_5,VARCHAR,10,PCP/Enroll History,S,
439,ESRDFlagEndDate_5,VARCHAR,10,PCP/Enroll History,S,
440,ESRDFlag_6,VARCHAR,1,PCP/Enroll History,S,
441,ESRDFlagStartDate_6,VARCHAR,10,PCP/Enroll History,S,
442,ESRDFlagEndDate_6,VARCHAR,10,PCP/Enroll History,S,
443,ESRDFlag_7,VARCHAR,1,PCP/Enroll History,S,
444,ESRDFlagStartDate_7,VARCHAR,10,PCP/Enroll History,S,
445,ESRDFlagEndDate_7,VARCHAR,10,PCP/Enroll History,S,
446,ESRDFlag_8,VARCHAR,1,PCP/Enroll History,S,
447,ESRDFlagStartDate_8,VARCHAR,10,PCP/Enroll History,S,
448,ESRDFlagEndDate_8,VARCHAR,10,PCP/Enroll History,S,
449,ESRDFlag_9,VARCHAR,1,PCP/Enroll History,S,
450,ESRDFlagStartDate_9,VARCHAR,10,PCP/Enroll History,S,
451,ESRDFlagEndDate_9,VARCHAR,10,PCP/Enroll History,S,
452,ESRDFlag_10,VARCHAR,1,PCP/Enroll History,S,
453,ESRDFlagStartDate_10,VARCHAR,10,PCP/Enroll History,S,
454,ESRDFlagEndDate_10,VARCHAR,10,PCP/Enroll History,S,
455,TransplantFlag_1,VARCHAR,1,PCP/Enroll History,S,Y
456,TransplantFlagStartDate_1,VARCHAR,10,PCP/Enroll History,S,
457,TransplantFlagEndDate_1,VARCHAR,10,PCP/Enroll History,S,
458,TransplantFlag_2,VARCHAR,1,PCP/Enroll History,S,Y
459,TransplantFlagStartDate_2,VARCHAR,10,PCP/Enroll History,S,
460,TransplantFlagEndDate_2,VARCHAR,10,PCP/Enroll History,S,
461,TransplantFlag_3,VARCHAR,1,PCP/Enroll History,S,
462,TransplantFlagStartDate_3,VARCHAR,10,PCP/Enroll History,S,
463,TransplantFlagEndDate_3,VARCHAR,10,PCP/Enroll History,S,
464,TransplantFlag_4,VARCHAR,1,PCP/Enroll History,S,
465,TransplantFlagStartDate_4,VARCHAR,10,PCP/Enroll History,S,
466,TransplantFlagEndDate_4,VARCHAR,10,PCP/Enroll History,S,
467,TransplantFlag_5,VARCHAR,1,PCP/Enroll History,S,
468,TransplantFlagStartDate_5,VARCHAR,10,PCP/Enroll History,S,
469,TransplantFlagEndDate_5,VARCHAR,10,PCP/Enroll History,S,
470,TransplantFlag_6,VARCHAR,1,PCP/Enroll History,S,
471,TransplantFlagStartDate_6,VARCHAR,10,PCP/Enroll History,S,
472,TransplantFlagEndDate_6,VARCHAR,10,PCP/Enroll History,S,
473,TransplantFlag_7,VARCHAR,1,PCP/Enroll History,S,
474,TransplantFlagStartDate_7,VARCHAR,10,PCP/Enroll History,S,
475,TransplantFlagEndDate_7,VARCHAR,10,PCP/Enroll History,S,
476,TransplantFlag_8,VARCHAR,1,PCP/Enroll History,S,
477,TransplantFlagStartDate_8,VARCHAR,10,PCP/Enroll History,S,
478,TransplantFlagEndDate_8,VARCHAR,10,PCP/Enroll History,S,
479,TransplantFlag_9,VARCHAR,1,PCP/Enroll History,S,
480,TransplantFlagStartDate_9,VARCHAR,10,PCP/Enroll History,S,
481,TransplantFlagEndDate_9,VARCHAR,10,PCP/Enroll History,S,
482,TransplantFlag_10,VARCHAR,1,PCP/Enroll History,S,
483,TransplantFlagStartDate_10,VARCHAR,10,PCP/Enroll History,S,
484,TransplantFlagEndDate_10,VARCHAR,10,PCP/Enroll History,S,
485,DialysisFlag_1,VARCHAR,1,PCP/Enroll History,S,Y
486,DialysisFlagStartDate_1,VARCHAR,10,PCP/Enroll History,S,
487,DialysisFlagEndDate_1,VARCHAR,10,PCP/Enroll History,S,
488,DialysisFlag_2,VARCHAR,1,PCP/Enroll History,S,Y
489,DialysisFlagStartDate_2,VARCHAR,10,PCP/Enroll History,S,
490,DialysisFlagEndDate_2,VARCHAR,10,PCP/Enroll History,S,
491,DialysisFlag_3,VARCHAR,1,PCP/Enroll History,S,
492,DialysisFlagStartDate_3,VARCHAR,10,PCP/Enroll History,S,
493,DialysisFlagEndDate_3,VARCHAR,10,PCP/Enroll History,S,
494,DialysisFlag_4,VARCHAR,1,PCP/Enroll History,S,
495,DialysisFlagStartDate_4,VARCHAR,10,PCP/Enroll History,S,
496,DialysisFlagEndDate_4,VARCHAR,10,PCP/Enroll History,S,
497,DialysisFlag_5,VARCHAR,1,PCP/Enroll History,S,
498,DialysisFlagStartDate_5,VARCHAR,10,PCP/Enroll History,S,
499,DialysisFlagEndDate_5,VARCHAR,10,PCP/Enroll History,S,
500,DialysisFlag_6,VARCHAR,1,PCP/Enroll History,S,
501,DialysisFlagStartDate_6,VARCHAR,10,PCP/Enroll History,S,
502,DialysisFlagEndDate_6,VARCHAR,10,PCP/Enroll History,S,
503,DialysisFlag_7,VARCHAR,1,PCP/Enroll History,S,
504,DialysisFlagStartDate_7,VARCHAR,10,PCP/Enroll History,S,
505,DialysisFlagEndDate_7,VARCHAR,10,PCP/Enroll History,S,
506,DialysisFlag_8,VARCHAR,1,PCP/Enroll History,S,
507,DialysisFlagStartDate_8,VARCHAR,10,PCP/Enroll History,S,
508,DialysisFlagEndDate_8,VARCHAR,10,PCP/Enroll History,S,
509,DialysisFlag_9,VARCHAR,1,PCP/Enroll History,S,
510,DialysisFlagStartDate_9,VARCHAR,10,PCP/Enroll History,S,
511,DialysisFlagEndDate_9,VARCHAR,10,PCP/Enroll History,S,
512,DialysisFlag_10,VARCHAR,1,PCP/Enroll History,S,
513,DialysisFlagStartDate_10,VARCHAR,10,PCP/Enroll History,S,
514,DialysisFlagEndDate_10,VARCHAR,10,PCP/Enroll History,S,
515,DisabledFlag_1,VARCHAR,1,PCP/Enroll History,S,Y
516,DisabledFlagStartDate_1,VARCHAR,10,PCP/Enroll History,S,
517,DisabledFlagEndDate_1,VARCHAR,10,PCP/Enroll History,S,
518,DisabledFlag_2,VARCHAR,1,PCP/Enroll History,S,Y
519,DisabledFlagStartDate_2,VARCHAR,10,PCP/Enroll History,S,
520,DisabledFlagEndDate_2,VARCHAR,10,PCP/Enroll History,S,
521,DisabledFlag_3,VARCHAR,1,PCP/Enroll History,S,
522,DisabledFlagStartDate_3,VARCHAR,10,PCP/Enroll History,S,
523,DisabledFlagEndDate_3,VARCHAR,10,PCP/Enroll History,S,
524,DisabledFlag_4,VARCHAR,1,PCP/Enroll History,S,
525,DisabledFlagStartDate_4,VARCHAR,10,PCP/Enroll History,S,
526,DisabledFlagEndDate_4,VARCHAR,10,PCP/Enroll History,S,
527,DisabledFlag_5,VARCHAR,1,PCP/Enroll History,S,
528,DisabledFlagStartDate_5,VARCHAR,10,PCP/Enroll History,S,
529,DisabledFlagEndDate_5,VARCHAR,10,PCP/Enroll History,S,
530,DisabledFlag_6,VARCHAR,1,PCP/Enroll History,S,
531,DisabledFlagStartDate_6,VARCHAR,10,PCP/Enroll History,S,
532,DisabledFlagEndDate_6,VARCHAR,10,PCP/Enroll History,S,
533,DisabledFlag_7,VARCHAR,1,PCP/Enroll History,S,
534,DisabledFlagStartDate_7,VARCHAR,10,PCP/Enroll History,S,
535,DisabledFlagEndDate_7,VARCHAR,10,PCP/Enroll History,S,
536,DisabledFlag_8,VARCHAR,1,PCP/Enroll History,S,
537,DisabledFlagStartDate_8,VARCHAR,10,PCP/Enroll History,S,
538,DisabledFlagEndDate_8,VARCHAR,10,PCP/Enroll History,S,
539,DisabledFlag_9,VARCHAR,1,PCP/Enroll History,S,
540,DisabledFlagStartDate_9,VARCHAR,10,PCP/Enroll History,S,
541,DisabledFlagEndDate_9,VARCHAR,10,PCP/Enroll History,S,
542,DisabledFlag_10,VARCHAR,1,PCP/Enroll History,S,
543,DisabledFlagStartDate_10,VARCHAR,10,PCP/Enroll History,S,
544,DisabledFlagEndDate_10,VARCHAR,10,PCP/Enroll History,S,
545,DualStatusCode_1,VARCHAR,2,PCP/Enroll History,S,
546,MCD_Startdate1,VARCHAR,10,PCP/Enroll History,S,
547,MCD_Enddate1,VARCHAR,10,PCP/Enroll History,S,
548,DualStatusCode_2,VARCHAR,2,PCP/Enroll History,S,
549,MCD_Startdate2,VARCHAR,10,PCP/Enroll History,S,
550,MCD_Enddate2,VARCHAR,10,PCP/Enroll History,S,
551,DualStatusCode_3,VARCHAR,2,PCP/Enroll History,S,
552,MCD_Startdate3,VARCHAR,10,PCP/Enroll History,S,
553,MCD_Enddate3,VARCHAR,10,PCP/Enroll History,S,
554,DualStatusCode_4,VARCHAR,2,PCP/Enroll History,S,
555,MCD_Startdate4,VARCHAR,10,PCP/Enroll History,S,
556,MCD_Enddate4,VARCHAR,10,PCP/Enroll History,S,
557,DualStatusCode_5,VARCHAR,2,PCP/Enroll History,S,
558,MCD_Startdate5,VARCHAR,10,PCP/Enroll History,S,
559,MCD_Enddate5,VARCHAR,10,PCP/Enroll History,S,
560,DualStatusCode_6,VARCHAR,2,PCP/Enroll History,S,
561,MCD_Startdate6,VARCHAR,10,PCP/Enroll History,S,
562,MCD_Enddate6,VARCHAR,10,PCP/Enroll History,S,
563,DualStatusCode_7,VARCHAR,2,PCP/Enroll History,S,
564,MCD_Startdate7,VARCHAR,10,PCP/Enroll History,S,
565,MCD_Enddate7,VARCHAR,10,PCP/Enroll History,S,
566,DualStatusCode_8,VARCHAR,2,PCP/Enroll History,S,
567,MCD_Startdate8,VARCHAR,10,PCP/Enroll History,S,
568,MCD_Enddate8,VARCHAR,10,PCP/Enroll History,S,
569,DualStatusCode_9,VARCHAR,2,PCP/Enroll History,S,
570,MCD_Startdate9,VARCHAR,10,PCP/Enroll History,S,
571,MCD_Enddate9,VARCHAR,10,PCP/Enroll History,S,
572,DualStatusCode_10,VARCHAR,2,PCP/Enroll History,S,
573,MCD_Startdate10,VARCHAR,10,PCP/Enroll History,S,
574,MCD_Enddate10,VARCHAR,10,PCP/Enroll History,S,
575,COBUpdateDate_1,VARCHAR,10,CMS Files,S,
576,COBStartdate_1,VARCHAR,10,CMS Files,S,
577,COBEnddate_1,VARCHAR,10,CMS Files,S,
578,NameofOtherCoverage_1,VARCHAR,50,CMS Files,S,
579,SubscriberIDofOtherCoverage_1,VARCHAR,20,CMS Files,S,
580,GroupIDofotherCoverage_1,VARCHAR,20,CMS Files,S,
581,KindofOtherInsurance_1,VARCHAR,3,CMS Files,S,
582,NameofOtherInsuranceCompany_1,VARCHAR,200,CMS Files,S,
583,COBUpdateDate_2,VARCHAR,10,CMS Files,S,
584,COBStartdate_2,VARCHAR,10,CMS Files,S,
585,COBEnddate_2,VARCHAR,10,CMS Files,S,
586,NameofOtherCoverage_2,VARCHAR,50,CMS Files,S,
587,SubscriberIDofOtherCoverage_2,VARCHAR,20,CMS Files,S,
588,GroupIDofotherCoverage_2,VARCHAR,20,CMS Files,S,
589,KindofOtherInsurance_2,VARCHAR,3,CMS Files,S,
590,NameofOtherInsuranceCompany_2,VARCHAR,200,CMS Files,S,
591,COBUpdateDate_3,VARCHAR,10,CMS Files,S,
592,COBStartdate_3,VARCHAR,10,CMS Files,S,
593,COBEnddate_3,VARCHAR,10,CMS Files,S,
594,NameofOtherCoverage_3,VARCHAR,50,CMS Files,S,
595,SubscriberIDofOtherCoverage_3,VARCHAR,20,CMS Files,S,
596,GroupIDofotherCoverage_3,VARCHAR,20,CMS Files,S,
597,KindofOtherInsurance_3,VARCHAR,3,CMS Files,S,
598,NameofOtherInsuranceCompany_3,VARCHAR,200,CMS Files,S,
599,COBUpdateDate_4,VARCHAR,10,CMS Files,S,
600,COBStartdate_4,VARCHAR,10,CMS Files,S,
601,COBEnddate_4,VARCHAR,10,CMS Files,S,
602,NameofOtherCoverage_4,VARCHAR,50,CMS Files,S,
603,SubscriberIDofOtherCoverage_4,VARCHAR,20,CMS Files,S,
604,GroupIDofotherCoverage_4,VARCHAR,20,CMS Files,S,
605,KindofOtherInsurance_4,VARCHAR,3,CMS Files,S,
606,NameofOtherInsuranceCompany_4,VARCHAR,200,CMS Files,S,
607,COBUpdateDate_5,VARCHAR,10,CMS Files,S,
608,COBStartdate_5,VARCHAR,10,CMS Files,S,
609,COBEnddate_5,VARCHAR,10,CMS Files,S,
610,NameofOtherCoverage_5,VARCHAR,50,CMS Files,S,
611,SubscriberIDofOtherCoverage_5,VARCHAR,20,CMS Files,S,
612,GroupIDofotherCoverage_5,VARCHAR,20,CMS Files,S,
613,KindofOtherInsurance_5,VARCHAR,3,CMS Files,S,
614,NameofOtherInsuranceCompany_5,VARCHAR,200,CMS Files,S,
615,COBUpdateDate_6,VARCHAR,10,CMS Files,S,
616,COBStartdate_6,VARCHAR,10,CMS Files,S,
617,COBEnddate_6,VARCHAR,10,CMS Files,S,
618,NameofOtherCoverage_6,VARCHAR,50,CMS Files,S,
619,SubscriberIDofOtherCoverage_6,VARCHAR,20,CMS Files,S,
620,GroupIDofotherCoverage_6,VARCHAR,20,CMS Files,S,
621,KindofOtherInsurance_6,VARCHAR,3,CMS Files,S,
622,NameofOtherInsuranceCompany_6,VARCHAR,200,CMS Files,S,
623,COBUpdateDate_7,VARCHAR,10,CMS Files,S,
624,COBStartdate_7,VARCHAR,10,CMS Files,S,
625,COBEnddate_7,VARCHAR,10,CMS Files,S,
626,NameofOtherCoverage_7,VARCHAR,50,CMS Files,S,
627,SubscriberIDofOtherCoverage_7,VARCHAR,20,CMS Files,S,
628,GroupIDofotherCoverage_7,VARCHAR,20,CMS Files,S,
629,KindofOtherInsurance_7,VARCHAR,3,CMS Files,S,
630,NameofOtherInsuranceCompany_7,VARCHAR,200,CMS Files,S,
631,COBUpdateDate_8,VARCHAR,10,CMS Files,S,
632,COBStartdate_8,VARCHAR,10,CMS Files,S,
633,COBEnddate_8,VARCHAR,10,CMS Files,S,
634,NameofOtherCoverage_8,VARCHAR,50,CMS Files,S,
635,SubscriberIDofOtherCoverage_8,VARCHAR,20,CMS Files,S,
636,GroupIDofotherCoverage_8,VARCHAR,20,CMS Files,S,
637,KindofOtherInsurance_8,VARCHAR,3,CMS Files,S,
638,NameofOtherInsuranceCompany_8,VARCHAR,200,CMS Files,S,
639,COBUpdateDate_9,VARCHAR,10,CMS Files,S,
640,COBStartdate_9,VARCHAR,10,CMS Files,S,
641,COBEnddate_9,VARCHAR,10,CMS Files,S,
642,NameofOtherCoverage_9,VARCHAR,50,CMS Files,S,
643,SubscriberIDofOtherCoverage_9,VARCHAR,20,CMS Files,S,
644,GroupIDofotherCoverage_9,VARCHAR,20,CMS Files,S,
645,KindofOtherInsurance_9,VARCHAR,3,CMS Files,S,
646,NameofOtherInsuranceCompany_9,VARCHAR,200,CMS Files,S,
647,COBUpdateDate_10,VARCHAR,10,CMS Files,S,
648,COBStartdate_10,VARCHAR,10,CMS Files,S,
649,COBEnddate_10,VARCHAR,10,CMS Files,S,
650,NameofOtherCoverage_10,VARCHAR,50,CMS Files,S,
651,SubscriberIDofOtherCoverage_10,VARCHAR,20,CMS Files,S,
652,GroupIDofotherCoverage_10,VARCHAR,20,CMS Files,S,
653,KindofOtherInsurance_10,VARCHAR,3,CMS Files,S,
654,NameofOtherInsuranceCompany_10,VARCHAR,200,CMS Files,S,
655,M3PStartdate_1,VARCHAR,10,,S,
656,M3PEnddate_1,VARCHAR,10,,S,
657,M3PTermReason_1,VARCHAR,1,,S,
658,M3PStartdate_2,VARCHAR,10,,S,
659,M3PEnddate_2,VARCHAR,10,,S,
660,M3PTermReason_2,VARCHAR,1,,S,
661,M3PStartdate_3,VARCHAR,10,,S,
662,M3PEnddate_3,VARCHAR,10,,S,
663,M3PTermReason_3,VARCHAR,1,,S,
664,M3PStartdate_4,VARCHAR,10,,S,
665,M3PEnddate_4,VARCHAR,10,,S,
666,M3PTermReason_4,VARCHAR,1,,S,
667,M3PStartdate_5,VARCHAR,10,,S,
668,M3PEnddate_5,VARCHAR,10,,S,
669,M3PTermReason_5,VARCHAR,1,,S,
670,GenderIdentity,VARCHAR,1,,S,
671,SexualOrientation,VARCHAR,1,,S,
672,AlternativeFormatDataCD,VARCHAR,1,Member Details,S,Y
673,Endofrecord,VARCHAR,3,CMS Files,R,
