EDI LoopID.Segment,EDI Data Element Name,EDI Element Description,Usage,Enumeration Values,Sample values,Hardcode,CSV Field,Claim Level/Line Level,Transformation Logic
2300.HI10.09,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,S,,,,,,
2300.HI11.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,ABF International Classification of Diseases Clinical Modification (ICD-10-CM) Diagnosis,,"Hardcode as ""ABF""",,,
2300.HI11.02,Industry Code,Diagnosis Code,R,,,,,,
2300.HI11.09,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,S,,,,,,
2300.HI12.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,ABF International Classification of Diseases Clinical Modification (ICD-10-CM) Diagnosis,,"Hardcode as ""ABF""",,,
2300.HI12.02,Industry Code,Diagnosis Code,R,,,,,,
2300.HI12.09,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,S,,,,,,
Segment - HI Principal Procedure Information (Situational),,,,,,,,,
2300.HI01.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,"BBR International Classification of Diseases Clinical
Modification (ICD-10-PCS) Principal Procedure
Codes",,"Hardcode as ""BBR""",,,
2300.HI01.02,Industry Code,Diagnosis Code,R,,,,Priniciple_Procedure_Code,Claim Level,
2300.HI01.03,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 Date Expressed in Format CCYYMMDD,,"Hardcode as ""D8""",,,
2300.HI01.04,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,,Priniciple_Procedure_Date,Claim Level,Format - YYYY-MM-DD
Segment - HI Other Procedure Information (Situational),,,,,,,,,
2300.HI01.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,"BBQ International Classification of Diseases Clinical
Modification (ICD-10-PCS) Other Procedure Codes",,"Hardcode as ""BBQ""",,,
2300.HI01.02,Industry Code,Diagnosis Code,R,,,,Other_Proedurecode1,Claim Level,
2300.HI01.03,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 Date Expressed in Format CCYYMMDD,,"Hardcode as ""D8""",,,
2300.HI01.04,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,,Other_Proeduredate1,Claim Level,Format - YYYY-MM-DD
2300.HI02.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,"BBQ International Classification of Diseases Clinical
Modification (ICD-10-PCS) Other Procedure Codes",,"Hardcode as ""BBQ""",,,
2300.HI02.02,Industry Code,Diagnosis Code,R,,,,Other_Proedurecode2,Claim Level,
2300.HI02.03,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 Date Expressed in Format CCYYMMDD,,"Hardcode as ""D8""",,,
2300.HI02.04,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,,Other_Proeduredate2,Claim Level,Format - YYYY-MM-DD
2300.HI03.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,"BBQ International Classification of Diseases Clinical
Modification (ICD-10-PCS) Other Procedure Codes",,"Hardcode as ""BBQ""",,,
2300.HI03.02,Industry Code,Diagnosis Code,R,,,,Other_Proedurecode3,Claim Level,
2300.HI03.03,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 Date Expressed in Format CCYYMMDD,,"Hardcode as ""D8""",,,
2300.HI03.04,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,,Other_Proeduredate3,Claim Level,Format - YYYY-MM-DD
2300.HI04.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,"BBQ International Classification of Diseases Clinical
Modification (ICD-10-PCS) Other Procedure Codes",,"Hardcode as ""BBQ""",,,
2300.HI04.02,Industry Code,Diagnosis Code,R,,,,Other_Proedurecode4,Claim Level,
2300.HI04.03,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 Date Expressed in Format CCYYMMDD,,"Hardcode as ""D8""",,,
2300.HI04.04,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,,Other_Proeduredate4,Claim Level,Format - YYYY-MM-DD
2300.HI05.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,"BBQ International Classification of Diseases Clinical
Modification (ICD-10-PCS) Other Procedure Codes",,"Hardcode as ""BBQ""",,,
2300.HI05.02,Industry Code,Diagnosis Code,R,,,,,,
2300.HI05.03,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 Date Expressed in Format CCYYMMDD,,"Hardcode as ""D8""",,,
2300.HI05.04,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,,,,
2300.HI06.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,"BBQ International Classification of Diseases Clinical
Modification (ICD-10-PCS) Other Procedure Codes",,"Hardcode as ""BBQ""",,,
2300.HI06.02,Industry Code,Diagnosis Code,R,,,,,,
2300.HI06.03,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 Date Expressed in Format CCYYMMDD,,"Hardcode as ""D8""",,,
2300.HI06.04,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,,,,
2300.HI07.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,"BBQ International Classification of Diseases Clinical
Modification (ICD-10-PCS) Other Procedure Codes",,"Hardcode as ""BBQ""",,,
2300.HI07.02,Industry Code,Diagnosis Code,R,,,,,,
2300.HI07.03,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 Date Expressed in Format CCYYMMDD,,"Hardcode as ""D8""",,,
2300.HI07.04,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,,,,
2300.HI08.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,"BBQ International Classification of Diseases Clinical
Modification (ICD-10-PCS) Other Procedure Codes",,"Hardcode as ""BBQ""",,,
2300.HI08.02,Industry Code,Diagnosis Code,R,,,,,,
2300.HI08.03,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 Date Expressed in Format CCYYMMDD,,"Hardcode as ""D8""",,,
2300.HI08.04,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,,,,
2300.HI09.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,"BBQ International Classification of Diseases Clinical
Modification (ICD-10-PCS) Other Procedure Codes",,"Hardcode as ""BBQ""",,,
2300.HI09.02,Industry Code,Diagnosis Code,R,,,,,,
2300.HI09.03,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 Date Expressed in Format CCYYMMDD,,"Hardcode as ""D8""",,,
2300.HI09.04,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,,,,
2300.HI10.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,"BBQ International Classification of Diseases Clinical
Modification (ICD-10-PCS) Other Procedure Codes",,"Hardcode as ""BBQ""",,,
2300.HI10.02,Industry Code,Diagnosis Code,R,,,,,,
2300.HI10.03,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 Date Expressed in Format CCYYMMDD,,"Hardcode as ""D8""",,,
2300.HI10.04,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,,,,
2300.HI11.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,"BBQ International Classification of Diseases Clinical
Modification (ICD-10-PCS) Other Procedure Codes",,"Hardcode as ""BBQ""",,,
2300.HI11.02,Industry Code,Diagnosis Code,R,,,,,,
2300.HI11.03,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 Date Expressed in Format CCYYMMDD,,"Hardcode as ""D8""",,,
2300.HI11.04,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,,,,
2300.HI12.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,"BBQ International Classification of Diseases Clinical
Modification (ICD-10-PCS) Other Procedure Codes",,"Hardcode as ""BBQ""",,,
2300.HI12.02,Industry Code,Diagnosis Code,R,,,,,,
2300.HI12.03,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 Date Expressed in Format CCYYMMDD,,"Hardcode as ""D8""",,,
2300.HI12.04,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,,,,
Segment - HI Occurrence Span Information (Situational),,,,,,,,,
2300.HI01.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,BI - Occurrence Span,,"Hardcode as ""BI""",,,
2300.HI01.02,Industry Code,Diagnosis Code,R,,,,Occurrencespan_code1,Claim Level,
2300.HI01.03,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,RD8-Range of Dates Expressed in Format CCYYMMDDCCYYMMDD,,"Hardcode as ""RD8""",,,
2300.HI01.04,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,,"Occurrencespan_Startdate1,Occurrencespan_Enddate1",Claim Level,Format - YYYY-MM-DD
2300.HI02.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,BI - Occurrence Span,,"Hardcode as ""BI""",,,
2300.HI02.02,Industry Code,Diagnosis Code,R,,,,Occurrencespan_code2,Claim Level,
2300.HI02.03,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,RD8-Range of Dates Expressed in Format CCYYMMDDCCYYMMDD,,"Hardcode as ""RD8""",,,
2300.HI02.04,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,,"Occurrencespan_Startdate2,Occurrencespan_Enddate2",Claim Level,Format - YYYY-MM-DD
2300.HI03.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,BI - Occurrence Span,,"Hardcode as ""BI""",,,
2300.HI03.02,Industry Code,Diagnosis Code,R,,,,Occurrencespan_code3,Claim Level,
2300.HI03.03,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,RD8-Range of Dates Expressed in Format CCYYMMDDCCYYMMDD,,"Hardcode as ""RD8""",,,
2300.HI03.04,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,,"Occurrencespan_Startdate3,Occurrencespan_Enddate3",Claim Level,Format - YYYY-MM-DD
2300.HI04.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,BI - Occurrence Span,,"Hardcode as ""BI""",,,
2300.HI04.02,Industry Code,Diagnosis Code,R,,,,Occurrencespan_code4,Claim Level,
2300.HI04.03,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,RD8-Range of Dates Expressed in Format CCYYMMDDCCYYMMDD,,"Hardcode as ""RD8""",,,
2300.HI04.04,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,,"Occurrencespan_Startdate4,Occurrencespan_Enddate4",Claim Level,Format - YYYY-MM-DD
2300.HI05.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,BI - Occurrence Span,,"Hardcode as ""BI""",,,
2300.HI05.02,Industry Code,Diagnosis Code,R,,,,,,
2300.HI05.03,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,RD8-Range of Dates Expressed in Format CCYYMMDDCCYYMMDD,,"Hardcode as ""RD8""",,,
2300.HI05.04,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,,,,
2300.HI06.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,BI - Occurrence Span,,"Hardcode as ""BI""",,,
2300.HI06.02,Industry Code,Diagnosis Code,R,,,,,,
2300.HI06.03,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,RD8-Range of Dates Expressed in Format CCYYMMDDCCYYMMDD,,"Hardcode as ""RD8""",,,
2300.HI06.04,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,,,,
2300.HI07.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,BI - Occurrence Span,,"Hardcode as ""BI""",,,
2300.HI07.02,Industry Code,Diagnosis Code,R,,,,,,
2300.HI07.03,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,RD8-Range of Dates Expressed in Format CCYYMMDDCCYYMMDD,,"Hardcode as ""RD8""",,,
2300.HI07.04,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,,,,
2300.HI08.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,BI - Occurrence Span,,"Hardcode as ""BI""",,,
2300.HI08.02,Industry Code,Diagnosis Code,R,,,,,,
2300.HI08.03,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,RD8-Range of Dates Expressed in Format CCYYMMDDCCYYMMDD,,"Hardcode as ""RD8""",,,
2300.HI08.04,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,,,,
2300.HI09.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,BI - Occurrence Span,,"Hardcode as ""BI""",,,
2300.HI09.02,Industry Code,Diagnosis Code,R,,,,,,
2300.HI09.03,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,RD8-Range of Dates Expressed in Format CCYYMMDDCCYYMMDD,,"Hardcode as ""RD8""",,,
2300.HI09.04,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,,,,
2300.HI10.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,BI - Occurrence Span,,"Hardcode as ""BI""",,,
2300.HI10.02,Industry Code,Diagnosis Code,R,,,,,,
2300.HI10.03,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,RD8-Range of Dates Expressed in Format CCYYMMDDCCYYMMDD,,"Hardcode as ""RD8""",,,
2300.HI10.04,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,,,,
2300.HI11.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,BI - Occurrence Span,,"Hardcode as ""BI""",,,
2300.HI11.02,Industry Code,Diagnosis Code,R,,,,,,
2300.HI11.03,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,RD8-Range of Dates Expressed in Format CCYYMMDDCCYYMMDD,,"Hardcode as ""RD8""",,,
2300.HI11.04,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,,,,
2300.HI12.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,BI - Occurrence Span,,"Hardcode as ""BI""",,,
2300.HI12.02,Industry Code,Diagnosis Code,R,,,,,,
2300.HI12.03,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,RD8-Range of Dates Expressed in Format CCYYMMDDCCYYMMDD,,"Hardcode as ""RD8""",,,
2300.HI12.04,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,,,,
Segment - HI Occurrence Information (Situational),,,,,,,,,
2300.HI01.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,BH - Occurrence,,"Hardcode as ""BH""",,,
2300.HI01.02,Industry Code,Diagnosis Code,R,,,,Eventoccurence_Code1,Claim Level,
2300.HI01.03,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 - Date Expressed in Format CCYYMMDD,,"Hardcode as ""D8""",,,
2300.HI01.04,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,,Eventoccurence_Date1,Claim Level,Format - YYYY-MM-DD
2300.HI02.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,BH - Occurrence,,"Hardcode as ""BH""",,,
2300.HI02.02,Industry Code,Diagnosis Code,R,,,,Eventoccurence_Code2,Claim Level,
2300.HI02.03,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 - Date Expressed in Format CCYYMMDD,,"Hardcode as ""D8""",,,
2300.HI02.04,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,,Eventoccurence_Date2,Claim Level,Format - YYYY-MM-DD
2300.HI03.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,BH - Occurrence,,"Hardcode as ""BH""",,,
2300.HI03.02,Industry Code,Diagnosis Code,R,,,,Eventoccurence_Code3,Claim Level,
2300.HI03.03,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 - Date Expressed in Format CCYYMMDD,,"Hardcode as ""D8""",,,
2300.HI03.04,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,,Eventoccurence_Date3,Claim Level,Format - YYYY-MM-DD
2300.HI04.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,BH - Occurrence,,"Hardcode as ""BH""",,,
2300.HI04.02,Industry Code,Diagnosis Code,R,,,,,,
2300.HI04.03,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 - Date Expressed in Format CCYYMMDD,,"Hardcode as ""D8""",,,
2300.HI04.04,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,,,,
2300.HI05.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,BH - Occurrence,,"Hardcode as ""BH""",,,
2300.HI05.02,Industry Code,Diagnosis Code,R,,,,,,
2300.HI05.03,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 - Date Expressed in Format CCYYMMDD,,"Hardcode as ""D8""",,,
2300.HI05.04,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,,,,
2300.HI06.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,BH - Occurrence,,"Hardcode as ""BH""",,,
2300.HI06.02,Industry Code,Diagnosis Code,R,,,,,,
2300.HI06.03,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 - Date Expressed in Format CCYYMMDD,,"Hardcode as ""D8""",,,
2300.HI06.04,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,,,,
2300.HI07.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,BH - Occurrence,,"Hardcode as ""BH""",,,
2300.HI07.02,Industry Code,Diagnosis Code,R,,,,,,
2300.HI07.03,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 - Date Expressed in Format CCYYMMDD,,"Hardcode as ""D8""",,,
2300.HI07.04,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,,,,
2300.HI08.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,BH - Occurrence,,"Hardcode as ""BH""",,,
2300.HI08.02,Industry Code,Diagnosis Code,R,,,,,,
2300.HI08.03,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 - Date Expressed in Format CCYYMMDD,,"Hardcode as ""D8""",,,
2300.HI08.04,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,,,,
2300.HI09.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,BH - Occurrence,,"Hardcode as ""BH""",,,
2300.HI09.02,Industry Code,Diagnosis Code,R,,,,,,
2300.HI09.03,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 - Date Expressed in Format CCYYMMDD,,"Hardcode as ""D8""",,,
2300.HI09.04,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,,,,
2300.HI10.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,BH - Occurrence,,"Hardcode as ""BH""",,,
2300.HI10.02,Industry Code,Diagnosis Code,R,,,,,,
2300.HI10.03,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 - Date Expressed in Format CCYYMMDD,,"Hardcode as ""D8""",,,
2300.HI10.04,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,,,,
2300.HI11.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,BH - Occurrence,,"Hardcode as ""BH""",,,
2300.HI11.02,Industry Code,Diagnosis Code,R,,,,,,
2300.HI11.03,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 - Date Expressed in Format CCYYMMDD,,"Hardcode as ""D8""",,,
2300.HI11.04,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,,,,
2300.HI12.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,BH - Occurrence,,"Hardcode as ""BH""",,,
2300.HI12.02,Industry Code,Diagnosis Code,R,,,,,,
2300.HI12.03,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 - Date Expressed in Format CCYYMMDD,,"Hardcode as ""D8""",,,
2300.HI12.04,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,,,,
Segment - HI Value Information (Situational),,,,,,,,,
2300.HI01.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,BE -Value,,"Hardcode as ""BE""",,,
2300.HI01.02,Industry Code,Diagnosis Code,R,,,,Value_Code1,Claim Level,
2300.HI01.05,Monetary Amount,Monetary Amount,R,,,,Value_Code_Amount1,Claim Level,
2300.HI02.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,BE -Value,,"Hardcode as ""BE""",,,
2300.HI02.02,Industry Code,Diagnosis Code,R,,,,Value_Code2,Claim Level,
2300.HI02.05,Monetary Amount,Monetary Amount,R,,,,Value_Code_Amount2,Claim Level,
2300.HI03.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,BE -Value,,"Hardcode as ""BE""",,,
2300.HI03.02,Industry Code,Diagnosis Code,R,,,,Value_Code3,Claim Level,
2300.HI03.05,Monetary Amount,Monetary Amount,R,,,,Value_Code_Amount3,Claim Level,
2300.HI04.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,BE -Value,,"Hardcode as ""BE""",,,
2300.HI04.02,Industry Code,Diagnosis Code,R,,,,,,
2300.HI04.05,Monetary Amount,Monetary Amount,R,,,,,,
2300.HI05.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,BE -Value,,"Hardcode as ""BE""",,,
2300.HI05.02,Industry Code,Diagnosis Code,R,,,,,,
2300.HI05.05,Monetary Amount,Monetary Amount,R,,,,,,
2300.HI06.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,BE -Value,,"Hardcode as ""BE""",,,
2300.HI06.02,Industry Code,Diagnosis Code,R,,,,,,
2300.HI06.05,Monetary Amount,Monetary Amount,R,,,,,,
2300.HI07.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,BE -Value,,"Hardcode as ""BE""",,,
2300.HI07.02,Industry Code,Diagnosis Code,R,,,,,,
2300.HI07.05,Monetary Amount,Monetary Amount,R,,,,,,
2300.HI08.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,BE -Value,,"Hardcode as ""BE""",,,
2300.HI08.02,Industry Code,Diagnosis Code,R,,,,,,
2300.HI08.05,Monetary Amount,Monetary Amount,R,,,,,,
2300.HI09.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,BE -Value,,"Hardcode as ""BE""",,,
2300.HI09.02,Industry Code,Diagnosis Code,R,,,,,,
2300.HI09.05,Monetary Amount,Monetary Amount,R,,,,,,
2300.HI10.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,BE -Value,,"Hardcode as ""BE""",,,
2300.HI10.02,Industry Code,Diagnosis Code,R,,,,,,
2300.HI10.05,Monetary Amount,Monetary Amount,R,,,,,,
2300.HI11.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,BE -Value,,"Hardcode as ""BE""",,,
2300.HI11.02,Industry Code,Diagnosis Code,R,,,,,,
2300.HI11.05,Monetary Amount,Monetary Amount,R,,,,,,
2300.HI12.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,BE -Value,,"Hardcode as ""BE""",,,
2300.HI12.02,Industry Code,Diagnosis Code,R,,,,,,
2300.HI12.05,Monetary Amount,Monetary Amount,R,,,,,,
Segment - HI Condition Information (Situational),,,,,,,,,
2300.HI01.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,BG - Condition,,"Hardcode as ""BG""",,,
2300.HI01.02,Industry Code,Diagnosis Code,R,,,,Condition_Code1,Claim Level,
2300.HI02.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,BG - Condition,,"Hardcode as ""BG""",,,
2300.HI02.02,Industry Code,Diagnosis Code,R,,,,Condition_Code2,Claim Level,
2300.HI03.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,BG - Condition,,"Hardcode as ""BG""",,,
2300.HI03.02,Industry Code,Diagnosis Code,R,,,,Condition_Code3,Claim Level,
2300.HI04.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,BG - Condition,,"Hardcode as ""BG""",,,
2300.HI04.02,Industry Code,Diagnosis Code,R,,,,Condition_Code4,Claim Level,
2300.HI05.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,BG - Condition,,"Hardcode as ""BG""",,,
2300.HI05.02,Industry Code,Diagnosis Code,R,,,,Condition_Code5,Claim Level,
2300.HI06.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,BG - Condition,,"Hardcode as ""BG""",,,
2300.HI06.02,Industry Code,Diagnosis Code,R,,,,Condition_Code6,Claim Level,
2300.HI07.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,BG - Condition,,"Hardcode as ""BG""",,,
2300.HI07.02,Industry Code,Diagnosis Code,R,,,,,,
2300.HI08.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,BG - Condition,,"Hardcode as ""BG""",,,
2300.HI08.02,Industry Code,Diagnosis Code,R,,,,,,
2300.HI09.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,BG - Condition,,"Hardcode as ""BG""",,,
2300.HI09.02,Industry Code,Diagnosis Code,R,,,,,,
2300.HI10.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,BG - Condition,,"Hardcode as ""BG""",,,
2300.HI10.02,Industry Code,Diagnosis Code,R,,,,,,
2300.HI11.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,BG - Condition,,"Hardcode as ""BG""",,,
2300.HI11.02,Industry Code,Diagnosis Code,R,,,,,,
2300.HI12.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,BG - Condition,,"Hardcode as ""BG""",,,
2300.HI12.02,Industry Code,Diagnosis Code,R,,,,,,
Segment - HI Treatment Code Information (Situational),,,,,,,,,
2300.HI01.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,TC -Treatment Codes,,,,,
2300.HI01.02,Industry Code,Diagnosis Code,R,,,,,,
