LoopID.Segment ID,EDI Element Name,Element Description,Enumeration Values,Field in CSV layout.,Mapping Logic
2300.DTP02,Date Time Period Format Qualifier,,"D8 Date Expressed in Format CCYYMMDD
RD8 Range of Dates Expressed in Format CCYYMMDDCCYYMMDD",,
2300.DTP03,Coverage Period,,,BenefitPlan_startDate_1,"If 2300.DTP01 is 348, For the first occurrence of 2300 loop
In the format of YYYY-MM-DD"
,,,,BenefitPlan_endDate_1,"If 2300.DTP01 is 349, For the first occurrence of 2300 loop
In the format of YYYY-MM-DD"
,,,,Effectuation_Date_1,"If 2300.DTP01 is 343, For the first occurrence of 2300 loop
In the format of YYYY-MM-DD"
,,,,BenefitPlan_startDate_2,"If 2300.DTP01 is 348 ,For the second occurrence of 2300 loop
In the format of YYYY-MM-DD"
,,,,BenefitPlan_endDate_2,"If 2300.DTP01 is 349, For the second  occurrence of 2300 loop
In the format of YYYY-MM-DD"
,,,,Effectuation_Date_2,"If 2300.DTP01 is 343, For the second  occurrence of 2300 loop
In the format of YYYY-MM-DD"
,,,,BenefitPlan_startDate_3,"If 2300.DTP01 is 348, For the 3rd occurrence of 2300 loop
In the format of YYYY-MM-DD"
,,,,BenefitPlan_endDate_3,"If 2300.DTP01 is 349, For the 3rd occurrence of 2300 loop
In the format of YYYY-MM-DD"
,,,,Effectuation_Date_3,"If 2300.DTP01 is 343, For the 3rd  occurrence of 2300 loop
In the format of YYYY-MM-DD"
,,,,BenefitPlan_startDate_4,"If 2300.DTP01 is 348 ,For the 4th occurrence of 2300 loop
In the format of YYYY-MM-DD"
,,,,BenefitPlan_endDate_4,"If 2300.DTP01 is 349, For the 4th  occurrence of 2300 loop
In the format of YYYY-MM-DD"
,,,,Effectuation_Date_4,"If 2300.DTP01 is 343, For the 4th  occurrence of 2300 loop
In the format of YYYY-MM-DD"
,,,,BenefitPlan_startDate_5,"If 2300.DTP01 is 348, For the 5th occurrence of 2300 loop
In the format of YYYY-MM-DD"
,,,,BenefitPlan_endDate_5,"If 2300.DTP01 is 349, For the 5th occurrence of 2300 loop
In the format of YYYY-MM-DD"
,,,,Effectuation_Date_5,"If 2300.DTP01 is 343, For the 5th  occurrence of 2300 loop
In the format of YYYY-MM-DD"
,,,,BenefitPlan_startDate_6,"If 2300.DTP01 is 348, For the 6th occurrence of 2300 loop
In the format of YYYY-MM-DD"
,,,,BenefitPlan_endDate_6,"If 2300.DTP01 is 349, For the 6th occurrence of 2300 loop
In the format of YYYY-MM-DD"
,,,,Effectuation_Date_6,"If 2300.DTP01 is 343, For the 6th  occurrence of 2300 loop
In the format of YYYY-MM-DD"
,,,,BenefitPlan_startDate_7,"If 2300.DTP01 is 348, For the 7th occurrence of 2300 loop
In the format of YYYY-MM-DD"
,,,,BenefitPlan_endDate_7,"If 2300.DTP01 is 349, For the 7th occurrence of 2300 loop
In the format of YYYY-MM-DD"
,,,,Effectuation_Date_7,"If 2300.DTP01 is 343, For the 7th  occurrence of 2300 loop
In the format of YYYY-MM-DD"
,,,,BenefitPlan_startDate_8,"If 2300.DTP01 is 348, For the 8th occurrence of 2300 loop
In the format of YYYY-MM-DD"
,,,,BenefitPlan_endDate_8,"If 2300.DTP01 is 349, For the 8th occurrence of 2300 loop
In the format of YYYY-MM-DD"
,,,,Effectuation_Date_8,"If 2300.DTP01 is 343, For the 8th  occurrence of 2300 loop
In the format of YYYY-MM-DD"
2300.AMT,Health Coverage Policy,,,,
2300.AMT01,Amount Qualifier Code,,"B9 Co-insurance - Actual
1283 co-insurance selection amount.
contract.
C1 Co-Payment Amount
D2 Deductible Amount
EBA Expected Expenditure Amount
FK Other Unlisted Amount
P3 Premium Amount
R Spend Down",,
2300.AMT02,Monetary Amount,Contract Amount,,,
2300.REF,Health Coverage Policy Number,,,,
2300.REF01,Reference Identification Qualifier,,"17 Client Reporting Category
1L Group or Policy Number
9V Payment Category
CE Class of Contract Code
E8 Service Contract (Coverage) Number
M7 Medical Assistance Category
PID Program Identification Number
RB Rate code number
X9 Internal Control Number
XM Issuer Number
XX1 Special Program Code
XX2 Service Area Code
ZX County Code
ZZ Mutually Defined",,
2300.REF02,Member Group or Policy Number,,,BenefitPlan_Hcc_Id_EDI_Group Number_1,"If 2300.REF01 = 1L,  For the first occurrence of 2300 loop"
,,,,BenefitPlan_Hcc_Id_EDI_Class of Contract code_1,"If 2300.REF01 = CE, For the first occurrence of 2300 loop"
,,,,BenefitPlan_Hcc_Id_EDI_Client_ReportingCategory_1,If 2300.REF01 = 17 For the first occurrence of 2300 loop
,,,,BenefitPlan_Hcc_Id_EDI_MutuallyDefined_1,"If 2300.REF01 = ZZ, For the first occurrence of 2300 loop"
,,,,BenefitPlan_Hcc_Id_EDI_Group Number_2,"If 2300.REF01 = 1L,  For the 2nd occurrence of 2300 loop"
,,,,BenefitPlan_Hcc_Id_EDI_Class of Contract code_2,"If 2300.REF01 = CE, For the 2nd occurrence of 2300 loop"
,,,,BenefitPlan_Hcc_Id_EDI_Client_ReportingCategory_2,If 2300.REF01 = 17 For the 2nd occurrence of 2300 loop
,,,,BenefitPlan_Hcc_Id_EDI_MutuallyDefined_2,"If 2300.REF01 = ZZ, For the 2nd occurrence of 2300 loop"
,Reference Identification,Member Group or Policy Number,,BenefitPlan_Hcc_Id_EDI_Group Number_3,"If 2300.REF01 = 1L,  For the 3rd occurrence of 2300 loop"
,,,,BenefitPlan_Hcc_Id_EDI_Class of Contract code_3,"If 2300.REF01 = CE, For the 3rd occurrence of 2300 loop"
,,,,BenefitPlan_Hcc_Id_EDI_Client_ReportingCategory_3,If 2300.REF01 = 17 For the 3rd occurrence of 2300 loop
,,,,BenefitPlan_Hcc_Id_EDI_MutuallyDefined_3,"If 2300.REF01 = ZZ, For the 3rd occurrence of 2300 loop"
,,,,BenefitPlan_Hcc_Id_EDI_Group Number_4,"If 2300.REF01 = 1L,  For the 4th occurrence of 2300 loop"
,,,,BenefitPlan_Hcc_Id_EDI_Class of Contract code_4,"If 2300.REF01 = CE,  For the 4th occurrence of 2300 loop"
,,,,BenefitPlan_Hcc_Id_EDI_Client_ReportingCategory_4,If 2300.REF01 = 17 For the 4th occurrence of 2300 loop
,,,,BenefitPlan_Hcc_Id_EDI_MutuallyDefined_4,"If 2300.REF01 = ZZ, For the 4th occurrence of 2300 loop"
,,,,BenefitPlan_Hcc_Id_EDI_Group Number_5,"If 2300.REF01 = 1L,For the 5th occurrence of 2300 loop"
,,,,BenefitPlan_Hcc_Id_EDI_Class of Contract code_5,"If 2300.REF01 = CE, For the 5th occurrence of 2300 loop"
,,,,BenefitPlan_Hcc_Id_EDI_Client_ReportingCategory_5,If 2300.REF01 = 17 For the 5th occurrence of 2300 loop
,,,,BenefitPlan_Hcc_Id_EDI_MutuallyDefined_5,"If 2300.REF01 = ZZ, For the 5th occurrence of 2300 loop"
,,,,BenefitPlan_Hcc_Id_EDI_Group Number_6,"If 2300.REF01 = 1L, For the 6th occurrence of 2300 loop"
,,,,BenefitPlan_Hcc_Id_EDI_Class of Contract code_6,"If 2300.REF01 = CE, For the 6th occurrence of 2300 loop"
,,,,BenefitPlan_Hcc_Id_EDI_Client_ReportingCategory_6,If 2300.REF01 = 17 For the 6th occurrence of 2300 loop
,,,,BenefitPlan_Hcc_Id_EDI_MutuallyDefined_6,"If 2300.REF01 = ZZ, For the 6th occurrence of 2300 loop"
,,,,BenefitPlan_Hcc_Id_EDI_Group Number_7,"If 2300.REF01 = 1L, For the 7th occurrence of 2300 loop"
,,,,BenefitPlan_Hcc_Id_EDI_Class of Contract code_7,"If 2300.REF01 = CE, For the 7th occurrence of 2300 loop"
,,,,BenefitPlan_Hcc_Id_EDI_Client_ReportingCategory_7,If 2300.REF01 = 17 For the 6th occurrence of 2300 loop
,,,,BenefitPlan_Hcc_Id_EDI_MutuallyDefined_7,"If 2300.REF01 = ZZ, For the 6th occurrence of 2300 loop"
,,,,BenefitPlan_Hcc_Id_EDI_Group Number_8,"If 2300.REF01 = 1L, For the 8th occurrence of 2300 loop"
,,,,BenefitPlan_Hcc_Id_EDI_Class of Contract code_8,"If 2300.REF01 = CE, For the 8th occurrence of 2300 loop"
,,,,BenefitPlan_Hcc_Id_EDI_Client_ReportingCategory_8,If 2300.REF01 = 17 For the 6th occurrence of 2300 loop
,,,,BenefitPlan_Hcc_Id_EDI_MutuallyDefined_8,"If 2300.REF01 = ZZ, For the 6th occurrence of 2300 loop"
2310 — PROVIDER INFORMATION Loop Repeat: 30,,,,,
2310.LX,PROVIDER INFORMATION,,,,
2310.LX01,Assigned Number,,,,
2310.NM1,PROVIDER NAME,,,,
2310.NM101,Entity Identifier Code,,"1X Laboratory
3D Obstetrics and Gynecology Facility
80 Hospital
FA Facility
OD Doctor of Optometry
P3 Primary Care Provider
QA Pharmacy
QN Dentist
Y2 Managed Care Organization",PCP_RoleType,"If 2310.NM101 = P3, Map as PCP."
2310.NM102,Entity Type Qualifier,,"1 = Person
2 = Non-Person entity",,
2310.NM103,Provider Last Name,,,,
2310.NM104,Provider First Name,,,,
2310.NM105,Provider Middle Name,,,,
2310.NM106,Provider Name Prefix,,,,
2310.NM107,Provider Name Suffix,,,,
2310.NM108,ID Code Qualifier,,"34: SSN
FI: Federal Tax ID
SV: Service Provider Number
 XX: NPI",,
2310.NM109,ID Code,,,PCP_hccIdentificationNumber,If 2310.NM101 = P3
2310.NM110,Entity Relationship Code,,"25: Established Patient
26: Not Established Patient
72: Unknown",,
2310.N3,PROVIDER ADDRESS,,,,
2310.N301,Provider Address Line,,,,
2310.N302,Provider Address Line,,,,
2310.N4,"PROVIDER CITY, STATE, ZIP CODE",,,,
2310.N401,Provider City Name,,,,
2310.N402,Provider State Code,,,,
2310.N403,Provider ZIP Code,,,,
2310.N404,Provider Country Code,,,,
2310.PER,PROVIDER COMMUNICATIONS NUMBERS,,,,
2310.PER01,Contact Function Code,,IC = Information Contact,,
2310.PER03,Communication Number Qualifier,,"AP Alternate Telephone
BN Beeper Number
CP Cellular Phone
EM Electronic Mail
EX Telephone Extension
FX Facsimile
HP Home Phone Number
TE Telephone
WP Work Phone Number",,
2310.PER04,Communication Number,,,,
2310.PER05,Communication Number Qualifier,,"AP Alternate Telephone
BN Beeper Number
CP Cellular Phone
EM Electronic Mail
EX Telephone Extension
FX Facsimile
HP Home Phone Number
TE Telephone
WP Work Phone Number",,
2310.PER06,Communication Number,,,,
2310.PER07,Communication Number Qualifier,,"AP Alternate Telephone
BN Beeper Number
CP Cellular Phone
EM Electronic Mail
EX Telephone Extension
FX Facsimile
HP Home Phone Number
TE Telephone
WP Work Phone Number",,
2310.PER08,Communication Number,,,,
2310.PLA,Provider Change Reason,,,,
2310.PLA01,Action Code,,2: Change (Update),,
2310.PLA02,Entity Identifier Code,,1P : Provider,,
2310.PLA03,Date,,Provider Effective Date,PCP_Change_Effectivedate,In the format of YYYY-MM-DD
2310.PLA05,Maintenance Reason Code,,"14 Voluntary Withdrawal
22 Plan Change
46 Current Customer Information File in Error
AA Dissatisfaction with Office Staff
AB Dissatisfaction with Medical Care/Services Rendered
AC Inconvenient Office Location
AD Dissatisfaction with Office Hours
AE Unable to Schedule Appointments in a Timely
Manner
AF Dissatisfaction with Physician’s Referral Policy
AG Less Respect and Attention Time Given than to
Other Patients
AH Patient Moved to a New Location
AI No Reason Given
AJ Appointment Times not Met in a Timely Manner",,
2320 — COORDINATION OF BENEFITS Loop Repeat: 5,,,,,
2320.COB,COB-Coordination of Benefits,,,,
2320.COB01,Payer Responsibility Sequence Number Code,,"P Primary
S Secondary
T Tertiary
U Unknown",COB_responsibilitySequenceCode_1,"For the first occurrence of 2320 loop
P - Primary
S - Secondary
T - Tertiary
U - Unknown"
,,,,COB_responsibilitySequenceCode_2,"For the second occurrence of 2320 loop
P - Primary
S - Secondary
T - Tertiary
U - Unknown"
,,,,COB_responsibilitySequenceCode_3,"For the third occurrence of 2320 loop
P - Primary
S - Secondary
T - Tertiary
U - Unknown"
,,,,COB_responsibilitySequenceCode_4,"For the 4th occurrence of 2320 loop
P - Primary
S - Secondary
T - Tertiary
U - Unknown"
,,,,COB_responsibilitySequenceCode_5,"For the 5th occurrence of 2320 loop
P - Primary
S - Secondary
T - Tertiary
U - Unknown"
2320.COB02,Member Group or Policy Number,Member Group or Policy Number,,COB_PolicyId_1,For the first occurrence of 2320 loop
,,,,COB_PolicyId_2,For the second occurrence of 2320 loop
,,,,COB_PolicyId_3,For the third occurrence of 2320 loop
,,,,COB_PolicyId_4,For the 4th occurrence of 2320 loop
,,,,COB_PolicyId_5,For the 5th occurrence of 2320 loop
2320.COB03,Coordination of Benefits Code,,"1: Coordination of Benefits;
5 Unknown
6: No Coordination of Benefits",,
2320.COB04,Service Type Code,,"1 Medical Care
35 Dental Care
48 Hospital - Inpatient
50 Hospital - Outpatient
54 Long Term Care
89 Free Standing Prescription Drug
90 Mail Order Prescription Drug
A4 Psychiatric
AG Skilled Nursing Care
AL Vision (Optometry)
BB Partial Hospitalization (Psychiatric)",,
2320.REF,Additional Coordination of Benefits Identifiers,,,,
2320.REF01,Reference Identification Qualifier,,"60 Account Suffix Code
6P Group Number
SY Social Security Numberr
ZZ Mutually Defined",,
2320.REF02,Member Group or Policy Number,,,COB_groupNumber_1,"2320.REF01 = 6P,  For the first occurrence of 2320 loop"
,,,,COB_groupNumber_2,"2320.REF01 = 6P,  For the second occurrence of 2320 loop"
,,,,COB_groupNumber_3,"2320.REF01 = 6P, For the third occurrence of 2320 loop"
,,,,COB_groupNumber_4,"2320.REF01 = 6P,  For the 4th occurrence of 2320 loop"
,,Member Group or Policy Number,,COB_groupNumber_5,"2320.REF01 = 6P, For the 5th occurrence of 2320 loop"
2320.DTP,Coordination of Benefits Eligibility Dates,,,,
2320.DTP01,Date/Time Qualifier,,"344 :Coordination of Benefits Begin
345 :Coordination of Benefits End",,
2320.DTP02,Date Time Period Format Qualifier,,D8 : CCYYMMDD,,
2320.DTP03,Date Time Period,Coordination of Benefit Date,,"COB_startDate_1 when 2320.DTP01 = 344
COB_endDate_1 when 2320.DTP01 = 345","For the first occurrence of 2320 loop
In the format of YYYY-MM-DD"
,,,,"COB_startDate_2 when 2320.DTP01 = 344
COB_endDate_2 when 2320.DTP01 = 345","For the second occurrence of 2320 loop
In the format of YYYY-MM-DD"
,,,,"COB_startDate_3 when 2320.DTP01 = 344
COB_endDate_3 when 2320.DTP01 = 345","For the third occurrence of 2320 loop
In the format of YYYY-MM-DD"
,,,,"COB_startDate_4 when 2320.DTP01 = 344
COB_endDate_4 when 2320.DTP01 = 345","For the 4th occurrence of 2320 loop
In the format of YYYY-MM-DD"
,,,,"COB_startDate_5 when 2320.DTP01 = 344
COB_endDate_5 when 2320.DTP01 = 345","For the 5th occurrence of 2320 loop
In the format of YYYY-MM-DD"
"2330 — COORDINATION OF BENEFITS RELATED ENTITY Loop
Repeat: 3",,,,,
2330.NM1,COORDINATION OF BENEFITS RELATED ENTITY,,,,
2330.NM101,Entity Identifier Code,,"36: Employer
GW: Group
IN: Insurer",,
2330.NM102,Entity Type Qualifier,,2 : Non-Person Entity,,
2330.NM103,Coordination of Benefits Insurer Name,Coordination of Benefits Insurer Name,,COB_otherInsuranceCompanyName_1,"2330.NM101 = IN, For the first occurrence of 2320 loop"
,,,,COB_otherInsuranceCompanyName_2,"2330.NM101 = IN, For the second occurrence of 2320 loop"
,,,,COB_otherInsuranceCompanyName_3,"2330.NM101 = IN, For the third occurrence of 2320 loop"
,,,,COB_otherInsuranceCompanyName_4,2330.NM101 = IN For the 4th occurrence of 2320 loop
,,,,COB_otherInsuranceCompanyName_5,"2330.NM101  = IN, For the 5th occurrence of 2320 loop"
2330.NM108,ID Code Qualifier,,"FI: Federal Tax ID
NI: NAIC
XV: CMS Plan ID",,
2330.NM109,"Coordination of Benefits Insurer Identification
Code","Coordination of Benefits Insurer Identification
Code",,,
2330.N3,COORDINATION OF BENEFITS RELATED ENTITY ADDRESS,,,,
2330.N301,Member Address Line,,,,
2330.N302,Member Address Line,,,,
2330.N4,"COORDINATION OF BENEFITS RELATED ENTITY OTHER INSURANCE COMPANY CITY, STATE, ZIPCODE",,,,
2330.N401,Member City Name,,,,
2330.N402,Member State Code,,,,
2330.N403,Member ZIP Code,,,,
2330.N404,Member Country Code,,,,
2330.N407,Country Subdivision Code,,,,
2700 — ADDITIONAL REPORTING CATEGORIES LOOP,,,,,
2700.LS,ADDITIONAL REPORTING CATEGORIES LOOP,,,,
.LS01,Loop Identifier Code,,Use the value 2700.,,
2710 — MEMBER REPORTING CATEGORIES Loop Repeat: >1                              Map only the first 10 occurences of 2710 loop.,,,,,
2710.LX,MEMBER REPORTING CATEGORIES,,,,
2710.LX01,Assigned Number,,,,
2750 — REPORTING CATEGORY Loop Repeat: 1,,,,,
2750.N1,REPORTING CATEGORY,,,,
2750.N101,Entity Identifier Code,,75 : Participant,,
2750.N102,Member Reporting Category Name,Member Reporting Category Name,`,Reporting_Category_Name_1,For the 1st occurrence of 2710 loop
,,,,Reporting_Category_Name_2,For the 2nd occurrence of 2710 loop
,,,,Reporting_Category_Name_3,For the 3rd occurrence of 2710 loop
,,,,Reporting_Category_Name_4,For the 4th occurrence of 2710 loop
,,,,Reporting_Category_Name_5,For the 5th occurrence of 2710 loop
,,,,Reporting_Category_Name_6,For the 6th occurrence of 2710 loop
,,,,Reporting_Category_Name_7,For the 7th occurrence of 2710 loop
,,,,Reporting_Category_Name_8,For the 8th occurrence of 2710 loop
,,,,Reporting_Category_Name_9,For the 9th occurrence of 2710 loop
,,,,Reporting_Category_Name_10,For the 10th occurrence of 2710 loop
2750.REF,REPORTING CATEGORY REFERENCE  Segment repeat = 16,A record is inserted into  Member_Reporting_Category_Identifiers  table  for each 2750.REF,,,
2750.REF01,Reference Identification Qualifier,,"00 Contracting District Number
17 Client Reporting Category
18 Plan Number
19 Division Identifier
26 Union Number
3L Branch Identifier
6M Application Number
9V Payment Category
9X Account Category
GE Geographic Number
LU Location Number
PID Program Identification Number
XX1 Special Program Code
XX2 Service Area Code
YY Geographic Key
ZZ Mutually Defined",,
2750.REF02,Reference Identification,,,Reporting_Category_Identification_1,For the 1st occurrence of 2710 loop. Map only the first occurrence of 2750.REF.
,,,,Reporting_Category_Identification_2,For the 2nd occurrence of 2710 loop. Map only the first occurrence of 2750.REF.
,,,,Reporting_Category_Identification_3,For the 3rd occurrence of 2710 loop. Map only the first occurrence of 2750.REF.
,,,,Reporting_Category_Identification_4,For the 4th occurrence of 2710 loop. Map only the first occurrence of 2750.REF.
,,,,Reporting_Category_Identification_5,For the 5th occurrence of 2710 loop. Map only the first occurrence of 2750.REF.
,,,,Reporting_Category_Identification_6,For the 6th occurrence of 2710 loop. Map only the first occurrence of 2750.REF.
,,,,Reporting_Category_Identification_7,For the 7th occurrence of 2710 loop. Map only the first occurrence of 2750.REF.
,,,,Reporting_Category_Identification_8,For the 8th occurrence of 2710 loop. Map only the first occurrence of 2750.REF.
,,,,Reporting_Category_Identification_9,For the 9th occurrence of 2710 loop. Map only the first occurrence of 2750.REF.
,,,,Reporting_Category_Identification_10,For the 10th occurrence of 2710 loop. Map only the first occurrence of 2750.REF.
2750.DTP,REPORTING CATEGORY DATE,,,,
2750.DTP01,Date/Time Qualifier,,007 = Effective,,
,,,,,
2750.DTP02,Date Time Period Format Qualifier,,"D8 : Date Expressed in Format CCYYMMDD
RD8 : Range of Dates Expressed in Format CCYYMMDD-CCYYMMDD",,
2750.DTP03,,,,Reporting_Category_Date_1,For the 1st occurrence of 2710 loop
,,,,Reporting_Category_Date_2,For the 2nd occurrence of 2710 loop
,,,,Reporting_Category_Date_3,For the 3rd occurrence of 2710 loop
,,,,Reporting_Category_Date_4,For the 4th occurrence of 2710 loop
,,,,Reporting_Category_Date_5,For the 5th occurrence of 2710 loop
,Date time period,,,Reporting_Category_Date_6,For the 6th occurrence of 2710 loop
,,,,Reporting_Category_Date_7,For the 7th occurrence of 2710 loop
,,,,Reporting_Category_Date_8,For the 8th occurrence of 2710 loop
,,,,Reporting_Category_Date_9,For the 9th occurrence of 2710 loop
,,,,Reporting_Category_Date_10,For the 10th occurrence of 2710 loop
2700.LE,"ADDITIONAL REPORTING CATEGORIES
LOOP TERMINATION",,,,
2700.LE01,Loop Identifier Code,,Use the value 2700,,
SE,Transaction Set Trailer,,,,
SE01,Number of Included Segments,Total number of segments included in the transaction set including ST and SE segments,,,
SE02,Transaction Set Control Number,ST02 and SE02 must be identical,,,
GE,Function Group Trailer,,,,
GE01,Number of Transaction Sets Included,Total number of transactions set included in the group or interchange,,,
GE02,Group Control Number,GS06 and GE02 must be identical,,,
IEA,Interchange Control Trailer,,,,
IEA01,Number of Included Functional Groups,,,,
IEA02,Interchange Control Number,ISA12 and IEA02 must be identical,,,
