̥,Element Name,Usage,Enumeration Values,Hard Code / Default Value,XML Field,Mapping Logic,Notes/Comments
2010CA.NM107,Name Suffix,S,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/patientInformation/member/nameSuffix,,
,Segment - N3 Patient Address (Situational),,,,,,
2010CA.N301,Address Information,R,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/patientInformation/correspondenceAddress/address,,
2010CA.N302,Address Information,S,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/patientInformation/correspondenceAddress/address2,,
,"Segment - N4 Patient City, State, ZIP Code (Situational)",,,,,,
2010CA.N401,City Name,R,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/patientInformation/correspondenceAddress/city,,
2010CA.N402,State or Province Code,S,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/patientInformation/correspondenceAddress/stateCode,,
2010CA.N403,Postal Code,S,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/patientInformation/correspondenceAddress/zipCode + ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/patientInformation/correspondenceAddress/zipExtension,,
2010CA.N404,Country Code,S,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/patientInformation/correspondenceAddress/countryCode,,
2010CA.N407,Country Subdivision Code,S,,,,,
,Segment - DMG Patient Demographic Information (Situational),,,,,,
2010CA.DMG01,Date Time Period Format Qualifier,R,D8- Date Expressed In YYYYMMDD,D8,,,
2010CA.DMG02,Date Time Period,R,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/patientInformation/member/birthdate,,
2010CA.DMG03,Gender Code,R,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/patientInformation/member/genderCode,,
,Segment - Property and Casuality Claim Number (Situational),,,,,,
2010CA.REF01,Reference Identification Qualifier,R,Y4 Agency Claim Number,,,,
2010CA.REF02,Reference Identification,R,,,,,
,Loop 2300 (Required) — CLAIM INFORMATION Loop Repeat: 100,,,,,,
,Segment - CLM Claim information (Situational),,,,,,
2300.CLM01,Claim Submitter's Identifier,R,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/hccId,,
2300.CLM02,Monetary Amount,R,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/requestedFeeAmount,,
2300.CLM05.01,Facility Code Value,R,,,First 2 Bytes of ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/typeOfBillCode,,
2300.CLM05.02,Facility Code Qualifier,R,A- Uniform Billing Claim Form Bill Type,A,,,
2300.CLM05.03,Claim Frequency Type Code,R,,,"getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/frequency
if <frequency> is null, thenThe 3rd byte of ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/typeOfBillCode",,
2300.CLM07,Provider Accept Assignment Code,R,"A Assigned
B Assignment Accepted on Clinical Lab Services Only
C Not Assigned",,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/assignmentAcceptance,"Yes - A
No - C",
2300.CLM08,Yes/No Condition or Response Code,R,"N No
W Not Applicable
Y Yes",,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/ /claim/benefitAssignment,"If value  present is  'Y' or Yes then Y
else 'N'",
2300.CLM09,Release of Information Code,R,"I Informed Consent to Release Medical Information
for Conditions or Diagnoses Regulated by Federal
Statutes
Y Yes, Provider has a Signed Statement Permitting
Release of Medical Billing Data Related to a Claim",,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/informationRelease,If value is 'Y' then 'Y' else 'I',
2300.CLM20,Delay Reason Code,S,"1 Proof of Eligibility Unknown or Unavailable
2 Litigation
3 Authorization Delays
4 Delay in Certifying Provider
5 Delay in Supplying Billing Forms
6 Delay in Delivery of Custom-made Appliances
7 Third Party Processing Delay
8 Delay in Eligibility Determination
9 Original Claim Rejected or Denied Due to a Reason
Unrelated to the Billing Limitation Rules
10 Administration Delay in the Prior Approval Process
11 Other
15 Natural Disaster",,,,
,Segment - DTP Discharge Date/Hour (Situational),,,,"This DTP segment populated only if first 2 digits of /claim/typeOfBill is ""11"",""21"",""18"",""28"",""41"",""65"",""66"",""86""  andlast digit of /claim/typeOfBill is not equal to ""2"" and ""3""",,
2300.DTP01,Date/Time Qualifier,R,096- Discharge,096,,,
2300.DTP02,Date Time Period Format Qualifier,R,TM- Time Expressed In HHMM,TM,,,
2300.DTP03,Date Time Period,R,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/dischargeTime,"If dischargeTime is not present
 Map ""0000""",
,Segment - DTP Statement Dates (Required),,,,,,
2300.DTP01,Date/Time Qualifier,R,434 - Statement Dates,434,,,
2300.DTP02,Date Time Period Format Qualifier,R,RD8 - Date Expressed In YYYYMMDD - YYYYMMDD,RD8,,,
2300.DTP03,Date Time Period,R,"If D8 - CCYYMMDD
If DT- CCYYMMDDHH",,"ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/startDate+ ""-"" +
 ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/endDate",,
,Segment - DTP Admission Date/Hour (Situational),,,,"This DTP segment populated only if first 2 digits of /claim/typeOfBill is ""11"",""21"",""18"",""28"",""41"",""65"",""66"",""86"",""12"",""22"",""32"",""33"",""34"",""81"",""82""",,
2300.DTP01,Date/Time Qualifier,R,435 - Admission Dates,435,,,
2300.DTP02,Date Time Period Format Qualifier,R,D8 - Date Expressed In YYYYMMDD,"D8 (if first 2 digits of /claim/typeOfBill is ""21"" or If AdmitTime is missing./
DT (if first 2 digits of /claim/typeOfBill is ""21"",""11"",""18"",""28"",""41"",""65"",""66"",""86"",""12"",""22"",""32"",""33"",""34"",""81"",""82"")",,,
2300.DTP03,Date Time Period,R,"If D8 - CCYYMMDD
If DT- CCYYMMDDHH",,"if first 2 digits of /claim/typeOfBill is ""21"" or AdmitTime is missing then
/claim/admitDate
if first 2 digits of /claim/typeOfBill is""11"",""18"",""28"",""41"",""65"",""66"",""86"",""12"",""22"",""32"",""33"",""34"",""81"",""82"") then
or
/claim/admitDate + /claim/admitTime",,
,Segment - DTP Date - Repricer Received Date (Situational),,,,,,
2300.DTP01,Date/Time Qualifier,R,050 Received,050,,,
2300.DTP02,Date Time Period Format Qualifier,R,D8 :  Date Expressed in Format CCYYMMDD,D8,,,
2300.DTP03,Date Time Period,R,"If D8 - CCYYMMDD
If DT- CCYYMMDDHH",,/claim/receiptDate,,Do we need this?
,Segment - CL1 Institutional Claim Code (Required),,,,,,
2300.CL101,Admission Type Code,R,"1-Emergency
2-Urgent
3-Elective",,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/admissionTypeCode,,
2300.CL102,Admission Source Code,S,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/admissionSource,,
2300.CL103,Patient Status Code,R,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/dischargeStatus,"Hardcode it to ""01"" if dischargeStatus is Empty","Hardcode it to ""01"" if dischargeStatus is Empty"
,Segment - PWK Claim Supplemental Information (Situational),,,,,,
2300.PWK01,Report Type Code,R,,,,,
2300.PWK02,Report Transmission Code,R,,,,,
2300.PWK05,Identification Code Qualifier,S,,,,,
2300.PWK06,Identification Code,S,,,,,
,Segment - CN1 Contract Information (Situational),,,,,,
2300.CN101,Contract Type Code,R,,,,,
2300.CN102,Monetary Amount,S,,,,,
2300.CN103,"Percent, Decimal Format",S,,,,,
2300.CN104,Reference Identification,S,,,,,
2300.CN105,Terms Discount Percent,S,,,,,
2300.CN106,Version Identifier,S,,,,,
,Segment - AMT Patient Estimated Amount Due (Situational),,,,,,
2300.AMT01,Amount Qualifier Code,R,F3 Patient Responsibility - Estimated,F3,,,
2300.AMT02,Monetary Amount,R,,,claimDetails/EOBPayementInformation/eobClaimDetails/claim/memberAmount,,
,Segment - REF Service Authorization Exception Code (Situational),,,,,,
2300.REF01,Reference Identification Qualifier,R,,,,,
2300.REF02,Reference Identification,R,,,,,
,Segment - REF Referral Number (Situational),,,,,,
2300.REF01,Reference Identification Qualifier,R,,,,,
2300.REF02,Reference Identification,R,,,,,
,Segment - REF Prior Authorization (Situational),,,,,,
2300.REF01,Reference Identification Qualifier,R,,,,,
2300.REF02,Reference Identification,R,,,,,
,Segment - REF Payer Claim Control Number (Situational),,,,,,
2300.REF01,Reference Identification Qualifier,R,F8 Original Reference Number,F8,,,
2300.REF02,Reference Identification,R,,,claimDetails/EOBPaymentInformation/eobClaimDetail/claim/hccId/,,
,Segment - REF Repriced Claim Number (Situational),,,,,,
2300.REF01,Reference Identification Qualifier,R,,,,,
2300.REF02,Reference Identification,R,,,,,
,Segment - REF Adjusted Repriced Claim Number (Situational),,,,,,
2300.REF01,Reference Identification Qualifier,R,,,,,
2300.REF02,Reference Identification,R,,,,,
,Segment - REF Investigational Device Exemption Number (Situational),,,,,,
2300.REF01,Reference Identification Qualifier,R,,,,,
2300.REF02,Reference Identification,R,,,,,
,Segment - REF Claim Identification For Transmission Intermediaries (Situational),,,,,,
2300.REF01,Reference Identification Qualifier,R,D9 Claim Number,D9,,,
2300.REF02,Reference Identification,R,,,claimDetails/EOBPaymentInformation/eobClaimDetail/claim/clearingHouseTraceNumber/,,
,Segment - REF Auto Accident State (Situational),,,,,,
2300.REF01,Reference Identification Qualifier,R,,"""LU""",,,
2300.REF02,Reference Identification,R,,,"getClaimDetailsByHccIDResponseRecord/identifiers/identifier/value
if
getClaimDetailsByHccIDResponseRecord/identifiers/identifier/key is equal to ""AUTO_ACCIDENT_STATE_CODE",,
,Segment - REF Medical Record Number (Situational),,,,,,
2300.REF01,Reference Identification Qualifier,R,EA Medical Record Identification Number,EA,,,
2300.REF02,Reference Identification,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/medicalRecordNumber,,
,Segment - REF Demonstration Project Identifier (Situational),,,,,,
2300.REF01,Reference Identification Qualifier,R,,,,,
2300.REF02,Reference Identification,R,,,,,
,Segment - REF Peer Review Organization (PRO) Approval Number (Situational),,,,,,
2300.REF01,Reference Identification Qualifier,R,,,,,
2300.REF02,Reference Identification,R,,,,,
,Segment - K3 File Information (Situational),,,,,,
2300.K301,Fixed Format Information,R,,,,,
,Segment - NTE Claim Note (Situational),,,,,,
2300.NTE01,Note Reference Code,R,,,,,
2300.NTE02,Description,R,,,,,
,Segment - NTE Billing Note (Situational),,,,,,
2300.NTE01,Note Reference Code,R,,,,,
2300.NTE02,Description,R,,,,,
,Segment - CRC EPSDT Referral (Situational),,,,,,
2300.CRC01,Code Category,R,,,,,
2300.CRC02,Yes/No Condition or Response Code,R,,,,,
2300.CRC03,Condition Indicator,R,,,,,
2300.CRC04,Condition Indicator,S,,,,,
2300.CRC05,Condition Indicator,S,,,,,
,Segment - HI Principal Diagnosis (Required),,,,,,
2300.HI01.01,Code List Qualifier Code,R,International Classification of Diseases Clinical Modification (ICD-10-CM),ABK,,,
2300.HI01.02,Industry Code,R,,,eobClaimDetail/claim/Principlediagnosis/diagnosisCode,,Remove the decimal and at third location and populate
2300.HI01.09,Yes/No Condition or Response Code,S,,,,,
,Segment - HI Admitting Diagnosis (Situational),,,,,,
2300.HI01.01,Code List Qualifier Code,R,International Classification of Diseases Clinical Modification (ICD-10-CM) Admitting Diagnosis,ABJ,,,
2300.HI01.02,Industry Code,R,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/admitDiagnosis/diagnosisCode,,Remove the decimal and at third location and populate
,Segment - HI Patient Reason For Visit (Situational),,,,,,
2300.HI01.01,Code List Qualifier Code,R,APR - ICD10CM,APR,,,
2300.HI01.02,Industry Code,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/reasonForVisitDiagnosis/diagnosisInfo/diagnosisCode,,Remove the decimal and at third location and populate
2300.HI02.01,Code List Qualifier Code,R,APR - ICD10CM,APR,,,
2300.HI02.02,Industry Code,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/reasonForVisitDiagnosis/diagnosisInfo/diagnosisCode,,Remove the decimal and at third location and populate
2300.HI03.01,Code List Qualifier Code,R,APR - ICD10CM,APR,,,
2300.HI03.02,Industry Code,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/reasonForVisitDiagnosis/diagnosisInfo/diagnosisCode,,Remove the decimal and at third location and populate
,Segment - HI External Cause of Injury (Situational),,,,,,
2300.HI01.01,Code List Qualifier Code,R,ABN - ICD10CM,ABN,,,
2300.HI01.02,Industry Code,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/externalDiagnosis/diagnosisInfo/diagnosisCode,,Remove the decimal and at third location and populate
2300.HI01.09,Yes/No Condition or Response Code,S,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/externalDiagnosis/diagnosisInfo/poaIndicator,,
2300.HI02.01,Code List Qualifier Code,R,ABN - ICD10CM,ABN,,,
2300.HI02.02,Industry Code,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/externalDiagnosis/diagnosisInfo/diagnosisCode,,Remove the decimal and at third location and populate
2300.HI02.09,Yes/No Condition or Response Code,S,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/externalDiagnosis/diagnosisInfo/poaIndicator,,
2300.HI03.01,Code List Qualifier Code,R,ABN - ICD10CM,ABN,,,
2300.HI03.02,Industry Code,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/externalDiagnosis/diagnosisInfo/diagnosisCode,,Remove the decimal and at third location and populate
2300.HI03.09,Yes/No Condition or Response Code,S,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/externalDiagnosis/diagnosisInfo/poaIndicator,,
2300.HI04.01,Code List Qualifier Code,R,ABN - ICD10CM,ABN,,,
2300.HI04.02,Industry Code,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/externalDiagnosis/diagnosisInfo/diagnosisCode,,Remove the decimal and at third location and populate
2300.HI04.09,Yes/No Condition or Response Code,S,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/externalDiagnosis/diagnosisInfo/poaIndicator,,
2300.HI05.01,Code List Qualifier Code,R,ABN - ICD10CM,ABN,,,
2300.HI05.02,Industry Code,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/externalDiagnosis/diagnosisInfo/diagnosisCode,,Remove the decimal and at third location and populate
2300.HI05.09,Yes/No Condition or Response Code,S,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/externalDiagnosis/diagnosisInfo/poaIndicator,,
2300.HI06.01,Code List Qualifier Code,R,ABN - ICD10CM,ABN,,,
2300.HI06.02,Industry Code,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/externalDiagnosis/diagnosisInfo/diagnosisCode,,Remove the decimal and at third location and populate
2300.HI06.09,Yes/No Condition or Response Code,S,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/externalDiagnosis/diagnosisInfo/poaIndicator,,
2300.HI07.01,Code List Qualifier Code,R,ABN - ICD10CM,ABN,,,
2300.HI07.02,Industry Code,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/externalDiagnosis/diagnosisInfo/diagnosisCode,,Remove the decimal and at third location and populate
2300.HI07.09,Yes/No Condition or Response Code,S,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/externalDiagnosis/diagnosisInfo/poaIndicator,,
2300.HI08.01,Code List Qualifier Code,R,ABN - ICD10CM,ABN,,,
2300.HI08.02,Industry Code,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/externalDiagnosis/diagnosisInfo/diagnosisCode,,Remove the decimal and at third location and populate
2300.HI08.09,Yes/No Condition or Response Code,S,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/externalDiagnosis/diagnosisInfo/poaIndicator,,
2300.HI09.01,Code List Qualifier Code,R,ABN - ICD10CM,ABN,,,
2300.HI09.02,Industry Code,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/externalDiagnosis/diagnosisInfo/diagnosisCode,,Remove the decimal and at third location and populate
2300.HI09.09,Yes/No Condition or Response Code,S,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/externalDiagnosis/diagnosisInfo/poaIndicator,,
2300.HI10.01,Code List Qualifier Code,R,ABN - ICD10CM,ABN,,,
2300.HI10.02,Industry Code,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/externalDiagnosis/diagnosisInfo/diagnosisCode,,Remove the decimal and at third location and populate
2300.HI10.09,Yes/No Condition or Response Code,S,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/externalDiagnosis/diagnosisInfo/poaIndicator,,
2300.HI11.01,Code List Qualifier Code,R,ABN - ICD10CM,ABN,,,
2300.HI11.02,Industry Code,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/externalDiagnosis/diagnosisInfo/diagnosisCode,,Remove the decimal and at third location and populate
2300.HI11.09,Yes/No Condition or Response Code,S,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/externalDiagnosis/diagnosisInfo/poaIndicator,,
2300.HI12.01,Code List Qualifier Code,R,ABN - ICD10CM,ABN,,,
2300.HI12.02,Industry Code,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/externalDiagnosis/diagnosisInfo/diagnosisCode,,Remove the decimal and at third location and populate
2300.HI12.09,Yes/No Condition or Response Code,S,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/externalDiagnosis/diagnosisInfo/poaIndicator,,
,Segment - HI Diagnosis Related Group (DRG) Information (Situational),,,,,,
2300.HI01.01,Code List Qualifier Code,R,DR Diagnosis Related Group (DRG),DR,,,
2300.HI01.02,Industry Code,R,,,"getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/calculatedDRG if present,
Else,
getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/submittedDRG",,
,Segment - HI Other Diagnosis Information (Situational),,,,,,
2300.HI01.01,Code List Qualifier Code,R,International Classification of Diseases Clinical Modification (ICD-10-CM) Diagnosis,ABF,,,
2300.HI01.02,Industry Code,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/otherDiagnosis/diagnosisInfo/diagnosisCode,,Remove the decimal and at third location and populate
2300.HI01.09,Yes/No Condition or Response Code,S,Used to identify the diagnosis onset . A “Y” indicates that the onset occurred prior to admission to the hospital; an “N” indicates that the onset did NOT occur prior to admission to the hospital; a “U” indicates that it is unknown whether the onset occurred prior to admission to the hospital or not.,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/otherDiagnosis/diagnosisInfo/poaIndicator,,
2300.HI02.01,Code List Qualifier Code,R,International Classification of Diseases Clinical Modification (ICD-10-CM) Diagnosis,ABF,,,
2300.HI02.02,Industry Code,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/otherDiagnosis/diagnosisInfo/diagnosisCode,,Remove the decimal and at third location and populate
2300.HI02.09,Yes/No Condition or Response Code,S,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/otherDiagnosis/diagnosisInfo/poaIndicator,,
2300.HI03.01,Code List Qualifier Code,R,International Classification of Diseases Clinical Modification (ICD-10-CM) Diagnosis,ABF,,,
2300.HI03.02,Industry Code,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/otherDiagnosis/diagnosisInfo/diagnosisCode,,Remove the decimal and at third location and populate
2300.HI03.09,Yes/No Condition or Response Code,S,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/otherDiagnosis/diagnosisInfo/poaIndicator,,
2300.HI04.01,Code List Qualifier Code,R,International Classification of Diseases Clinical Modification (ICD-10-CM) Diagnosis,ABF,,,
2300.HI04.02,Industry Code,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/otherDiagnosis/diagnosisInfo/diagnosisCode,,Remove the decimal and at third location and populate
2300.HI04.09,Yes/No Condition or Response Code,S,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/otherDiagnosis/diagnosisInfo/poaIndicator,,
2300.HI05.01,Code List Qualifier Code,R,,ABF,,,
2300.HI05.02,Industry Code,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/otherDiagnosis/diagnosisInfo/diagnosisCode,,Remove the decimal and at third location and populate
2300.HI05.09,Yes/No Condition or Response Code,S,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/otherDiagnosis/diagnosisInfo/poaIndicator,,
2300.HI06.01,Code List Qualifier Code,R,,ABF,,,
2300.HI06.02,Industry Code,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/otherDiagnosis/diagnosisInfo/diagnosisCode,,Remove the decimal and at third location and populate
2300.HI06.09,Yes/No Condition or Response Code,S,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/otherDiagnosis/diagnosisInfo/poaIndicator,,
2300.HI07.01,Code List Qualifier Code,R,,ABF,,,
2300.HI07.02,Industry Code,R,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/otherDiagnosis/diagnosisInfo/diagnosisCode,,Remove the decimal and at third location and populate
