EDI LoopID.Segment,EDI Data Element Name,EDI Element Description,Usage,Enumeration Values,Sample values,"Mapped to
Integration PlusTable Name",Column Name,Column Desc,Comments
2300.HI04.02,Industry Code,Diagnosis Code,R,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_CODE,,
2300.HI04.09,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,S,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,POA_INDICATOR,,
2300.HI05.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,ABF International Classification of Diseases Clinical Modification (ICD-10-CM) Diagnosis,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_QUALIFIER,,
2300.HI05.02,Industry Code,Diagnosis Code,R,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_CODE,,
2300.HI05.09,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,S,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,POA_INDICATOR,,
2300.HI06.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,ABF International Classification of Diseases Clinical Modification (ICD-10-CM) Diagnosis,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_QUALIFIER,,
2300.HI06.02,Industry Code,Diagnosis Code,R,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_CODE,,
2300.HI06.09,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,S,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,POA_INDICATOR,,
2300.HI07.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,ABF International Classification of Diseases Clinical Modification (ICD-10-CM) Diagnosis,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_QUALIFIER,,
2300.HI07.02,Industry Code,Diagnosis Code,R,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_CODE,,
2300.HI07.09,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,S,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,POA_INDICATOR,,
2300.HI08.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,ABF International Classification of Diseases Clinical Modification (ICD-10-CM) Diagnosis,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_QUALIFIER,,
2300.HI08.02,Industry Code,Diagnosis Code,R,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_CODE,,
2300.HI08.09,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,S,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,POA_INDICATOR,,
2300.HI09.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,ABF International Classification of Diseases Clinical Modification (ICD-10-CM) Diagnosis,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_QUALIFIER,,
2300.HI09.02,Industry Code,Diagnosis Code,R,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_CODE,,
2300.HI09.09,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,S,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,POA_INDICATOR,,
2300.HI10.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,ABF International Classification of Diseases Clinical Modification (ICD-10-CM) Diagnosis,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_QUALIFIER,,
2300.HI10.02,Industry Code,Diagnosis Code,R,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_CODE,,
2300.HI10.09,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,S,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,POA_INDICATOR,,
2300.HI11.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,ABF International Classification of Diseases Clinical Modification (ICD-10-CM) Diagnosis,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_QUALIFIER,,
2300.HI11.02,Industry Code,Diagnosis Code,R,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_CODE,,
2300.HI11.09,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,S,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,POA_INDICATOR,,
2300.HI12.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,ABF International Classification of Diseases Clinical Modification (ICD-10-CM) Diagnosis,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_QUALIFIER,,
2300.HI12.02,Industry Code,Diagnosis Code,R,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_CODE,,
2300.HI12.09,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,S,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,POA_INDICATOR,,
Segment - HI Principal Procedure Information (Situational),,,,,,,,,
2300.HI01.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,"BBR International Classification of Diseases Clinical
Modification (ICD-10-PCS) Principal Procedure
Codes",,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_QUALIFIER,,
2300.HI01.02,Industry Code,Diagnosis Code,R,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_CODE,,
2300.HI01.03,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 Date Expressed in Format CCYYMMDD,,,,,
2300.HI01.04,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DATE_TIME_PERIOD,,
Segment - HI Other Procedure Information (Situational),,,,,,,,,
2300.HI01.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,"BBQ International Classification of Diseases Clinical
Modification (ICD-10-PCS) Other Procedure Codes",,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_QUALIFIER,,
2300.HI01.02,Industry Code,Diagnosis Code,R,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_CODE,,
2300.HI01.03,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 Date Expressed in Format CCYYMMDD,,,,,
2300.HI01.04,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DATE_TIME_PERIOD,,
2300.HI02.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,"BBQ International Classification of Diseases Clinical
Modification (ICD-10-PCS) Other Procedure Codes",,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_QUALIFIER,,
2300.HI02.02,Industry Code,Diagnosis Code,R,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_CODE,,
2300.HI02.03,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 Date Expressed in Format CCYYMMDD,,,,,
2300.HI02.04,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DATE_TIME_PERIOD,,
2300.HI03.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,"BBQ International Classification of Diseases Clinical
Modification (ICD-10-PCS) Other Procedure Codes",,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_QUALIFIER,,
2300.HI03.02,Industry Code,Diagnosis Code,R,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_CODE,,
2300.HI03.03,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 Date Expressed in Format CCYYMMDD,,,,,
2300.HI03.04,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DATE_TIME_PERIOD,,
2300.HI04.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,"BBQ International Classification of Diseases Clinical
Modification (ICD-10-PCS) Other Procedure Codes",,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_QUALIFIER,,
2300.HI04.02,Industry Code,Diagnosis Code,R,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_CODE,,
2300.HI04.03,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 Date Expressed in Format CCYYMMDD,,,,,
2300.HI04.04,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DATE_TIME_PERIOD,,
2300.HI05.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,"BBQ International Classification of Diseases Clinical
Modification (ICD-10-PCS) Other Procedure Codes",,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_QUALIFIER,,
2300.HI05.02,Industry Code,Diagnosis Code,R,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_CODE,,
2300.HI05.03,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 Date Expressed in Format CCYYMMDD,,,,,
2300.HI05.04,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DATE_TIME_PERIOD,,
2300.HI06.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,"BBQ International Classification of Diseases Clinical
Modification (ICD-10-PCS) Other Procedure Codes",,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_QUALIFIER,,
2300.HI06.02,Industry Code,Diagnosis Code,R,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_CODE,,
2300.HI06.03,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 Date Expressed in Format CCYYMMDD,,,,,
2300.HI06.04,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DATE_TIME_PERIOD,,
2300.HI07.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,"BBQ International Classification of Diseases Clinical
Modification (ICD-10-PCS) Other Procedure Codes",,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_QUALIFIER,,
2300.HI07.02,Industry Code,Diagnosis Code,R,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_CODE,,
2300.HI07.03,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 Date Expressed in Format CCYYMMDD,,,,,
2300.HI07.04,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DATE_TIME_PERIOD,,
2300.HI08.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,"BBQ International Classification of Diseases Clinical
Modification (ICD-10-PCS) Other Procedure Codes",,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_QUALIFIER,,
2300.HI08.02,Industry Code,Diagnosis Code,R,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_CODE,,
2300.HI08.03,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 Date Expressed in Format CCYYMMDD,,,,,
2300.HI08.04,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DATE_TIME_PERIOD,,
2300.HI09.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,"BBQ International Classification of Diseases Clinical
Modification (ICD-10-PCS) Other Procedure Codes",,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_QUALIFIER,,
2300.HI09.02,Industry Code,Diagnosis Code,R,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_CODE,,
2300.HI09.03,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 Date Expressed in Format CCYYMMDD,,,,,
2300.HI09.04,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DATE_TIME_PERIOD,,
2300.HI10.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,"BBQ International Classification of Diseases Clinical
Modification (ICD-10-PCS) Other Procedure Codes",,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_QUALIFIER,,
2300.HI10.02,Industry Code,Diagnosis Code,R,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_CODE,,
2300.HI10.03,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 Date Expressed in Format CCYYMMDD,,,,,
2300.HI10.04,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DATE_TIME_PERIOD,,
2300.HI11.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,"BBQ International Classification of Diseases Clinical
Modification (ICD-10-PCS) Other Procedure Codes",,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_QUALIFIER,,
2300.HI11.02,Industry Code,Diagnosis Code,R,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_CODE,,
2300.HI11.03,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 Date Expressed in Format CCYYMMDD,,,,,
2300.HI11.04,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DATE_TIME_PERIOD,,
2300.HI12.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,"BBQ International Classification of Diseases Clinical
Modification (ICD-10-PCS) Other Procedure Codes",,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_QUALIFIER,,
2300.HI12.02,Industry Code,Diagnosis Code,R,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_CODE,,
2300.HI12.03,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 Date Expressed in Format CCYYMMDD,,,,,
2300.HI12.04,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DATE_TIME_PERIOD,,
Segment - HI Occurrence Span Information (Situational),,,,,,,,,
2300.HI01.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,BI - Occurrence Span,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_QUALIFIER,,
2300.HI01.02,Industry Code,Diagnosis Code,R,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_CODE,,
2300.HI01.03,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,RD8-Range of Dates Expressed in Format CCYYMMDDCCYYMMDD,,,,,
2300.HI01.04,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DATE_TIME_PERIOD,,
2300.HI02.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,BI - Occurrence Span,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_QUALIFIER,,
2300.HI02.02,Industry Code,Diagnosis Code,R,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_CODE,,
2300.HI02.03,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,RD8-Range of Dates Expressed in Format CCYYMMDDCCYYMMDD,,,,,
2300.HI02.04,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DATE_TIME_PERIOD,,
2300.HI03.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,BI - Occurrence Span,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_QUALIFIER,,
2300.HI03.02,Industry Code,Diagnosis Code,R,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_CODE,,
2300.HI03.03,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,RD8-Range of Dates Expressed in Format CCYYMMDDCCYYMMDD,,,,,
2300.HI03.04,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DATE_TIME_PERIOD,,
2300.HI04.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,BI - Occurrence Span,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_QUALIFIER,,
2300.HI04.02,Industry Code,Diagnosis Code,R,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_CODE,,
2300.HI04.03,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,RD8-Range of Dates Expressed in Format CCYYMMDDCCYYMMDD,,,,,
2300.HI04.04,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DATE_TIME_PERIOD,,
2300.HI05.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,BI - Occurrence Span,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_QUALIFIER,,
2300.HI05.02,Industry Code,Diagnosis Code,R,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_CODE,,
2300.HI05.03,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,RD8-Range of Dates Expressed in Format CCYYMMDDCCYYMMDD,,,,,
2300.HI05.04,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DATE_TIME_PERIOD,,
2300.HI06.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,BI - Occurrence Span,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_QUALIFIER,,
2300.HI06.02,Industry Code,Diagnosis Code,R,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_CODE,,
2300.HI06.03,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,RD8-Range of Dates Expressed in Format CCYYMMDDCCYYMMDD,,,,,
2300.HI06.04,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DATE_TIME_PERIOD,,
2300.HI07.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,BI - Occurrence Span,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_QUALIFIER,,
2300.HI07.02,Industry Code,Diagnosis Code,R,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_CODE,,
2300.HI07.03,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,RD8-Range of Dates Expressed in Format CCYYMMDDCCYYMMDD,,,,,
2300.HI07.04,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DATE_TIME_PERIOD,,
2300.HI08.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,BI - Occurrence Span,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_QUALIFIER,,
2300.HI08.02,Industry Code,Diagnosis Code,R,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_CODE,,
2300.HI08.03,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,RD8-Range of Dates Expressed in Format CCYYMMDDCCYYMMDD,,,,,
2300.HI08.04,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DATE_TIME_PERIOD,,
2300.HI09.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,BI - Occurrence Span,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_QUALIFIER,,
2300.HI09.02,Industry Code,Diagnosis Code,R,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_CODE,,
2300.HI09.03,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,RD8-Range of Dates Expressed in Format CCYYMMDDCCYYMMDD,,,,,
2300.HI09.04,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DATE_TIME_PERIOD,,
2300.HI10.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,BI - Occurrence Span,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_QUALIFIER,,
2300.HI10.02,Industry Code,Diagnosis Code,R,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_CODE,,
2300.HI10.03,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,RD8-Range of Dates Expressed in Format CCYYMMDDCCYYMMDD,,,,,
2300.HI10.04,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DATE_TIME_PERIOD,,
2300.HI11.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,BI - Occurrence Span,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_QUALIFIER,,
2300.HI11.02,Industry Code,Diagnosis Code,R,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_CODE,,
2300.HI11.03,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,RD8-Range of Dates Expressed in Format CCYYMMDDCCYYMMDD,,,,,
2300.HI11.04,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DATE_TIME_PERIOD,,
2300.HI12.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,BI - Occurrence Span,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_QUALIFIER,,
2300.HI12.02,Industry Code,Diagnosis Code,R,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_CODE,,
2300.HI12.03,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,RD8-Range of Dates Expressed in Format CCYYMMDDCCYYMMDD,,,,,
2300.HI12.04,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DATE_TIME_PERIOD,,
Segment - HI Occurrence Information (Situational),,,,,,,,,
2300.HI01.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,BH - Occurrence,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_QUALIFIER,,
2300.HI01.02,Industry Code,Diagnosis Code,R,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_CODE,,
2300.HI01.03,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 - Date Expressed in Format CCYYMMDD,,,,,
2300.HI01.04,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DATE_TIME_PERIOD,,
2300.HI02.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,BH - Occurrence,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_QUALIFIER,,
2300.HI02.02,Industry Code,Diagnosis Code,R,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_CODE,,
2300.HI02.03,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 - Date Expressed in Format CCYYMMDD,,,,,
2300.HI02.04,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DATE_TIME_PERIOD,,
2300.HI03.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,BH - Occurrence,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_QUALIFIER,,
2300.HI03.02,Industry Code,Diagnosis Code,R,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_CODE,,
2300.HI03.03,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 - Date Expressed in Format CCYYMMDD,,,,,
2300.HI03.04,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DATE_TIME_PERIOD,,
2300.HI04.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,BH - Occurrence,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_QUALIFIER,,
2300.HI04.02,Industry Code,Diagnosis Code,R,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_CODE,,
2300.HI04.03,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 - Date Expressed in Format CCYYMMDD,,,,,
2300.HI04.04,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DATE_TIME_PERIOD,,
2300.HI05.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,BH - Occurrence,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_QUALIFIER,,
2300.HI05.02,Industry Code,Diagnosis Code,R,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_CODE,,
2300.HI05.03,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 - Date Expressed in Format CCYYMMDD,,,,,
2300.HI05.04,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DATE_TIME_PERIOD,,
2300.HI06.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,BH - Occurrence,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_QUALIFIER,,
2300.HI06.02,Industry Code,Diagnosis Code,R,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_CODE,,
2300.HI06.03,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 - Date Expressed in Format CCYYMMDD,,,,,
2300.HI06.04,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DATE_TIME_PERIOD,,
2300.HI07.01,Code List Qualifier Code,"Code identifying a specific industry code list
Principal Diagnosis Type Code",R,BH - Occurrence,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_QUALIFIER,,
2300.HI07.02,Industry Code,Diagnosis Code,R,,,SUBMITTED_CLAIM_DIAGNOSIS_INFO,DIAGNOSIS_CODE,,
